HomeID,AwayID,Season,Week,Glicko_Rating_Home,Glicko_Rating_Deviance_Home,Glicko_Sigma_Home,Glicko_Rating_Away,Glicko_Rating_Deviance_Away,Glicko_Sigma_Away
59,259,2013,5.0,1799.625803773736,227.73540249000166,0.06000051574775676,1667.5290852910684,208.56031831575942,0.05999861670525175
202,66,2013,5.0,1400.124734773858,227.73539941351623,0.059998353180856404,1252.681928021854,253.40460245322316,0.060000075109031
252,2393,2013,5.0,1400.124734773858,227.73539941351623,0.059998353180856404,1667.5290852910684,208.56031831575942,0.05999861670525175
23,328,2013,5.0,1400.124734773858,227.73539941351623,0.059998353180856404,1500.0,208.56031748478463,0.05999785619026675
2509,2459,2013,5.0,1332.4709147089316,208.56031831575942,0.05999861670525175,1799.625803773736,227.73540249000166,0.06000051574775676
2116,2579,2013,5.0,1799.625803773736,227.73540249000166,0.06000051574775676,1599.875265226142,227.73539941351623,0.059998353180856404
58,2390,2013,5.0,1200.374196226264,227.73540249000166,0.06000051574775676,1799.625803773736,227.73540249000166,0.06000051574775676
2628,2567,2013,5.0,1400.124734773858,227.73539941351623,0.059998353180856404,1400.124734773858,227.73539941351623,0.059998353180856404
277,197,2013,5.0,1500.0,208.56031748478463,0.05999785619026675,1799.625803773736,227.73540249000166,0.06000051574775676
356,193,2013,5.0,1599.875265226142,227.73539941351623,0.059998353180856404,1200.374196226264,227.73540249000166,0.06000051574775676
2633,6,2013,5.0,1500.0,208.56031748478463,0.05999785619026675,1599.875265226142,227.73539941351623,0.059998353180856404
221,258,2013,5.0,1599.875265226142,227.73539941351623,0.059998353180856404,1599.875265226142,227.73539941351623,0.059998353180856404
153,151,2013,5.0,1400.124734773858,227.73539941351623,0.059998353180856404,1599.875265226142,227.73539941351623,0.059998353180856404
98,2426,2013,5.0,1500.0,208.56031748478463,0.05999785619026675,1747.318071978146,253.40460245322316,0.060000075109031
189,2006,2013,5.0,1667.5290852910684,208.56031831575942,0.05999861670525175,1332.4709147089316,208.56031831575942,0.05999861670525175
2050,2649,2013,5.0,1667.5290852910684,208.56031831575942,0.05999861670525175,1500.0,208.56031748478463,0.05999785619026675
204,38,2013,5.0,1667.5290852910684,208.56031831575942,0.05999861670525175,1747.318071978146,253.40460245322316,0.060000075109031
150,2653,2013,5.0,1500.0,208.56031748478463,0.05999785619026675,1500.0,208.56031748478463,0.05999785619026675
152,2117,2013,5.0,1599.875265226142,227.73539941351623,0.059998353180856404,1332.4709147089316,208.56031831575942,0.05999861670525175
61,99,2013,5.0,1599.875265226142,227.73539941351623,0.059998353180856404,1835.0581785931108,208.56032080901497,0.060000898495714036
36,2638,2013,5.0,1332.4709147089316,208.56031831575942,0.05999861670525175,1400.124734773858,227.73539941351623,0.059998353180856404
228,154,2013,5.0,1799.625803773736,227.73540249000166,0.06000051574775676,1500.0,208.56031748478463,0.05999785619026675
2084,41,2013,5.0,1400.124734773858,227.73539941351623,0.059998353180856404,1200.374196226264,227.73540249000166,0.06000051574775676
103,52,2013,5.0,1599.875265226142,227.73539941351623,0.059998353180856404,1799.625803773736,227.73540249000166,0.06000051574775676
87,201,2013,5.0,1667.5290852910684,208.56031831575942,0.05999861670525175,1799.625803773736,227.73540249000166,0.06000051574775676
135,2294,2013,5.0,1835.0581785931108,208.56032080901497,0.060000898495714036,1667.5290852910684,208.56031831575942,0.05999861670525175
2636,248,2013,5.0,1500.0,208.56031748478463,0.05999785619026675,1799.625803773736,227.73540249000166,0.06000051574775676
2348,349,2013,5.0,1332.4709147089316,208.56031831575942,0.05999861670525175,1332.4709147089316,208.56031831575942,0.05999861670525175
70,218,2013,5.0,1164.9418214068892,208.56032080901497,0.060000898495714036,1200.374196226264,227.73540249000166,0.06000051574775676
333,145,2013,5.0,1799.625803773736,227.73540249000166,0.06000051574775676,1799.625803773736,227.73540249000166,0.06000051574775676
242,2226,2013,5.0,1400.124734773858,227.73539941351623,0.059998353180856404,1332.4709147089316,208.56031831575942,0.05999861670525175
264,12,2013,5.0,1799.625803773736,227.73540249000166,0.06000051574775676,1799.625803773736,227.73540249000166,0.06000051574775676
2711,2309,2013,5.0,1164.9418214068892,208.56032080901497,0.060000898495714036,1332.4709147089316,208.56031831575942,0.05999861670525175
2433,2655,2013,5.0,1500.0,208.56031748478463,0.05999785619026675,1500.0,208.56031748478463,0.05999785619026675
326,2751,2013,5.0,1599.875265226142,227.73539941351623,0.059998353180856404,1667.5290852910684,208.56031831575942,0.05999861670525175
8,245,2013,5.0,1667.5290852910684,208.56031831575942,0.05999861670525175,1667.5290852910684,208.56031831575942,0.05999861670525175
96,57,2013,5.0,1400.124734773858,227.73539941351623,0.059998353180856404,1599.875265226142,227.73539941351623,0.059998353180856404
142,2032,2013,5.0,1799.625803773736,227.73540249000166,0.06000051574775676,1500.0,208.56031748478463,0.05999785619026675
238,5,2013,5.0,1500.0,208.56031748478463,0.05999785619026675,1400.124734773858,227.73539941351623,0.059998353180856404
166,21,2013,5.0,1164.9418214068892,208.56032080901497,0.060000898495714036,1200.374196226264,227.73540249000166,0.06000051574775676
194,275,2013,5.0,1835.0581785931108,208.56032080901497,0.060000898495714036,1667.5290852910684,208.56031831575942,0.05999861670525175
2440,2005,2013,5.0,1500.0,208.56031748478463,0.05999785619026675,1332.4709147089316,208.56031831575942,0.05999861670525175
167,2439,2013,5.0,1400.124734773858,227.73539941351623,0.059998353180856404,1500.0,208.56031748478463,0.05999785619026675
265,24,2013,5.0,1667.5290852910684,208.56031831575942,0.05999861670525175,1799.625803773736,227.73540249000166,0.06000051574775676
68,2572,2013,5.0,1500.0,208.56031748478463,0.05999785619026675,1200.374196226264,227.73540249000166,0.06000051574775676
2483,25,2013,5.0,1799.625803773736,227.73540249000166,0.06000051574775676,1400.124734773858,227.73539941351623,0.059998353180856404
9,30,2013,5.0,1599.875265226142,227.73539941351623,0.059998353180856404,1667.5290852910684,208.56031831575942,0.05999861670525175
62,278,2013,5.0,1200.374196226264,227.73540249000166,0.06000051574775676,1799.625803773736,227.73540249000166,0.06000051574775676
66,251,2013,6.0,1328.0607877659513,199.5491487436981,0.05999822198027026,1485.4312515699182,157.11423983456268,0.059993848716095734
2433,98,2013,6.0,1490.473703961906,148.476982984823,0.05999325740650116,1544.8424686227777,146.62943032104678,0.0599935518563822
254,26,2013,6.0,1685.8661736710067,158.64848744763339,0.05999473939883385,1896.1556989966678,185.6023505136919,0.05999927810261497
328,252,2013,6.0,1530.6266591014296,146.48215791796764,0.05999331284274135,1518.3141230067401,164.56902320560962,0.059996706312904886
21,2440,2013,6.0,1219.2494847672533,178.85991079272165,0.05999755598419959,1546.808829676371,153.9017704444703,0.05999405853935611
2426,2005,2013,6.0,1673.6915691632228,195.78931507303008,0.059998049927735976,1263.8836691051633,148.44864426639387,0.05999500404841864
2567,164,2013,6.0,1341.5644334107674,168.40377688292546,0.05999530959934356,1728.1037515756998,158.70664752652306,0.059995457246936085
2084,2199,2013,6.0,1461.041455690041,174.48145001105854,0.05999566628097955,1325.388541573228,164.35389535093455,0.05999507283494284
158,356,2013,6.0,1721.5279339521928,161.1937114860216,0.05999546628546144,1689.3571865370973,168.70401450748616,0.05999601512314929
52,120,2013,6.0,1927.990336917942,169.17886829649632,0.05999947909914422,1887.0221626784678,184.77752390322246,0.05999944949103877
218,97,2013,6.0,1072.1513396370387,182.31160837975258,0.06000016982881952,1916.7824871779037,174.9365056980728,0.059999543469614815
