HomeID,AwayID,Season,Week,CTMC_Rating_Home,CTMC_Rating_Away
158,242,2001,5,0.007844785989884799,0.008683808293807023
344,2579,2001,5,0.0068353691415737146,0.009049886544365482
5,349,2001,5,0.006735899174576131,0.007140206947757177
12,2439,2001,5,0.007266790461687584,0.006185345402888272
24,9,2001,5,0.0071223591011286,0.009575142322559812
26,194,2001,5,0.005942421207031511,0.012606545029704675
36,21,2001,5,0.00882885955090137,0.006132509041933433
38,2305,2001,5,0.007631214604683107,0.007857428368000328
41,2084,2001,5,0.007351997527600703,0.007135386065051966
68,2638,2001,5,0.005367432772356183,0.00715643379711539
84,254,2001,5,0.0033484235192711986,0.013055078235073398
87,127,2001,5,0.006629710949972573,0.005013017629312569
96,57,2001,5,0.004940285292349535,0.008354841004802032
130,2711,2001,5,0.006586550458548819,0.004167849049918993
150,77,2001,5,0.006898478579334857,0.008437716794032579
153,52,2001,5,0.00819481092906855,0.008642088288128062
154,120,2001,5,0.010105859545767608,0.005486363600572444
164,259,2001,5,0.006422699433438147,0.007508138982134052
183,2,2001,5,0.00647857739928109,0.015334343073409092
189,218,2001,5,0.008894023589390197,0.005273950989699991
193,2132,2001,5,0.007297387581602264,0.007511234261751872
195,66,2001,5,0.007253286751650253,0.00851985070359774
213,275,2001,5,0.005464071331819246,0.00532424792587641
228,258,2001,5,0.008983043851108439,0.008183817670748413
235,58,2001,5,0.007452573318062916,0.01147117337366776
238,257,2001,5,0.007525741694682688,0.006122322113143527
239,167,2001,5,0.006846979226961316,0.005269376528991067
245,197,2001,5,0.012626852780895207,0.005484143756851286
248,251,2001,5,0.007131771163353906,0.008690100839514214
249,2641,2001,5,0.006881259463695407,0.0088045338579246
264,70,2001,5,0.005509287472338009,0.005609105569136319
265,25,2001,5,0.003912470224735994,0.009205678698836983
277,2309,2001,5,0.006941980690657389,0.008026921176611499
309,2572,2001,5,0.004887737288669796,0.0072931530117605215
328,2751,2001,5,0.004129765730038148,0.0055244390582987
333,8,2001,5,0.006079146012702144,0.0036266061625218784
356,97,2001,5,0.007326878856045911,0.005695051766826721
2050,2460,2001,5,0.005203215882509072,0.005405405405405406
2117,2649,2001,5,0.005257642330156744,0.011240387686421592
