Season,Start,Visiter,VisID,Home,HomeID,NeutralSite,Home1Q,Home2Q,Home3Q,Home4Q,HomeOT,HomeFinal,Vis1Q,Vis2Q,Vis3Q,Vis4Q,VisOT,VisFinal,Spread,WeekDate,Week,HomeConf,VisConf
2013,2013-09-07 01:00:00,WAY,630,ADST,2001,0,10,27.0,0.0,7.0,,44,0,0.0,0.0,0.0,,0,44,2013-09-07,2,NotMajor,NotMajor
2013,2013-09-07 02:00:00,HAR,2810,WIL,2930,0,29,17.0,3.0,15.0,,64,0,13.0,7.0,14.0,,34,30,2013-09-07,2,NotMajor,NotMajor
2013,2013-09-07 15:00:00,SHO,2560,CHSO,2127,0,14,9.0,0.0,0.0,,23,7,0.0,0.0,8.0,,15,8,2013-09-07,2,NotMajor,NotMajor
2013,2013-09-07 16:00:00,LIU,2089,MIL,210,0,2,7.0,7.0,0.0,,16,0,20.0,12.0,15.0,,47,-31,2013-09-07,2,NotMajor,NotMajor
2013,2013-09-07 16:00:00,CIN,2132,ILL,356,0,7,14.0,7.0,17.0,,45,0,7.0,10.0,0.0,,17,28,2013-09-07,2,Big10,AAC
2013,2013-09-07 16:00:00,LEW,2333,UTI,390,0,9,13.0,20.0,0.0,,42,6,0.0,0.0,16.0,,22,20,2013-09-07,2,NotMajor,NotMajor
2013,2013-09-07 16:00:00,BGW,18,SAL,2776,0,14,7.0,15.0,0.0,,36,0,0.0,0.0,7.0,,7,29,2013-09-07,2,NotMajor,NotMajor
2013,2013-09-07 16:00:00,CLK,2805,WES,2695,0,21,7.0,14.0,0.0,,42,0,0.0,0.0,6.0,,6,36,2013-09-07,2,NotMajor,NotMajor
2013,2013-09-07 16:00:00,USF,58,MSU,127,0,0,7.0,7.0,7.0,,21,0,6.0,0.0,0.0,,6,15,2013-09-07,2,Big10,AAC
2013,2013-09-07 16:00:00,SHI,2559,SHE,2974,0,3,17.0,7.0,6.0,,33,0,0.0,0.0,0.0,,0,33,2013-09-07,2,NotMajor,NotMajor
2013,2013-09-07 16:00:00,MIN,568,CON,3066,0,8,7.0,14.0,0.0,,29,0,0.0,0.0,0.0,,0,29,2013-09-07,2,NotMajor,NotMajor
2013,2013-09-07 16:00:00,NOR,2467,REN,2528,0,6,0.0,7.0,7.0,,20,0,7.0,0.0,0.0,,7,13,2013-09-07,2,NotMajor,NotMajor
2013,2013-09-07 16:00:00,EKY,2198,LOU,97,0,14,13.0,10.0,7.0,,44,0,0.0,0.0,7.0,,7,37,2013-09-07,2,AAC,NotMajor
2013,2013-09-07 16:00:00,BGSU,189,KENT,2309,0,8,14.0,0.0,0.0,,22,7,17.0,10.0,7.0,,41,-19,2013-09-07,2,MidAmerican,MidAmerican
2013,2013-09-07 16:00:00,CHO,2804,CHAR,2429,0,19,7.0,14.0,7.0,,47,0,7.0,0.0,0.0,,7,40,2013-09-07,2,NotMajor,NotMajor
2013,2013-09-07 16:00:00,EMU,2199,PSU,213,0,7,10.0,7.0,21.0,,45,7,0.0,0.0,0.0,,7,38,2013-09-07,2,Big10,MidAmerican
2013,2013-09-07 16:00:00,OKST,197,UTSA,2636,0,7,0.0,0.0,28.0,,35,14,21.0,7.0,14.0,,56,-21,2013-09-07,2,ConferenceUSA,Big12
2013,2013-09-07 16:00:00,FLA,57,MIAMI,2390,0,14,0.0,0.0,7.0,,21,6,0.0,3.0,7.0,,16,5,2013-09-07,2,ACC,SEC
2013,2013-09-07 16:00:00,COA,2557,STL,2779,0,14,0.0,0.0,7.0,,21,3,0.0,7.0,7.0,,17,4,2013-09-07,2,NotMajor,NotMajor
2013,2013-09-07 16:00:00,M-OH,193,UK,96,0,24,7.0,0.0,10.0,,41,7,0.0,0.0,0.0,,7,34,2013-09-07,2,SEC,MidAmerican
2013,2013-09-07 16:00:00,MORG,2415,RMU,2523,0,7,7.0,7.0,10.0,,31,0,0.0,0.0,14.0,,14,17,2013-09-07,2,NotMajor,NotMajor
2013,2013-09-07 16:00:00,SPR,81,WES,2702,0,6,21.0,6.0,7.0,,40,15,8.0,7.0,19.0,,49,-9,2013-09-07,2,NotMajor,NotMajor
2013,2013-09-07 16:00:00,NH,2441,WES,223,0,10,21.0,0.0,14.0,,45,0,7.0,0.0,7.0,,14,31,2013-09-07,2,NotMajor,NotMajor
2013,2013-09-07 16:00:00,THI,2644,JUN,246,0,7,6.0,21.0,7.0,,41,0,7.0,0.0,13.0,,20,21,2013-09-07,2,NotMajor,NotMajor
2013,2013-09-07 16:00:00,MOST,2623,IOWA,2294,0,7,0.0,14.0,7.0,,28,0,0.0,0.0,14.0,,14,14,2013-09-07,2,Big10,NotMajor
2013,2013-09-07 16:00:00,SELA,2545,TCU,2628,0,7,10.0,14.0,7.0,,38,0,14.0,0.0,3.0,,17,21,2013-09-07,2,Big12,NotMajor
2013,2013-09-07 16:00:00,PAC,2487,ABC,2017,0,7,10.0,7.0,7.0,,31,7,7.0,7.0,7.0,,28,3,2013-09-07,2,NotMajor,NotMajor
2013,2013-09-07 16:00:00,MER,2385,BEN,2060,0,0,10.0,7.0,0.0,,17,7,6.0,3.0,0.0,,16,1,2013-09-07,2,NotMajor,NotMajor
2013,2013-09-07 16:00:00,STN,2832,JOH,2302,0,14,6.0,14.0,7.0,,41,0,0.0,0.0,0.0,,0,41,2013-09-07,2,NotMajor,NotMajor
2013,2013-09-07 16:00:00,INST,282,PUR,2509,0,7,3.0,7.0,3.0,,20,0,0.0,7.0,7.0,,14,6,2013-09-07,2,Big10,NotMajor
2013,2013-09-07 16:00:00,HOB,174,DIC,2175,0,0,0.0,0.0,7.0,,7,10,7.0,7.0,6.0,,30,-23,2013-09-07,2,NotMajor,NotMajor
2013,2013-09-07 16:00:00,TNTC,2635,WIS,275,0,14,14.0,6.0,14.0,,48,0,0.0,0.0,0.0,,0,48,2013-09-07,2,Big10,NotMajor
2013,2013-09-07 16:00:00,SRU,215,NAR,2886,0,14,3.0,13.0,6.0,,36,14,16.0,7.0,14.0,,51,-15,2013-09-07,2,NotMajor,NotMajor
2013,2013-09-07 16:00:00,HOU,248,TEM,218,0,6,7.0,0.0,0.0,,13,3,6.0,6.0,7.0,,22,-9,2013-09-07,2,AAC,AAC
2013,2013-09-07 16:00:00,WMN,433,HEND,418,0,14,7.0,15.0,10.0,,46,7,21.0,7.0,9.0,,44,2,2013-09-07,2,NotMajor,NotMajor
2013,2013-09-07 16:00:00,NSU,2450,RUTG,164,0,21,0.0,14.0,3.0,,38,0,0.0,0.0,0.0,,0,38,2013-09-07,2,AAC,NotMajor
2013,2013-09-07 16:00:00,MOR,3110,WIL,398,0,7,14.0,7.0,13.0,,41,10,10.0,6.0,0.0,,26,15,2013-09-07,2,NotMajor,NotMajor
2013,2013-09-07 16:21:00,WKU,98,TENN,2633,0,24,7.0,14.0,7.0,,52,3,14.0,3.0,0.0,,20,32,2013-09-07,2,SEC,SunBelt
2013,2013-09-07 16:30:00,SCST,2569,CLEM,228,0,17,21.0,7.0,7.0,,52,0,7.0,0.0,6.0,,13,39,2013-09-07,2,ACC,NotMajor
2013,2013-09-07 16:30:00,MTSU,2393,UNC,153,0,13,10.0,3.0,14.0,,40,0,0.0,7.0,13.0,,20,20,2013-09-07,2,ACC,ConferenceUSA
2013,2013-09-07 16:30:00,CCSU,2115,LEH,2329,0,3,7.0,7.0,20.0,7.0,51,7,14.0,13.0,3.0,7.0,44,7,2013-09-07,2,NotMajor,NotMajor
2013,2013-09-07 17:00:00,LYC,2354,BRO,2781,0,3,0.0,13.0,14.0,,30,0,0.0,2.0,0.0,,2,28,2013-09-07,2,NotMajor,NotMajor
2013,2013-09-07 17:00:00,WES,2707,LOC,209,0,3,0.0,28.0,0.0,,31,0,6.0,0.0,7.0,,13,18,2013-09-07,2,NotMajor,NotMajor
2013,2013-09-07 17:00:00,ROS,86,KAL,126,0,7,0.0,21.0,0.0,,28,7,9.0,7.0,0.0,,23,5,2013-09-07,2,NotMajor,NotMajor
2013,2013-09-07 17:00:00,GET,2248,MISC,2969,0,13,13.0,14.0,0.0,,40,15,14.0,16.0,17.0,,62,-22,2013-09-07,2,NotMajor,NotMajor
2013,2013-09-07 17:00:00,ASP,2038,BRY,2803,0,7,14.0,6.0,7.0,,34,0,0.0,7.0,0.0,,7,27,2013-09-07,2,NotMajor,NotMajor
2013,2013-09-07 17:00:00,HUS,2280,HAR,173,0,12,7.0,7.0,7.0,,33,0,7.0,0.0,0.0,,7,26,2013-09-07,2,NotMajor,NotMajor
2013,2013-09-07 17:00:00,AVE,2047,HAM,297,0,7,14.0,14.0,7.0,,42,6,0.0,6.0,0.0,,12,30,2013-09-07,2,NotMajor,NotMajor
2013,2013-09-07 17:00:00,MOR,323,ITH,175,0,7,12.0,2.0,10.0,,31,0,0.0,7.0,0.0,,7,24,2013-09-07,2,NotMajor,NotMajor
2013,2013-09-07 17:00:00,MAL,556,NOT,587,0,3,13.0,7.0,14.0,,37,0,17.0,14.0,0.0,,31,6,2013-09-07,2,NotMajor,NotMajor
2013,2013-09-07 17:00:00,LIN,2339,CHE,2129,0,7,0.0,15.0,6.0,,28,14,10.0,9.0,0.0,,33,-5,2013-09-07,2,NotMajor,NotMajor
2013,2013-09-07 17:00:00,WAS,143,WISW,2745,0,0,0.0,0.0,17.0,,17,7,0.0,0.0,0.0,,7,10,2013-09-07,2,NotMajor,NotMajor
2013,2013-09-07 17:00:00,SDA,613,COL,2146,0,21,23.0,14.0,14.0,,72,0,0.0,0.0,6.0,,6,66,2013-09-07,2,NotMajor,NotMajor
2013,2013-09-07 17:00:00,LAN,2323,LYN,2355,0,13,,,,,13,38,,,,,38,-25,2013-09-07,2,NotMajor,NotMajor
2013,2013-09-07 17:00:00,FRA,2967,END,452,0,16,0.0,7.0,0.0,,23,7,14.0,7.0,7.0,,35,-12,2013-09-07,2,NotMajor,NotMajor
2013,2013-09-07 17:00:00,BUF,2085,COR,2782,0,7,7.0,7.0,7.0,,28,7,14.0,14.0,6.0,,41,-13,2013-09-07,2,NotMajor,NotMajor
2013,2013-09-07 17:00:00,FER,366,EMO,2213,0,17,25.0,7.0,0.0,,49,0,0.0,7.0,6.0,,13,36,2013-09-07,2,NotMajor,NotMajor
2013,2013-09-07 17:00:00,MTH,291,SVA,2896,0,0,14.0,0.0,6.0,,20,10,6.0,10.0,7.0,,33,-13,2013-09-07,2,NotMajor,NotMajor
2013,2013-09-07 17:00:00,VALP,2674,STJ,2601,0,6,12.0,0.0,16.0,,34,6,7.0,10.0,8.0,,31,3,2013-09-07,2,NotMajor,NotMajor
2013,2013-09-07 17:00:00,BOW,2075,STA,2830,0,14,7.0,7.0,0.0,,28,14,7.0,7.0,14.0,,42,-14,2013-09-07,2,NotMajor,NotMajor
2013,2013-09-07 17:00:00,WOR,402,ANN,15,0,0,0.0,6.0,0.0,,6,7,20.0,0.0,7.0,,34,-28,2013-09-07,2,NotMajor,NotMajor
2013,2013-09-07 17:00:00,WES,2698,MAR,2369,0,0,14.0,0.0,7.0,,21,0,10.0,14.0,7.0,,31,-10,2013-09-07,2,NotMajor,NotMajor
2013,2013-09-07 17:00:00,STV,2614,BRD,2079,0,10,21.0,20.0,6.0,,57,0,0.0,0.0,0.0,,0,57,2013-09-07,2,NotMajor,NotMajor
2013,2013-09-07 17:00:00,F&M,2234,UWL,2688,0,0,7.0,0.0,7.0,,14,7,0.0,0.0,6.0,,13,1,2013-09-07,2,NotMajor,NotMajor
2013,2013-09-07 17:00:00,ROW,2827,DV,2808,0,0,0.0,7.0,28.0,,35,7,13.0,7.0,0.0,,27,8,2013-09-07,2,NotMajor,NotMajor
2013,2013-09-07 17:00:00,LAW,268,COR,2155,0,28,3.0,14.0,0.0,,45,0,7.0,0.0,7.0,,14,31,2013-09-07,2,NotMajor,NotMajor
2013,2013-09-07 17:00:00,STON,2619,URI,227,0,0,0.0,0.0,0.0,,0,3,7.0,0.0,14.0,,24,-24,2013-09-07,2,NotMajor,NotMajor
