HomeID,VisID,Season,Week,HomeBCSSOS2,HomeRPI2,AwayBCSSOS2,AwayRPI2
204,166,2001,3,4.0,-2.0,4.0,-2.0
70,12,2001,3,9.666666666666666,0.0,9.666666666666666,0.0
277,195,2001,3,8.0,0.0,8.0,0.0
239,2032,2001,3,0.0,0.0,0.0,0.0
2426,59,2001,3,6.333333333333333,0.0,6.333333333333333,0.0
87,158,2001,3,0.0,0.0,0.0,0.0
127,2117,2001,3,0.0,0.0,0.0,0.0
30,2306,2001,3,-3.6666666666666665,0.0,-3.6666666666666665,0.0
2649,218,2001,3,-10.333333333333334,0.0,-10.333333333333334,0.0
194,2006,2001,3,0.0,0.0,0.0,0.0
24,103,2001,3,0.0,0.0,0.0,0.0
2579,61,2001,3,-6.333333333333333,0.0,-6.333333333333333,0.0
328,99,2001,3,1.3333333333333333,0.0,1.3333333333333333,0.0
58,221,2001,3,1.0,0.0,1.0,0.0
242,158,2001,4,-6.958333333333333,-4.09375,-6.958333333333333,-4.09375
2579,344,2001,5,4.833333333333333,6.625,4.833333333333333,6.625
2638,68,2001,5,-13.166666666666666,-6.625,-13.166666666666666,-6.625
2751,328,2001,5,3.5833333333333335,2.4375,3.5833333333333335,2.4375
183,2,2001,5,-2.462962962962963,-3.4305555555555554,-2.462962962962963,-3.4305555555555554
2439,12,2001,5,1.9166666666666667,-0.1875,1.9166666666666667,-0.1875
55,2032,2001,5,0.0,0.0,0.0,0.0
2426,103,2001,5,8.500000000000002,-3.874999999999999,8.500000000000002,-3.874999999999999
309,2572,2001,5,-0.5833333333333334,-1.6875,-0.5833333333333334,-1.6875
257,238,2001,5,-2.8333333333333335,-2.375,-2.8333333333333335,-2.375
2711,130,2001,5,12.583333333333334,10.6875,12.583333333333334,10.6875
245,197,2001,5,0.5833333333333334,3.1875,0.5833333333333334,3.1875
2509,2006,2001,5,-1.1666666666666667,0.375,-1.1666666666666667,0.375
96,57,2001,5,-7.083333333333333,-7.5625,-7.083333333333333,-7.5625
8,333,2001,5,5.416666666666667,3.3125,5.416666666666667,3.3125
259,164,2001,5,4.708333333333333,12.65625,4.708333333333333,12.65625
2433,2393,2001,5,11.5,1.125,11.5,1.125
30,2483,2001,5,1.9166666666666667,2.3125,1.9166666666666667,2.3125
2534,2459,2001,5,-13.0,-7.0,-13.0,-7.0
153,52,2001,5,6.0,-0.5000000000000003,6.0,-0.5000000000000003
264,70,2001,5,5.166666666666667,5.125,5.166666666666667,5.125
251,248,2001,5,-4.888888888888889,4.333333333333333,-4.888888888888889,4.333333333333333
2655,2116,2001,5,1.0555555555555556,-6.958333333333333,1.0555555555555556,-6.958333333333333
2466,2628,2001,5,0.0,0.0,0.0,0.0
21,36,2001,5,6.666666666666667,-0.5,6.666666666666667,-0.5
24,9,2001,5,5.333333333333333,8.0,5.333333333333333,8.0
277,2309,2001,5,-3.4583333333333335,-3.46875,-3.4583333333333335,-3.46875
97,356,2001,5,-2.7037037037037037,3.8888888888888893,-2.7037037037037037,3.8888888888888893
2649,2117,2001,5,1.2083333333333333,8.03125,1.2083333333333333,8.03125
77,150,2001,5,-2.8333333333333335,0.125,-2.8333333333333335,0.125
195,66,2001,5,-1.9583333333333333,-3.84375,-1.9583333333333333,-3.84375
166,2306,2001,5,-2.777777777777778,-7.083333333333333,-2.777777777777778,-7.083333333333333
41,2084,2001,5,1.0,-6.75,1.0,-6.75
2440,62,2001,5,-4.25,-10.9375,-4.25,-10.9375
26,194,2001,5,-0.5416666666666666,2.96875,-0.5416666666666666,2.96875
2460,2050,2001,5,15.0,0.0,15.0,0.0
265,25,2001,5,-4.583333333333333,2.8125,-4.583333333333333,2.8125
275,213,2001,5,2.4444444444444446,1.3333333333333335,2.4444444444444446,1.3333333333333335
2729,151,2001,5,0.0,0.0,0.0,0.0
282,2199,2001,5,17.0,0.0,17.0,0.0
167,239,2001,5,4.666666666666667,4.5,4.666666666666667,4.5
58,235,2001,5,3.9166666666666665,3.6875,3.9166666666666665,3.6875
193,2132,2001,5,10.875,2.78125,10.875,2.78125
87,127,2001,5,16.333333333333332,8.0,16.333333333333332,8.0
254,84,2001,5,2.4166666666666665,0.5625,2.4166666666666665,0.5625
202,278,2001,5,-17.0,0.0,-17.0,0.0
154,120,2001,5,-2.3333333333333335,-0.25,-2.3333333333333335,-0.25
349,5,2001,5,-1.1666666666666667,-1.625,-1.1666666666666667,-1.625
2641,249,2001,5,4.666666666666667,6.5,4.666666666666667,6.5
218,189,2001,5,9.208333333333334,6.03125,9.208333333333334,6.03125
258,228,2001,5,-1.0,-1.75,-1.0,-1.75
2567,152,2001,5,1.5000000000000002,-6.124999999999999,1.5000000000000002,-6.124999999999999
2305,38,2001,5,4.083333333333333,1.8125,4.083333333333333,1.8125
221,2390,2001,6,0.1666666666666667,2.875,0.1666666666666667,2.875
2641,251,2001,6,-6.555555555555556,0.08333333333333337,-6.555555555555556,0.08333333333333337
58,249,2001,6,1.5308641975308641,0.9814814814814815,1.5308641975308641,0.9814814814814815
202,2638,2001,6,5.083333333333333,7.8125,5.083333333333333,7.8125
154,52,2001,6,5.246913580246914,4.351851851851852,5.246913580246914,4.351851851851852
164,41,2001,6,7.938271604938271,-1.9629629629629637,7.938271604938271,-1.9629629629629637
2348,278,2001,6,-1.0,2.125,-1.0,2.125
98,275,2001,6,0.0,0.0,0.0,0.0
26,204,2001,6,1.4074074074074074,3.8888888888888893,1.4074074074074074,3.8888888888888893
2439,252,2001,6,2.3703703703703707,-0.722222222222222,2.3703703703703707,-0.722222222222222
158,142,2001,6,-1.277777777777778,5.541666666666667,-1.277777777777778,5.541666666666667
2711,2199,2001,6,2.1358024691358026,1.0185185185185186,2.1358024691358026,1.0185185185185186
153,152,2001,6,1.5833333333333333,-0.5625000000000001,1.5833333333333333,-0.5625000000000001
61,8,2001,6,3.388888888888889,5.416666666666666,3.388888888888889,5.416666666666666
264,25,2001,6,-8.027777777777779,0.8541666666666663,-8.027777777777779,0.8541666666666663
2582,2655,2001,6,0.0,0.0,0.0,0.0
213,2294,2001,6,-0.2916666666666667,-4.96875,-0.2916666666666667,-4.96875
276,189,2001,6,-10.166666666666666,-8.375,-10.166666666666666,-8.375
193,2050,2001,6,-1.111111111111111,-3.8333333333333335,-1.111111111111111,-3.8333333333333335
2649,2459,2001,6,-0.7777777777777777,6.166666666666667,-0.7777777777777777,6.166666666666667
2628,248,2001,6,1.0208333333333333,2.328125,1.0208333333333333,2.328125
