HomeID,VisID,Season,Week,HomeBCSSOS,HomeRPI,AwayBCSSOS,AwayRPI
8,2633,2001,3,0.08333333333333333,0.1875,0.08333333333333333,0.1875
9,21,2001,3,0.0,0.0,0.0,0.0
12,70,2001,3,0.3333333333333333,0.5,0.3333333333333333,0.5
24,103,2001,3,0.6666666666666666,0.5,0.6666666666666666,0.5
25,252,2001,3,0.3333333333333333,0.25,0.3333333333333333,0.25
30,2306,2001,3,0.08333333333333333,0.1875,0.08333333333333333,0.1875
36,2440,2001,3,0.13888888888888887,0.22916666666666666,0.13888888888888887,0.22916666666666666
38,23,2001,3,0.12962962962962962,0.18055555555555555,0.12962962962962962,0.18055555555555555
41,331,2001,3,0.3333333333333333,0.25,0.3333333333333333,0.25
52,5,2001,3,0.16666666666666666,0.375,0.16666666666666666,0.375
57,2433,2001,3,0.25,0.4375,0.25,0.4375
61,2579,2001,3,0.08333333333333333,0.1875,0.08333333333333333,0.1875
62,149,2001,3,0.0,0.0,0.0,0.0
66,2460,2001,3,0.5,0.375,0.5,0.375
68,265,2001,3,0.6666666666666666,0.5,0.6666666666666666,0.5
96,2050,2001,3,0.6666666666666666,0.5,0.6666666666666666,0.5
97,2717,2001,3,0.1111111111111111,0.3333333333333333,0.1111111111111111,0.3333333333333333
99,328,2001,3,0.08333333333333333,0.3125,0.08333333333333333,0.3125
120,2199,2001,3,0.13888888888888887,0.22916666666666666,0.13888888888888887,0.22916666666666666
127,2117,2001,3,0.4444444444444444,0.5833333333333333,0.4444444444444444,0.5833333333333333
135,309,2001,3,0.6666666666666666,0.5,0.6666666666666666,0.5
142,326,2001,3,0.6666666666666666,0.5,0.6666666666666666,0.5
154,2026,2001,3,0.16666666666666666,0.375,0.16666666666666666,0.375
158,87,2001,3,0.08333333333333333,0.1875,0.08333333333333333,0.1875
166,204,2001,3,0.3333333333333333,0.25,0.3333333333333333,0.25
183,2116,2001,3,0.24074074074074073,0.2638888888888889,0.24074074074074073,0.2638888888888889
189,2084,2001,3,0.3333333333333333,0.5,0.3333333333333333,0.5
194,2006,2001,3,0.6666666666666666,0.5,0.6666666666666666,0.5
197,2348,2001,3,0.6666666666666666,0.5,0.6666666666666666,0.5
201,249,2001,3,0.1111111111111111,0.3333333333333333,0.1111111111111111,0.3333333333333333
218,2649,2001,3,0.3333333333333333,0.5,0.3333333333333333,0.5
221,58,2001,3,0.16666666666666666,0.375,0.16666666666666666,0.375
228,2747,2001,3,0.16666666666666666,0.375,0.16666666666666666,0.375
235,236,2001,3,0.6666666666666666,0.5,0.6666666666666666,0.5
238,333,2001,3,0.6666666666666666,0.5,0.6666666666666666,0.5
239,2032,2001,3,0.0,0.0,0.0,0.0
242,150,2001,3,0.3333333333333333,0.5,0.3333333333333333,0.5
251,153,2001,3,0.08333333333333333,0.3125,0.08333333333333333,0.3125
259,2711,2001,3,0.08333333333333333,0.1875,0.08333333333333333,0.1875
264,130,2001,3,0.6666666666666666,0.5,0.6666666666666666,0.5
275,278,2001,3,0.375,0.40625,0.375,0.40625
276,113,2001,3,0.375,0.40625,0.375,0.40625
277,195,2001,3,0.6666666666666666,0.5,0.6666666666666666,0.5
349,2132,2001,3,0.0,0.0,0.0,0.0
356,2459,2001,3,0.08333333333333333,0.1875,0.08333333333333333,0.1875
2005,2635,2001,3,0.6666666666666666,0.5,0.6666666666666666,0.5
2294,193,2001,3,0.16666666666666666,0.375,0.16666666666666666,0.375
2305,26,2001,3,0.3333333333333333,0.5,0.3333333333333333,0.5
2309,2083,2001,3,0.6666666666666666,0.5,0.6666666666666666,0.5
2390,164,2001,3,0.16666666666666666,0.375,0.16666666666666666,0.375
2393,2653,2001,3,0.3333333333333333,0.5,0.3333333333333333,0.5
2426,59,2001,3,0.6666666666666666,0.5,0.6666666666666666,0.5
2483,254,2001,3,0.25,0.4375,0.25,0.4375
2567,2628,2001,3,0.3333333333333333,0.25,0.3333333333333333,0.25
2638,2640,2001,3,0.6666666666666666,0.5,0.6666666666666666,0.5
2641,167,2001,3,0.6666666666666666,0.5,0.6666666666666666,0.5
2655,151,2001,3,0.3333333333333333,0.25,0.3333333333333333,0.25
158,242,2001,5,0.07407407407407407,0.2222222222222222,0.07407407407407407,0.2222222222222222
344,2579,2001,5,0.3333333333333333,0.5,0.3333333333333333,0.5
5,349,2001,5,0.3611111111111111,0.3958333333333333,0.3611111111111111,0.3958333333333333
12,2439,2001,5,0.08333333333333333,0.3125,0.08333333333333333,0.3125
24,9,2001,5,0.25,0.31249999999999994,0.25,0.31249999999999994
26,194,2001,5,0.25,0.4375,0.25,0.4375
36,21,2001,5,0.037037037037037035,0.19444444444444442,0.037037037037037035,0.19444444444444442
38,2305,2001,5,0.020833333333333332,0.140625,0.020833333333333332,0.140625
41,2084,2001,5,0.3333333333333333,0.25,0.3333333333333333,0.25
68,2638,2001,5,0.3333333333333333,0.25,0.3333333333333333,0.25
84,254,2001,5,0.3333333333333333,0.25,0.3333333333333333,0.25
87,127,2001,5,0.4444444444444444,0.3333333333333333,0.4444444444444444,0.3333333333333333
96,57,2001,5,0.041666666666666664,0.15625,0.041666666666666664,0.15625
130,2711,2001,5,0.12962962962962962,0.18055555555555555,0.12962962962962962,0.18055555555555555
150,77,2001,5,0.3333333333333333,0.25,0.3333333333333333,0.25
151,2729,2001,5,0.012345679012345678,0.09259259259259259,0.012345679012345678,0.09259259259259259
153,52,2001,5,0.17361111111111113,0.19270833333333334,0.17361111111111113,0.19270833333333334
154,120,2001,5,0.16666666666666666,0.375,0.16666666666666666,0.375
164,259,2001,5,0.3611111111111111,0.3958333333333333,0.3611111111111111,0.3958333333333333
183,2,2001,5,0.020833333333333332,0.140625,0.020833333333333332,0.140625
189,218,2001,5,0.08333333333333333,0.3125,0.08333333333333333,0.3125
193,2132,2001,5,0.3333333333333333,0.25,0.3333333333333333,0.25
195,66,2001,5,0.16666666666666666,0.125,0.16666666666666666,0.125
202,278,2001,5,0.3333333333333333,0.5,0.3333333333333333,0.5
213,275,2001,5,0.7222222222222222,0.5416666666666666,0.7222222222222222,0.5416666666666666
228,258,2001,5,0.1111111111111111,0.3333333333333333,0.1111111111111111,0.3333333333333333
235,58,2001,5,0.08333333333333333,0.1875,0.08333333333333333,0.1875
238,257,2001,5,0.2222222222222222,0.16666666666666666,0.2222222222222222,0.16666666666666666
239,167,2001,5,0.16666666666666666,0.375,0.16666666666666666,0.375
245,197,2001,5,0.16666666666666666,0.375,0.16666666666666666,0.375
248,251,2001,5,0.6666666666666666,0.5,0.6666666666666666,0.5
249,2641,2001,5,0.2222222222222222,0.16666666666666666,0.2222222222222222,0.16666666666666666
264,70,2001,5,0.13888888888888887,0.22916666666666666,0.13888888888888887,0.22916666666666666
265,25,2001,5,0.05555555555555555,0.2916666666666667,0.05555555555555555,0.2916666666666667
277,2309,2001,5,0.041666666666666664,0.15625,0.041666666666666664,0.15625
309,2572,2001,5,0.20833333333333334,0.28125,0.20833333333333334,0.28125
328,2751,2001,5,0.3333333333333333,0.25,0.3333333333333333,0.25
333,8,2001,5,0.037037037037037035,0.19444444444444442,0.037037037037037035,0.19444444444444442
356,97,2001,5,0.14814814814814814,0.2777777777777778,0.14814814814814814,0.2777777777777778
2032,55,2001,5,0.3333333333333333,0.25,0.3333333333333333,0.25
2050,2460,2001,5,0.16666666666666666,0.125,0.16666666666666666,0.125
2117,2649,2001,5,0.375,0.40625,0.375,0.40625
2199,282,2001,5,0.25,0.31249999999999994,0.25,0.31249999999999994
2306,166,2001,5,0.13888888888888887,0.22916666666666666,0.13888888888888887,0.22916666666666666
2426,103,2001,5,0.3333333333333333,0.25,0.3333333333333333,0.25
2433,2393,2001,5,0.3333333333333333,0.25,0.3333333333333333,0.25
2440,62,2001,5,0.2222222222222222,0.16666666666666666,0.2222222222222222,0.16666666666666666
2459,2534,2001,5,0.25,0.31249999999999994,0.25,0.31249999999999994
2483,30,2001,5,0.1851851851851852,0.3888888888888889,0.1851851851851852,0.3888888888888889
2509,2006,2001,5,0.1111111111111111,0.20833333333333331,0.1111111111111111,0.20833333333333331
2567,152,2001,5,0.2222222222222222,0.16666666666666666,0.2222222222222222,0.16666666666666666
2628,2466,2001,5,0.037037037037037035,0.19444444444444442,0.037037037037037035,0.19444444444444442
2653,2447,2001,5,0.3333333333333333,0.25,0.3333333333333333,0.25
2655,2116,2001,5,0.07407407407407407,0.05555555555555555,0.07407407407407407,0.05555555555555555
221,2390,2001,6,0.09876543209876543,0.24074074074074073,0.09876543209876543,0.24074074074074073
9,23,2001,6,0.25,0.31249999999999994,0.25,0.31249999999999994
12,265,2001,6,0.037037037037037035,0.2777777777777778,0.037037037037037035,0.2777777777777778
