HomeID,VisID,Season,Week,Spread_Mirage,Spread_Pinnacle,Spread_Sportsbet,Spread_Westgate,Spread_Station,Spread_SIA,Spread_SBG,Spread_BetUS,target_margin,Conf,Spread_Med,Spread_Mode
2,99,2014,6,-7.5,-7.0,-7.0,-7.0,-7.0,-7.5,-7.0,-7.0,34,sec,-7.0,-7.0
344,245,2014,6,-3.0,-2.5,-3.0,-2.5,-3.0,-3.0,-2.5,-3.0,17,sec,-3.0,-3.0
96,2579,2014,6,4.0,4.0,4.5,4.5,4.0,4.0,4.0,4.5,7,sec,4.0,4.0
84,249,2014,6,-13.0,-11.0,-11.0,-11.0,-11.5,-11.5,-11.0,-11.0,25,big-ten,-11.0,-11.0
295,276,2014,6,,19.0,18.5,19.0,,19.5,,,-42,cusa,19.0,19.0
309,2247,2014,6,-16.5,-16.0,-16.0,-15.5,,-16.0,,,3,sun-belt,-16.0,-16.0
2005,2426,2014,6,3.5,3.5,3.0,3.5,3.0,3.5,3.0,3.5,9,mwc,3.5,3.5
98,5,2014,6,-9.5,-9.5,-10.0,-9.5,,-10.0,-10.0,-10.0,-3,cusa,-10.0,-10.0
145,333,2014,6,5.5,4.0,4.5,5.0,6.0,6.0,4.5,4.5,6,sec,4.75,4.5
30,9,2014,6,-12.5,-11.5,-12.0,-11.5,-13.0,-12.0,-12.5,-11.5,-4,pac-12,-12.0,-11.5
326,70,2014,6,,-14.5,-14.5,-15.0,,-15.0,,,5,sun-belt,-14.75,-15.0
242,62,2014,6,-6.0,-5.5,-5.5,-6.0,-6.5,-6.0,-6.0,-6.0,14,cusa,-6.0,-6.0
38,204,2014,6,4.5,4.0,4.0,5.0,4.5,4.0,4.5,4.0,-5,pac-12,4.25,4.0
87,24,2014,6,2.5,2.5,3.0,2.5,2.5,2.5,3.0,3.0,3,independent,2.5,2.5
2636,167,2014,6,-16.0,-16.5,-16.5,-16.5,-16.5,-16.0,,,-12,cusa,-16.5,-16.5
36,202,2014,6,-18.5,-18.0,-18.0,-18.0,,-18.5,,,25,mwc,-18.0,-18.0
252,328,2014,6,,-21.0,-21.0,-21.0,,-21.0,,,-15,independent,-21.0,-21.0
248,2116,2014,6,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-5,american,-2.5,-2.5
151,2567,2014,6,,,-38.0,,,,,,21,american,-38.0,-38.0
2633,57,2014,6,-1.0,0.0,-1.0,0.0,-1.5,0.0,-1.0,0.0,-1,sec,-0.5,0.0
52,154,2014,6,,,-37.0,,,,,,40,acc,-37.0,-37.0
2006,2199,2014,6,,-25.5,-26.0,,,-26.0,,,25,mac,-26.0,-26.0
228,152,2014,6,-14.5,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,41,acc,-14.0,-14.0
