HomeID,VisID,Season,Week,Spread_Mirage,Spread_Pinnacle,Spread_Sportsbet,Spread_Westgate,Spread_Station,Spread_SIA,Spread_SBG,Spread_BetUS,target_margin,Conf,Spread_Med,Spread_Mode,Spread_Mode2
242,249,2014,9,-16.5,-16,-17,-17,-13.5,-17,-17,-17,20,cusa,-17,-17,NA
251,249,2014,1,-10.375,-20.5,-21,-21,-9.125,-20.5,-10,-10,31,big-12,-20.75,-21,NA
2636,249,2014,14,-5.5,-5.5,-6,-4.5,-5,-5.5,-5.5,-6,7,cusa,-5.5,-5.5,NA
5,276,2014,13,10,17.5,18,19,10.5,17.5,10,10,-5,cusa,17.75,17.5,NA
193,276,2014,1,10,24,24.5,24.5,NA,24,10,10,-15,mac,24.25,24,NA
295,276,2014,6,10,19,18.5,19,10.5,19.5,10,10,-42,cusa,19,19,NA
2006,276,2014,4,10,10,10.5,10.5,10.5,10.5,10,10,-31,mac,10.25,10,NA
2229,276,2014,8,10,21,21.5,21,10.5,21.5,10,10,-32,cusa,21.25,21,NA
5,2010,2014,3,NA,NA,-35.5,NA,NA,NA,NA,NA,27,cusa,-35.5,-35.5,NA
5,2229,2014,5,-14,-14,-14,-14,-14.5,-14,-14,-5.133333333333334,-14,cusa,-14,-14,NA
249,2229,2014,13,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-3,3,cusa,-2.5,-2.5,NA
295,2229,2014,11,-4.5,-5,-5,-5,-4.5,-5,-5,-5,3,cusa,-5,-5,NA
2636,2229,2014,7,-9,-9,-9,-9,-7.7,-9,-9,-9,3,cusa,-9,-9,NA
5,2653,2014,1,-2.5,2.5,2.5,1.5,-20.25,1.5,2.5,2.5,38,cusa,2.5,2.5,NA
6,2653,2014,9,-16,-16,-16,-16.5,-16,-17,-16,-16,14,sun-belt,-16,-16,NA
61,2653,2014,4,-9.375,-11.3,-41.5,-11.5,-20.25,-11.9,-8.25,-8.125,66,sec,-41.5,-41.5,NA
70,2653,2014,12,-5.5,-5.5,-5.5,-5,-20.25,-5.5,-5.5,-5.5,-17,sun-belt,-5.5,-5.5,NA
290,2653,2014,10,NA,-24,-24,-24,-24.5,-24.5,NA,NA,32,sun-belt,-24,-24,NA
2433,2653,2014,5,-13.5,-13.5,-13,-13.5,NA,-14,-14,-13.5,2,sun-belt,-13.5,-13.5,NA
6,290,2014,4,-1.8333333333333333,1,1,1.5,-2.5,3,2.5,1.5,-22,sun-belt,1.5,1,NA
59,290,2014,3,-16,-15.5,-15.5,-15,-2.5,-15.5,3.8333333333333335,3.5,4,acc,-15.5,-15.5,NA
152,290,2014,1,-1.8333333333333333,-20.5,-20.5,-20.5,-2.5,-20.5,3.8333333333333335,3.5,1,acc,-20.5,-20.5,NA
326,290,2014,11,13.5,12,12,12,NA,12,12,12,-3,sun-belt,12,12,NA
2247,290,2014,9,1.2333333333333336,17,17,17,NA,17,3.8333333333333335,5.2,-38,sun-belt,17,17,NA
2426,290,2014,12,-3,-3,-3,-3,-2.5,-3,-3,-3,33,independent,-3,-3,NA
6,344,2014,3,14,15,15,14,14,14.5,14,14.5,-32,sun-belt,14.25,14,NA
96,344,2014,9,15,14.5,14.5,15.5,0.125,14.5,0,0.125,-14,sec,14.5,14.5,NA
99,344,2014,4,-7.5,-7,-7,-7,-7.5,-7,-7,-7,-5,sec,-7,-7,NA
145,344,2014,14,3,2.5,2.5,3,3,3,2.5,2.5,14,sec,2.75,2.5,NA
333,344,2014,12,-10,-10,-9,-9.5,-9,-9,-9.5,-9.5,5,sec,-9.5,-9.5,NA
6,2247,2014,8,-12,-19.5,-19.5,-19.5,-9.75,-19.5,-9.25,-19.5,3,sun-belt,-19.5,-19.5,NA
228,2247,2014,13,-12,-13.375,-39.5,-13.125,-9.75,-13.375,-9.25,-12.5,28,acc,-39.5,-39.5,NA
264,2247,2014,4,-12,-13.375,-34.5,-13.125,-9.75,-13.375,-9.25,-12.5,31,pac-12,-34.5,-34.5,NA
309,2247,2014,6,-16.5,-16,-16,-15.5,-9.75,-16,-9.25,-11.1,3,sun-belt,-16,-16,NA
2026,2247,2014,10,-12.5,-11,-11,-11,-12.5,-11,-11.5,-11,44,sun-belt,-11,-11,NA
2653,2247,2014,11,-7,-7,-7,-6.5,-7,-7,-7,-7,24,sun-belt,-7,-7,NA
6,2426,2014,14,7,7.5,7.5,7.5,8,7.5,7,7.5,-2,sun-belt,7.5,7.5,NA
218,2426,2014,2,3,3,3,3,3,3,3,3,-7,american,3,3,NA
349,2426,2014,16,-16.5,-16.5,-16.5,-16,-16.5,-16.5,4.333333333333333,4.666666666666667,-7,independent,-16.5,-16.5,NA
2005,2426,2014,6,3.5,3.5,3,3.5,3,3.5,3,3.5,9,mwc,3.5,3.5,NA
8,5,2014,9,-3.3333333333333335,-24.5,-24.5,-2.75,-0.8333333333333334,-24,-3,-3,28,sec,-24.5,-24.5,NA
98,5,2014,6,-9.5,-9.5,-10,-9.5,-1.5666666666666667,-10,-10,-10,-3,cusa,-10,-10,NA
344,5,2014,2,-3.3333333333333335,-29,-29,-2.75,-0.8333333333333334,-7.3,-3,-3,13,sec,-29,-29,NA
2226,5,2014,10,-3.5,-3,-3,-3,-4.5,-3,-3,-3,-3,cusa,-3,-3,NA
2393,5,2014,8,-3.3333333333333335,-2,-2,-1.5,-1,-2,-2,-2,12,cusa,-2,-2,NA
2572,5,2014,14,3,2.5,2.5,3,3,2.5,3,3,-21,cusa,3,3,NA
8,61,2014,8,3,3,3,3,3,3,3,3,-13,sec,3,3,NA
96,61,2014,11,10,10,10,4.166666666666667,10,10,10,10,-32,sec,10,10,NA
142,61,2014,7,2.5,3,3,3,2.5,3,3,3,-34,sec,3,3,NA
2579,61,2014,3,6.5,6.5,7,6.5,6.5,6.5,6.5,7,3,sec,6.5,6.5,NA
8,145,2014,13,3,3,3,3,3.5,3,3,3,30,sec,3,3,NA
99,145,2014,9,4,4,3.5,5,3,4,3.5,3.5,3,sec,3.75,3.5,NA
238,145,2014,2,3.5,17.5,19.5,18,3.25,18,NA,NA,-38,sec,18,18,NA
8,333,2014,7,9,8.5,9,9,9.5,9.5,9,8.5,-1,sec,9,9,NA
142,333,2014,15,-14.5,-14,-14,-14.5,-14.5,-14,-14,-14,-29,sec,-14,-14,NA
145,333,2014,6,5.5,4,4.5,5,6,6,4.5,4.5,6,sec,4.75,4.5,NA
2633,333,2014,9,0,20,19.5,20,17.5,20,-0.16666666666666666,-0.3333333333333333,-14,sec,20,20,NA
8,2447,2014,2,NA,NA,-40,NA,NA,NA,NA,NA,66,sec,-40,-40,NA
249,2447,2014,4,NA,NA,-36.5,NA,NA,NA,NA,NA,74,cusa,-36.5,-36.5,NA
2005,2447,2014,1,NA,NA,-27,NA,NA,NA,NA,NA,28,mwc,-27,-27,NA
8,2459,2014,4,-13.5,-13.5,-13.5,-13.5,-14,-13.5,-13.5,-13.5,38,sec,-13.5,-13.5,NA
77,2459,2014,2,-7,-7,-7.5,-6.5,-7,-7,-7,-7,-8,big-ten,-7,-7,NA
189,2459,2014,15,5.5,5,5.5,5,6,6,5,5,-34,mac,5.25,5,NA
2050,2459,2014,11,3,3,3,3,3,3,3,3,-14,mac,3,3,NA
2199,2459,2014,9,-0.16666666666666674,17.5,18,-0.33333333333333326,NA,18,-0.3999999999999999,-1.75,-11,mac,18,18,NA
2439,2459,2014,3,10,10,9.5,10.5,11.5,10,10,10,-14,mwc,10,10,NA
2711,2459,2014,14,-7.5,-8,-8,-8.5,-8,-8,-8,-8,-10,mac,-8,-8,NA
9,26,2014,5,3,3,3.5,3.5,3.5,3.5,3.5,3.5,-35,pac-12,3.5,3.5,NA
25,26,2014,8,6.5,6.5,7,6.5,7,7,6.5,6.5,-2,pac-12,6.5,6.5,NA
38,26,2014,9,14,14,14,14,13.5,14,14,14,-3,pac-12,14,14,NA
258,26,2014,1,7.833333333333333,18,18.5,18.5,8,20,8,8,-8,acc,18.5,18.5,NA
9,87,2014,11,-3,-3,-3,-3,-3,-3,-3,-3,24,pac-12,-3,-3,NA
30,87,2014,14,-5.5,-4.5,-5.5,-6,-6,-6.5,-5.5,-5.5,35,pac-12,-5.5,-5.5,NA
9,265,2014,13,-14,-14.5,-14.5,-14,-15,-14.5,NA,-14.5,21,pac-12,-14.5,-14.5,NA
24,265,2014,7,-16.5,-16.5,-17,-16.5,-16.5,-17,-4.0002434615277735,NA,17,pac-12,-16.5,-16.5,NA
204,265,2014,11,-9.5,-8.5,-8.5,-9.5,-9.5,-8.5,-9,-8.5,-7,pac-12,-8.75,-8.5,NA
2440,265,2014,2,3.5,3,3.5,3.5,3.5,3.5,3.5,3,11,mwc,3.5,3.5,NA
9,2692,2014,1,NA,NA,-48,NA,NA,NA,NA,NA,31,pac-12,-48,-48,NA
12,9,2014,14,-2,-2,-2,-1,-13,-2,-2,-2,7,pac-12,-2,-2,NA
30,9,2014,6,-12.5,-11.5,-12,-11.5,-13,-12,-12.5,-11.5,-4,pac-12,-12,-11.5,NA
167,9,2014,2,-7.25,24,24,24,-13,24.5,-7.25,-6.75,-35,mwc,24,24,NA
12,264,2014,12,-8.5,-7.5,-8,-9,-9,-8,-8,-7.5,1,pac-12,-8,-8,NA
25,264,2014,7,-3,-3.5,-3.5,-3,-3.5,-3.5,-3.5,-3.5,-24,pac-12,-3.5,-3.5,NA
38,264,2014,10,3.5,3,2.5,2.5,4.5,2.5,2.5,3,-15,pac-12,2.75,2.5,NA
62,264,2014,1,17,17.5,18,17.5,18.5,17,NA,NA,-1,mwc,17.5,17,NA
12,2439,2014,1,-17,-20.5,-20.5,-21,-21.5,-21,NA,NA,45,pac-12,-21,-21,NA
328,2439,2014,9,-17,-17,-16.5,-17,-17,-17,NA,NA,14,mwc,-17,-17,NA
21,70,2014,11,-13.5,-20.5,-20.5,-21,NA,-20.5,-11.5,-11.25,14,mwc,-20.5,-20.5,NA
195,70,2014,4,-11.5,-10.5,-10.5,-10.5,-11.5,-10.5,-11,-10.5,12,mac,-10.5,-10.5,NA
290,70,2014,7,NA,-21.5,-21.5,-15.48,NA,-22,NA,NA,23,sun-belt,-21.5,-21.5,NA
326,70,2014,6,-13.5,-14.5,-14.5,-15,NA,-15,NA,-11.25,5,sun-belt,-14.75,-15,NA
2026,70,2014,14,-17,-17,-17,-17,NA,-17,-11.5,-11.25,17,sun-belt,-17,-17,NA
2433,70,2014,2,-12,-11,-13,-12,NA,-11.5,-12,-12,7,sun-belt,-12,-12,NA
21,2005,2014,13,-5.5,-5.5,-6,6.666666666666667,-5,-6,-5.5,-6,16,mwc,-5.5,-6,NA
349,2005,2014,10,3.5,3.5,3.5,3.5,3.5,3.5,3,3.5,-17,independent,3.5,3.5,NA
2247,2005,2014,3,11.5,12,12,12,11.5,12,12,0.8333333333333334,-10,sun-belt,12,12,NA
2439,2005,2014,11,5.5,4.5,4.5,4.5,6,4.5,4.5,5,-27,mwc,4.5,4.5,NA
21,2464,2014,1,NA,NA,-17.5,NA,NA,NA,NA,NA,31,mwc,-17.5,-17.5,NA
23,36,2014,10,6,5.5,6,6,6.5,6.5,6,6,-7,mwc,6,6,NA
38,36,2014,1,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-14,pac-12,-2.5,-2.5,NA
103,36,2014,5,-8,-6,-7.5,-7.5,-6.5,-7.5,-7.5,-6,-3,acc,-7.5,-7.5,NA
2005,36,2014,14,8.5,7.5,7.5,7.5,8,7.5,7.5,7.5,3,mwc,7.5,7.5,NA
23,62,2014,12,-10,-10,-10,-10,NA,-10,-10,-10,-13,mwc,-10,-10,NA
38,62,2014,4,-8.5,-8.5,-8.5,-9,-9.5,-8.5,-9,-8.5,9,pac-12,-8.5,-8.5,NA
242,62,2014,6,-6,-5.5,-5.5,-6,-6.5,-6,-6,-6,14,cusa,-6,-6,NA
23,155,2014,1,NA,NA,-24,NA,NA,-24,NA,NA,32,mwc,-24,-24,NA
24,30,2014,2,-3,-3,-3,-3,-3,-3,-3,NA,-3,pac-12,-3,-3,NA
265,30,2014,10,7.5,7.5,7.5,7.5,9.5,7.5,7.5,7.5,-27,pac-12,7.5,7.5,NA
24,204,2014,9,-12.5,-12,-12.5,-12.5,-13.5,-12.5,-12.5,-12.5,24,pac-12,-12.5,-12.5,NA
38,204,2014,6,4.5,4,4,5,4.5,4,4.5,4,-5,pac-12,4.25,4,NA
24,254,2014,12,-10,-10,-10,-10,-9.5,-10,-10,-10,-3,pac-12,-10,-10,NA
38,254,2014,14,7.5,7,7,7.5,7.5,7.5,7,7,-4,pac-12,7.25,7,NA
130,254,2014,4,-3,-3,-3,-2.5,-3,-3,-3,-3,-16,big-ten,-3,-3,NA
204,254,2014,8,2,1.5,1,1.5,2,2,1.5,1.5,-6,pac-12,1.5,1.5,NA
24,302,2014,1,NA,NA,-21,NA,NA,-22.5,NA,NA,45,pac-12,-21.75,NA,-22.5
36,302,2014,3,NA,NA,-21,NA,NA,-22.5,NA,NA,28,mwc,-21.75,-22.5,NA
24,349,2014,3,-0.5,-0.5,-30,-0.6666666666666666,-0.6666666666666666,-0.8333333333333334,-0.6666666666666666,NA,35,pac-12,-30,-30,NA
43,349,2014,5,NA,NA,14.5,NA,NA,NA,NA,NA,6,NotMajor,14.5,14.5,NA
98,349,2014,12,-8,-7,-7.5,-7.5,-8,-8,-7.5,-7,28,cusa,-7.5,-8,NA
154,349,2014,4,3,2.5,2.5,2.5,2.5,2.5,2.5,3,3,acc,2.5,2.5,NA
2309,349,2014,8,3.5,3,3,3,3.5,3,3,3,22,mac,3,3,NA
25,16,2014,2,NA,NA,-24.5,NA,NA,NA,NA,NA,41,pac-12,-24.5,-24.5,NA
25,24,2014,13,6,5.5,5.5,5.5,6,5.5,5.5,5.5,-21,pac-12,5.5,5.5,NA
26,24,2014,14,-6.5,-6.5,-6,-6.5,-6.5,-6,-6,-6.5,-21,pac-12,-6.5,-6.5,NA
87,24,2014,6,2.5,2.5,3,2.5,2.5,2.5,3,3,3,independent,2.5,2.5,NA
264,24,2014,5,7.5,7.5,7.5,8,7.5,7.5,7.5,8,-7,pac-12,7.5,7.5,NA
2483,24,2014,10,-7.5,-7,-7,-7,-8.5,-7.5,-7,-7,29,pac-12,-7,-7,NA
25,38,2014,5,-14.5,-14,-13.5,-14,-14.5,-14,-14,-14,3,pac-12,-14,-14,NA
30,38,2014,8,NA,-18.5,-19,-19.5,-20.5,-19.5,NA,NA,28,pac-12,-19.5,-19.5,NA
113,38,2014,2,-14.5,17.5,18,18,-17.5,18,-14,-14,-3,mac,18,18,NA
2483,38,2014,13,-14.5,-6.8,-33,-6.933333333333334,-16.9,-6.933333333333334,-14,-14,34,pac-12,-33,-33,NA
25,252,2014,14,-3,-3,-3.5,-3,-3.5,-3.5,-3.5,-3,-7,pac-12,-3.25,-3.5,NA
41,252,2014,1,14.5,14.5,15,14.5,-1.9,15,-2.2,-2.5,-25,american,14.5,14.5,NA
68,252,2014,9,-6.5,-6.5,-7,-6.5,-6.5,-6.5,-6.5,-7,25,mwc,-6.5,-6.5,NA
251,252,2014,2,1,-1,0,-1.5,0,-1,-1,-2.5,-34,big-12,-1,-1,NA
2116,252,2014,7,-3,-2.5,-2.5,-3,-3,-2.5,-3,-3,7,american,-3,-3,NA
2393,252,2014,10,3,3,3,3,3.5,3,3,3,-20,cusa,3,3,NA
25,2483,2014,9,2,17.5,17.5,17.5,18,17.5,1.5,1.5,-18,pac-12,17.5,17.5,NA
26,2483,2014,7,2,1.5,1.5,1.5,1.5,2,1.5,1.5,-12,pac-12,1.5,1.5,NA
30,25,2014,12,-14,-14,-14,-13.5,-14,-14,-14,-14,8,pac-12,-14,-14,NA
77,25,2014,1,-8.5,-8,-7.5,-7.5,-8.5,-8,-7.5,-8,-7,big-ten,-8,-8,NA
30,278,2014,1,NA,-18.5,-18.5,-18.5,NA,-18.5,NA,NA,39,pac-12,-18.5,-18.5,NA
68,278,2014,8,-18,-17.5,-18,-18,-17.5,-18,0.8333333333333334,NA,10,mwc,-18,-18,NA
167,278,2014,5,6,6,6.5,5.5,5.5,6,6.5,6.5,-11,mwc,6,6,NA
254,278,2014,2,-13,-13,-13,-13,-14,-13,-13.5,-13,32,pac-12,-13,-13,NA
2439,278,2014,7,10,9.5,9.5,10,10,10,9.5,9.5,3,mwc,9.75,9.5,NA
36,167,2014,13,NA,-20.5,-21,-21,-11.375,-21,NA,NA,38,mwc,-21,-21,NA
328,167,2014,12,-11.75,-20,-20,-20,-20,-20,-4,NA,7,mwc,-20,-20,NA
2005,167,2014,8,-7.5,-7,-7,-7.5,-7.5,-7,-7,-7.5,4,mwc,-7.25,-7.5,NA
2439,167,2014,10,-11.75,-1,-1.5,-1,-1.5,-1,-1,-7.5,-3,mwc,-1,-1,NA
2636,167,2014,6,-16,-16.5,-16.5,-16.5,-16.5,-16,-4,-7.5,-12,cusa,-16.5,-16.5,NA
36,202,2014,6,-18.5,-18,-18,-18,3.1666666666666665,-18.5,NA,NA,25,mwc,-18,-18,NA
218,202,2014,7,-18.5,-17,-16.5,-16.3,-17,-16.5,1,1,11,american,-16.75,-17,NA
235,202,2014,10,-18.5,-24,-24.5,-24.5,24.5,-24.5,NA,1,20,american,-24.5,-24.5,NA
248,202,2014,13,-18.5,-20,-20,-20,3.1666666666666665,-20,1,1,10,american,-20,-20,NA
2116,202,2014,12,-18.5,-19.5,-19,-20,3.1666666666666665,-19,1,1,24,american,-19.25,-19,NA
2226,202,2014,3,-18.5,1,1,1,2,1,1,1,29,cusa,1,1,NA
36,328,2014,8,-6,-5.5,-5.5,-6,-6,-5.5,-5.5,-6,3,mwc,-5.75,-6,NA
252,328,2014,6,NA,-21,-21,-21,-1.125,-21,NA,NA,-15,independent,-21,-21,NA
2032,328,2014,4,-2.5,-3,-3,-2.5,-2.5,-3,-3,-3,7,sun-belt,-3,-3,NA
2633,328,2014,1,-3.5,-3.5,-3,-3,-3.5,-3,-3.5,-3,31,sec,-3.25,-3.5,NA
2751,328,2014,11,7.5,7.5,7.5,7.5,7.5,7.5,-4,7,-17,mwc,7.5,7.5,NA
36,2751,2014,9,NA,-19.5,-19.5,-19.5,-19.5,-19.5,NA,NA,14,mwc,-19.5,-19.5,NA
127,2751,2014,5,NA,-11.5,-27,-11.75,-12,-11.75,NA,NA,42,big-ten,-27,-27,NA
167,2751,2014,14,-3.5,-3.5,-4,-4,-4.5,-4,-3.5,-4,6,mwc,-4,-4,NA
2483,2751,2014,3,-3.5,-11.5,-42,-11.75,-12,-11.75,-3.5,-4,34,pac-12,-42,-42,NA
41,68,2014,3,15.5,14.5,14.5,15,16.5,15,11,11.25,-17,american,15,14.5,NA
145,68,2014,1,10,9.5,9.5,10,10,13.5,9.5,10,22,sec,10,10,NA
2005,68,2014,5,13,12.5,12.5,13,13,12,12.5,12.5,14,mwc,12.5,12.5,NA
41,218,2014,5,6,6,6,6,6.5,6.5,6.5,6,-26,american,6,6,NA
213,218,2014,12,-10.5,-11,-11,-11,-10.5,-11,-11,-11,17,big-ten,-11,-11,NA
238,218,2014,1,-5.125,-5.25,-5.125,-5.125,-4.875,-4.75,NA,NA,-30,sec,-5.125,NA,-5.125
248,218,2014,8,-9,-9.5,-9.5,-9,-8.5,-8.5,-9,-9,21,american,-9,-9,NA
2116,218,2014,9,-7,-6.5,-6,-6.5,-7,-6,-6.5,-6.5,20,american,-6.5,-6.5,NA
41,2116,2014,10,9.5,8.5,9,9.5,11.5,9,9,9,8,american,9,9,NA
58,2116,2014,14,10,10,10,10,11,10,10.5,10,-16,american,10,10,NA
142,2116,2014,3,-11,-10.5,-10.5,-10,-10.5,-11,5.666666666666667,5.5,28,sec,-10.5,-10.5,NA
248,2116,2014,6,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-5,american,-2.5,-2.5,NA
41,2567,2014,15,-13.5,-13.5,-13.5,-13.5,-13.5,-13.5,-13.5,-13.5,-7,american,-13.5,-13.5,NA
151,2567,2014,6,-10,-10.8,-38,-11.033333333333333,-10,-14.4,NA,NA,21,american,-38,-38,NA
202,2567,2014,11,-14,-14,-14,-14.5,-14,-14,-14,-14,10,american,-14,-14,NA
239,2567,2014,1,NA,NA,-32,NA,NA,NA,NA,NA,45,big-12,-32,-32,NA
249,2567,2014,2,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-3,37,cusa,-2.5,-2.5,NA
2116,2567,2014,13,-10,-10,-28.5,-10.166666666666666,-10.7,-28,-10.7,-10.833333333333332,46,american,-28.25,-28.5,NA
41,2619,2014,2,NA,NA,-16.5,NA,NA,NA,NA,NA,3,american,-16.5,-16.5,NA
52,57,2014,14,-7,-7,-7,-7,-7,-7,-7,-7,5,acc,-7,-7,NA
61,57,2014,10,-11.5,-11.5,-12,-11,-11.5,-12,-11.5,-12,-18,sec,-11.5,-11.5,NA
333,57,2014,4,-14.5,-14,-13.5,-14,-14,-14,-14.5,-6.333333333333333,21,sec,-14,-14,NA
2633,57,2014,6,-1,0,-1,0,-1.5,0,-1,0,-1,sec,-0.5,0,NA
52,103,2014,13,NA,-17,-16.5,-16.5,-17,-16.5,NA,NA,3,acc,-16.5,-16.5,NA
113,103,2014,1,2.5,17.5,17.5,18,-2.625,17,2.5,2.6666666666666665,-23,mac,17.5,17.5,NA
152,103,2014,7,-3,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-16,acc,-2.5,-2.5,NA
154,103,2014,9,13.5,13.5,13.5,13.5,12.5,13,13,13.5,-6,acc,13.5,13.5,NA
259,103,2014,10,-3,-2.5,-2.5,-2,-3.5,-3,-3,-3,-2,acc,-3,-3,NA
52,154,2014,6,NA,-13.125,-37,-14.6,-8.75,-13.75,NA,NA,40,acc,-37,-37,NA
97,154,2014,5,-16,-21,-21,-21.5,-8.75,-21,NA,NA,10,acc,-21,-21,NA
152,154,2014,12,-16,-14.5,-16.5,-16.5,-8.75,-16,-1.5,-1.5,29,acc,-16,-16.5,NA
328,154,2014,3,-16,-15.5,-15.5,-16,-16,-15.5,-1.5,NA,12,mwc,-15.75,-16,NA
2433,154,2014,1,-16,-1.5,-1.5,-2.5,-1.5,-2.5,-1.5,-1.5,7,sun-belt,-1.5,-1.5,NA
52,258,2014,11,NA,-21,-21,-20.5,-21,-21,NA,NA,14,acc,-21,-21,NA
59,258,2014,10,-4,-4,-4,-4.5,-4.5,-4.5,-4,-4,25,acc,-4,-4,NA
150,258,2014,8,-3,-3,-3,-3,-3,-3,-3,-3,7,acc,-3,-3,NA
252,258,2014,4,-14.5,-14.5,-15,-16,-15,-15.5,-15,-15,8,independent,-15,-15,NA
259,258,2014,14,2,2.5,2,2,2,1.5,1.5,2,4,acc,2,2,NA
52,2643,2014,2,NA,NA,-58.5,NA,NA,NA,NA,NA,25,acc,-58.5,-58.5,NA
57,96,2014,3,-11,-17.5,-17.5,-18,-10.875,-17.5,-11,-11,6,sec,-17.5,-17.5,NA
97,96,2014,14,-13.5,-13.5,-14,-13.5,-13.5,-14,-14,-14,4,acc,-13.75,-14,NA
99,96,2014,8,-12,-11.5,-11.5,-12,-11.5,-11.5,-11.5,-11.5,38,sec,-11.5,-11.5,NA
142,96,2014,10,-7,-7.5,-7.5,-7.5,-7.5,-7.5,-7.5,-7.5,10,sec,-7.5,-7.5,NA
2633,96,2014,12,-11.5,-11.5,-11,-11,-11,-11,-11,-11,34,sec,-11,-11,NA
57,142,2014,8,-5.5,-6.5,-7,-7,-6,-7,-7,-6.5,-29,sec,-6.75,-7,NA
2579,142,2014,5,-6,-6.5,-7,-7,-6,-6.5,-6.5,-6.5,-1,sec,-6.5,-6.5,NA
2649,142,2014,2,3,3.5,3.5,3,4,3.5,3.5,3.5,-25,mac,3.5,3.5,NA
57,2198,2014,13,NA,NA,-30.5,NA,NA,NA,NA,NA,49,sec,-30.5,-30.5,NA
