Season,Start,Away,AwayID,Home,HomeID,NeutralSite,Home1Q,Home2Q,Home3Q,Home4Q,HomeOT,HomeFinal,Vis1Q,Vis2Q,Vis3Q,Vis4Q,VisOT,VisFinal,Spread,WeekDate,Week,HomeBCSSOS,HomeRPI,AwayBCSSOS,AwayRPI
2013,2013-09-07 22:00:00,WIT,2746,BUT,2086,0,14,28,0,7,,49,3,0,7,14,,24,25,2013-09-07,2,0.6666666667,0.5,0.6666666667,0.5
2013,2013-09-07 22:00:00,USM,2572,NEB,158,0,21,14,14,7,,56,3,3,7,0,,13,43,2013-09-07,2,0.3333333333,0.5,0.3333333333,0.5
2013,2013-09-07 22:00:00,SUL,2834,TXA,2837,0,10,7,28,6,,51,0,6,0,0,,6,45,2013-09-07,2,0,0,0,0
2013,2013-09-07 22:00:00,DEF,190,ALBI,2790,0,6,7,12,7,,32,0,17,6,6,,29,3,2013-09-07,2,0,0,0,0
2013,2013-09-07 22:00:00,MON,2818,LEB,388,0,3,6,0,6,,15,0,7,7,0,,14,1,2013-09-07,2,0,0,0,0
2013,2013-09-07 22:00:00,SYR,183,NW,77,0,10,24,0,14,,48,0,7,6,14,,27,21,2013-09-07,2,0.3333333333,0.5,0.3333333333,0.5
2013,2013-09-07 22:00:00,DAV,2166,GTWN,46,0,7,21,7,7,,42,0,6,0,0,,6,36,2013-09-07,2,0.6666666667,0.5,0.6666666667,0.5
2013,2013-09-07 22:00:00,MRST,2368,BUCK,2083,0,10,14,3,0,,27,0,7,7,0,,14,13,2013-09-07,2,0,0,0,0
2013,2013-09-07 22:00:00,RICH,257,NCST,152,0,3,10,7,3,,23,7,14,0,0,,21,2,2013-09-07,2,0.3333333333,0.5,0.3333333333,0.5
2013,2013-09-07 22:30:00,ULL,309,KSU,2306,0,10,10,21,7,,48,3,0,21,3,,27,21,2013-09-07,2,0.6666666667,0.5,0.6666666667,0.5
2013,2013-09-07 22:30:00,WEBB,2241,MRSH,276,0,14,20,21,0,,55,0,0,0,0,,0,55,2013-09-07,2,0.3333333333,0.5,0.3333333333,0.5
2013,2013-09-07 23:00:00,SWB,2586,TRU,2654,0,14,9,7,10,,40,7,14,0,16,,37,3,2013-09-07,2,0,0,0,0
2013,2013-09-07 23:00:00,SEMO,2546,MISS,145,0,17,14,0,0,,31,0,0,13,0,,13,18,2013-09-07,2,0.3333333333,0.5,0.3333333333,0.5
