id,abbrev,location,name,SportsRefName,SportsRefAlt,DonBestName,DonBestAlt,DonBestAlt2
561,MAY,Mayville State,Comets,Mayville State,,Mayville State,,
565,MID,Midland University,Warriors,Midland University,,Midland University,,
568,MIN,Minot State,Beavers,Minot State,,Minot State,,
583,NWM,Northwestern (MN),Eagles,Northwestern (MN),,Northwestern (MN),,
587,NOT,Notre Dame College,Blue Falcons,Notre Dame College,,Notre Dame College,,
596,PER,Peru State College,Bobcats,Peru State College,,Peru State College,,
597,PRE,Presentation College,Saints,Presentation College,,Presentation College,,
599,RMU,Robert Morris (IL),Eagles,Robert Morris (IL),,Robert Morris (IL),,
611,SET,Seton Hill College,Griffins,Seton Hill College,,Seton Hill College,,
613,SDA,South Dakota Mines,Hardrockers,South Dakota Mines,,South Dakota Mines,,
616,SWC,Southwestern College,Moundbuilders,Southwestern College,,Southwestern College,,
618,STC,Sterling College,Warriors,Sterling College,,Sterling College,,
619,TABOR,Tabor College,Tabor,Tabor College,,Tabor College,,
620,TAY,Taylor,Trojans,Taylor,,Taylor,,
628,VAL,Valley City State,Vikings,Valley City State,,Valley City State,,
630,WAY,Wayland Baptist,Pioneers,Wayland Baptist,,Wayland Baptist,,
2000,ACU,Abilene Christian,Wildcats,Abilene Christian,,Abilene Christian,,
2001,ADST,Adams State,Grizzlies,Adams State,,Adams State,,
2003,ADR,Adrian,Bulldogs,Adrian,,Adrian,,
2005,AFA,Air Force,Falcons,Air Force,,Air Force,,
2006,AKR,Akron,Zips,Akron,,Akron,,
2010,AAMU,Alabama A&M,Bulldogs,Alabama A&M,,Alabama A&M,Alabama AM,Alabama A & M
2011,ALST,Alabama State,Hornets,Alabama State,,Alabama St,,
2013,ALB,Albany State (GA),Golden Rams,Albany State (GA),,Albany State (GA),,
2015,ALB,Albright,Lions,Albright,,Albright,,
2016,ALCN,Alcorn State,Braves,Alcorn State,,Alcorn St,,
2017,ABC,Alderson-Broaddus,Battlers,Alderson-Broaddus,,Alderson-Broaddus,,
2018,ALL,Allegheny,Golden Gators,Allegheny,,Allegheny,,
2019,ALN,Allen,Yellow Jackets,Allen,,Allen,,
2022,AIC,American International,Yellow Jackets,American International,,American International,,
2023,AND,Anderson (IN),Ravens,Anderson (IN),,Anderson (IN),,
2025,ANG,Angelo State,Rams,Angelo State,,Angelo State,,
2026,APP,Appalachian State,Mountaineers,Appalachian State,,Appalachian State,Appalachian St,
2028,ARK,Arkansas-Monticello,Weevils,Arkansas-Monticello,,Arkansas-Monticello,,
2029,UAPB,Arkansas-Pine Bluff,Golden Lions,Arkansas-Pine Bluff,,Arkansas Pine Bluff,Ark Pine Bluff,
2032,ARST,Arkansas State,Red Wolves,Arkansas State,,Arkansas State,,
2033,ARK,Arkansas Tech,Wonder Boys,Arkansas Tech,,Arkansas Tech,,
2038,ASP,Assumption,Greyhounds,Assumption,,Assumption,,
2042,AUG,Augustana (IL),Vikings,Augustana (IL),,Augustana (IL),,
2043,AUG,Augustana (SD),Vikings,Augustana (SD),,Augustana (SD),,
2044,AUR,Aurora,Spartans,Aurora,,Aurora,,
2045,AUS,Austin College,Kangaroos,Austin College,,Austin College,,
2046,PEAY,Austin Peay,Governors,Austin Peay,,Austin Peay,,
2047,AVE,Averett,Cougars,Averett,,Averett,,
2048,AVC,Avila College,Eagles,Avila College,,Avila College,,
2049,AZU,Azusa Pacific,Cougars,Azusa Pacific,,Azusa Pacific,,
2050,BALL,Ball State,Cardinals,Ball State,,Ball State,,
2056,BEL,Belhaven College,Blazers,Belhaven College,,Belhaven College,,
2060,BEN,Bentley,Falcons,Bentley,,Bentley,,
2062,BET,Bethany (WV),Bison,Bethany (WV),,Bethany (WV),,
2064,BET,Bethel (TN),Wildcats,Bethel (TN),,Bethel (TN),,
2065,BCU,Bethune-Cookman,Wildcats,Bethune-Cookman,,Bethune Cookman,,
2069,BLA,Black Hills State,Yellow Jackets,Black Hills State,,Black Hills State,,
2070,BLA,Blackburn,Beavers,Blackburn,,Blackburn,,
2071,BLO,Bloomsburg,Huskies,Bloomsburg,,Bloomsburg,,
2074,BLU,Bluffton,Beavers,Bluffton,,Bluffton,,
2075,BOW,Bowie State,Bulldogs,Bowie State,,Bowie State,,
2079,BRD,Bridgewater (VA),Eagles,Bridgewater (VA),,Bridgewater (VA),,
2080,BBM,Brit Columbia,Thunderbirds,Brit Columbia,,Brit Columbia,,
2083,BUCK,Bucknell,Bison,Bucknell,,Bucknell,,
2084,BUFF,Buffalo,Bulls,Buffalo,,Buffalo,,
2085,BUF,Buffalo State,Bengals,Buffalo State,,Buffalo State,,
2086,BUT,Butler,Bulldogs,Butler,,Butler,,
2089,LIU,LIU Post,Pioneers,LIU Post,,LIU Post,,
2094,CAL,Cal Lutheran,Kingsmen,Cal Lutheran,,Cal Lutheran,,
2097,CAMP,Campbell,Camels,Campbell,,Campbell,,
2098,CAI,Campbellsville,Tigers,Campbellsville,,Campbellsville,,
2101,CAR,Carleton,Knights,Carleton,,Carleton,,
2102,CAR,Carnegie Mellon,Tartans,Carnegie Mellon,,Carnegie Mellon,,
2104,CAR,Carroll (MT),Fighting Saints,Carroll (MT),,Carroll (MT),,
2105,CNEW,Carson-Newman,Eagles,Carson-Newman,,Carson-Newman,,
2106,CAR,Carthage,Redmen,Carthage,,Carthage,,
2107,CAT,Catawba,Indians,Catawba,,Catawba,,
2108,CATH,Catholic University,Cardinals,Catholic University,,Catholic University,,
2110,UCA,Central Arkansas,Bears,Central Arkansas,,Central Arkansas,,
2115,CCSU,Central Connecticut,Blue Devils,Central Connecticut,Central Connecticut State,Central Conn.,,
2116,UCF,UCF,Knights,Central Florida,UCF,Central Florida,,
2117,CMU,Central Michigan,Chippewas,Central Michigan,,Central Michigan,,
2118,CEN,Central Missouri State,Mules,Central Missouri State,,Central Missouri State,,
2119,CCI,Central State,Marauders,Central State,,Central State,,
2120,CEN,Central Washington,Wildcats,Central Washington,,Central Washington,,
2121,CEN,Centre,Colonels,Centre,,Centre,,
2122,CEN,Central Oklahoma,Bronchos,Central Oklahoma,,Central Oklahoma,,
2123,CHA,Chadron State,Eagles,Chadron State,,Chadron State,,
2127,CHSO,Charleston Southern,Buccaneers,Charleston Southern,,Charleston Sou,Charleston Southern,
2128,CHA,Charleston (WV),Golden Eagles,Charleston (WV),,Charleston (WV),,
2129,CHE,Cheyney,Wolves,Cheyney,,Cheyney,,
2132,CIN,Cincinnati,Bearcats,Cincinnati,,Cincinnati,,
2134,CLA,Clarion,Golden Eagles,Clarion,,Clarion,,
2141,COE,Coe,Kohawks,Coe,,Coe,,
2142,COLG,Colgate,Raiders,Colgate,,Colgate,,
2144,COL,Colorado College,Tigers,Colorado College,,Colorado College,,
2146,COL,Colorado Mines,Orediggers,Colorado Mines,,Colorado Mines,,
2148,CON,Concord,Mountain Lions,Concord,,Concord,,
2151,CON,Concordia (IL),Cougars,Concordia (IL),,Concordia (IL),,
2152,CON,Concordia (MN),Cobbers,Concordia (MN),,Concordia (MN),,
2155,COR,Cornell College (IA),Rams,Cornell College (IA),,Cornell College (IA),,
2161,CUM,Cumberland,Bulldogs,Cumberland,,Cumberland,,
2166,DAV,Davidson,Wildcats,Davidson,,Davidson,,
2168,DAY,Dayton,Flyers,Dayton,,Dayton,,
2169,DSU,Delaware State,Hornets,Delaware State,,Delaware St,,
2170,DEL,Delta State,Statesmen,Delta State,,Delta State,,
2171,DEN,Denison,Big Red,Denison,,Denison,,
2175,DIC,Dickinson,Red Devils,Dickinson,,Dickinson,,
2181,DRKE,Drake,Bulldogs,Drake,,Drake,,
2184,DUQ,Duquesne,Dukes,Duquesne,,Duquesne,,
2188,EAS,East Stroudsburg,Warriors,East Stroudsburg,,East Stroudsburg,,
2189,EAR,Earlham,Quakers,Earlham,,Earlham,,
2191,EAS,East Central,Tigers,East Central,,East Central,,
2193,ETSU,East Tennessee St.,Buccaneers,East Tennessee St.,,East Tennessee St.,,
2194,EAS,East Texas Baptist,Tigers,East Texas Baptist,,East Texas Baptist,,
2197,EIU,Eastern Illinois,Panthers,Eastern Illinois,,Eastern Illinois,,
2198,EKY,Eastern Kentucky,Colonels,Eastern Kentucky,,Eastern Kentucky,,
