teams_key,DateTime,Season,CTMC_Rating_Home,CTMC_Rating_Away
59-259,2013-09-26 23:30:00,2013,0.005815385995154216,0.007380134797693051
202-66,2013-09-26 23:30:00,2013,0.00288298958802449,0.005877491984697954
252-2393,2013-09-28 01:00:00,2013,0.005596041622504555,0.0022798932890282586
23-328,2013-09-28 01:00:00,2013,0.0029217416485871656,0.00623711675475376
2509-2459,2013-09-28 16:00:00,2013,0.002631600517090929,0.005617997302947687
2116-2579,2013-09-28 16:00:00,2013,0.01283687895401886,0.010432961428535961
58-2390,2013-09-28 16:00:00,2013,0.003302203602552967,0.012501321737171958
2628-2567,2013-09-28 16:00:00,2013,0.00866850168723329,0.0045318733447537105
277-197,2013-09-28 16:00:00,2013,0.0038570348694704306,0.0060499837018725055
356-193,2013-09-28 16:00:00,2013,0.01650649047113284,0.0023180312036377698
2633-6,2013-09-28 16:21:00,2013,0.008442945803757153,0.005004940452824939
221-258,2013-09-28 16:30:00,2013,0.0037426978262290645,0.004789811234573271
153-151,2013-09-28 16:30:00,2013,0.003753096546584825,0.0056796608163371945
98-2426,2013-09-28 18:00:00,2013,0.005534186887402173,0.004951461084522958
189-2006,2013-09-28 18:30:00,2013,0.004300491688846419,0.002989970308104923
2050-2649,2013-09-28 19:00:00,2013,0.006524261986992533,0.004691178890127425
204-38,2013-09-28 19:00:00,2013,0.005310431220540722,0.0028931240997536307
150-2653,2013-09-28 19:00:00,2013,0.0030972798545147217,0.0019279330390635332
152-2117,2013-09-28 19:30:00,2013,0.006858751980839871,0.0015812218653536605
61-99,2013-09-28 19:30:00,2013,0.013407625041604294,0.011301742161630914
36-2638,2013-09-28 19:30:00,2013,0.002808158056910134,0.0018485428994162265
228-154,2013-09-28 19:30:00,2013,0.014951091031517746,0.0026686391907534634
2084-41,2013-09-28 19:30:00,2013,0.007810547823533392,0.004839042977569849
103-52,2013-09-28 19:30:00,2013,0.004864998562101839,0.009755339498715295
87-201,2013-09-28 19:30:00,2013,0.005138165232822313,0.009733646149789377
135-2294,2013-09-28 19:30:00,2013,0.0036880063288672227,0.00821742909145577
2636-248,2013-09-28 20:00:00,2013,0.0035710398918008374,0.00688247987012387
2348-349,2013-09-28 20:00:00,2013,0.0021289670746782226,0.0040654928989494205
70-218,2013-09-28 21:00:00,2013,0.001678358219279609,0.002112918775937563
333-145,2013-09-28 22:30:00,2013,0.01916986450984625,0.00456330097788315
242-2226,2013-09-28 23:00:00,2013,0.00657905111649753,0.0030608015011396503
264-12,2013-09-28 23:00:00,2013,0.024301380013292427,0.010275214748649682
2711-2309,2013-09-28 23:00:00,2013,0.0017976409872614166,0.0022317759466282737
2433-2655,2013-09-28 23:00:00,2013,0.0023127707394215665,0.003721711862335841
326-2751,2013-09-28 23:00:00,2013,0.003514903724019228,0.003306734312692521
8-245,2013-09-28 23:00:00,2013,0.007556604616736826,0.013314530600827199
96-57,2013-09-28 23:00:00,2013,0.007332553820682798,0.014712197113150362
142-2032,2013-09-28 23:30:00,2013,0.0069458700499137336,0.0020625052261098657
238-5,2013-09-28 23:30:00,2013,0.0054495467303909894,0.0026362167842866953
166-21,2013-09-29 00:00:00,2013,0.001196807917710266,0.0030100594858275534
194-275,2013-09-29 00:00:00,2013,0.014693753888812968,0.011539299661494357
2440-2005,2013-09-29 00:00:00,2013,0.002119155360194798,0.0019320656713462045
167-2439,2013-09-29 00:00:00,2013,0.0020012433423608924,0.0023115480105482507
265-24,2013-09-29 02:00:00,2013,0.006663781111821416,0.013729709225756916
68-2572,2013-09-29 02:15:00,2013,0.004347552824866257,0.0009314090756411559
2483-25,2013-09-29 02:30:00,2013,0.030874031557074733,0.008700122686474701
9-30,2013-09-29 02:30:00,2013,0.011115318662919465,0.008102283248723974
62-278,2013-09-29 04:00:00,2013,0.002672051896597163,0.004450025415526467
66-251,2013-10-03 23:30:00,2013,0.005526832742767678,0.004962786416132749
2433-98,2013-10-03 23:30:00,2013,0.0015694612420056912,0.005686753324730619
254-26,2013-10-04 02:00:00,2013,0.0075770021342346635,0.009694547720449302
328-252,2013-10-05 00:00:00,2013,0.006391730478285737,0.008141650411984775
21-2440,2013-10-05 01:00:00,2013,0.0032734804485589396,0.003077203373481847
2426-2005,2013-10-05 15:30:00,2013,0.007180716031326765,0.0022979720365942243
2567-164,2013-10-05 16:00:00,2013,0.005000314964167254,0.00561317305407071
2084-2199,2013-10-05 16:00:00,2013,0.004503892666475351,0.0018823935870997256
158-356,2013-10-05 16:00:00,2013,0.006679267119853732,0.00738570310538445
52-120,2013-10-05 16:00:00,2013,0.021479510535692484,0.004550776415293652
218-97,2013-10-05 16:00:00,2013,0.003200058459366985,0.02320295429854611
84-213,2013-10-05 16:00:00,2013,0.008668666724564891,0.007598356863567562
258-2050,2013-10-05 16:00:00,2013,0.0044705555186790764,0.007005130477110977
2294-127,2013-10-05 16:00:00,2013,0.0068269502694669965,0.008400529242197138
2305-2641,2013-10-05 16:00:00,2013,0.0036678045782696776,0.012624259209691279
333-2247,2013-10-05 16:21:00,2013,0.02143269208908474,0.0016304924555094393
259-153,2013-10-05 16:30:00,2013,0.008410465753632562,0.00453200321278502
2653-6,2013-10-05 17:00:00,2013,0.002818036492471455,0.0045486513692982195
103-349,2013-10-05 17:00:00,2013,0.009348668280745247,0.004726339776333245
193-2117,2013-10-05 17:00:00,2013,0.0014463620355079003,0.0016981698657643365
2006-195,2013-10-05 18:00:00,2013,0.0025454901838467595,0.006343453711292806
276-2636,2013-10-05 18:00:00,2013,0.006475152528722286,0.0033782528904725646
