HomeID,VisID,Season,Week,HomePredFinal,VisPredFinal
2628,97,2001,14,20.01424411199332,34.76300053205341
2655,97,2001,11,19.35327768393654,34.349975037854165
2572,97,2001,9,24.929366862204915,26.56175890332088
235,97,2001,6,25.982653598732213,26.06235207989812
166,2306,2001,5,21.56908091488185,30.31610922468826
201,2306,2001,6,28.543644105700878,23.390660665929317
142,2306,2001,14,18.260902119085586,30.04616089956835
2641,2306,2001,8,20.033762157396268,28.17635671980679
245,2306,2001,9,26.183616507363695,23.386774126905948
2348,2306,2001,13,21.389170836228004,27.640872553456575
158,2306,2001,12,34.732800852989385,16.155829438008368
166,70,2001,8,29.269560819377148,22.59584048902616
2433,70,2001,11,25.63927867276834,25.12161012645811
264,70,2001,5,34.59378923719123,21.069198317825794
309,70,2001,9,29.045084273211614,23.27160480618477
2393,70,2001,7,40.56546434595839,14.481028261128813
166,2393,2001,10,25.25230494348216,29.58764347853139
2433,2393,2001,5,17.426399517531536,32.70460932375863
145,2393,2001,9,29.631532269104355,25.34432781673968
309,2393,2001,6,19.914792311452402,33.29476043395698
249,2393,2001,8,18.99187822522981,34.647903630975634
166,2032,2001,12,30.977624115657818,21.480903461575508
2433,2032,2001,13,24.547269745693484,27.304697928018868
145,2032,2001,7,32.58376786199733,18.157427997794002
309,2032,2001,8,26.94671813686,24.459886784199625
70,2032,2001,10,26.333399174705846,25.5733242938295
2393,2032,2001,11,36.32363745665134,19.505785951390862
249,2032,2001,9,27.074620336599764,24.75264481268823
166,167,2001,14,23.598016126246876,28.355587598402053
21,167,2001,11,21.50254664798922,30.01822722842917
2751,167,2001,7,25.37818099425931,25.864791164174676
254,167,2001,6,25.2340887745504,26.233101944439113
201,158,2001,10,22.940829837420097,27.52863927045837
2641,158,2001,9,16.520432011429875,34.47638259874657
58,249,2001,6,32.12672733711406,18.956023351289332
2653,249,2001,15,27.22057769705134,26.73415382904932
2641,249,2001,5,44.191689462632894,18.792523115407676
309,249,2001,12,25.46559978545156,26.73177707195282
2638,2567,2001,10,26.47423784124112,26.217516876757145
202,2567,2001,13,25.132106305278285,28.873027658089995
2628,248,2001,6,29.630906848222367,20.794954536948353
58,248,2001,11,35.3839714599053,17.256886448711157
2572,248,2001,10,33.62124644574578,18.152539959643036
97,248,2001,12,41.74921672216806,11.856969856191427
251,248,2001,5,31.404767932483082,18.277593502309173
235,248,2001,8,31.151505088449994,20.04642698355019
2628,349,2001,9,32.60787341746618,20.57430316694081
2655,349,2001,10,29.584099221912766,22.19646929157898
2084,349,2001,12,26.597600530762065,24.805112178437412
2426,349,2001,15,26.545083597588018,26.33159859944135
