HomeID,VisID,Season,Week,Spread_Mirage,Spread_Pinnacle,Spread_Sportsbet,Spread_Westgate,Spread_Station,Spread_SIA,Spread_SBG,Spread_BetUS,target_margin,Conf,Spread_Med,Spread_Mode,Spread_Rec
96,142,2013,11,NA,14,14,14.5,NA,15,14.5,NA,-31,sec,14.5,14.5,-19
245,344,2013,11,NA,-19.5,-19.5,-19.5,NA,-20,NA,NA,10,sec,-19.5,-19.5,13.333333333333334
349,98,2013,11,NA,6,5.5,5.5,NA,5.5,5.5,5.5,-4,independent,5.5,5.5,0.5
2633,2,2013,11,NA,7.5,8,7.5,7.5,7.5,7.5,8,-32,sec,7.5,7.5,-5.733333333333333
24,2483,2013,11,NA,10,10,10,11,10.5,10,10,6,pac-12,10,10,-37
36,2440,2013,11,NA,-9,-9,-8,-9,-8.5,-8.5,-8.5,21,mwc,-8.5,-8.5,34.266666666666666
254,9,2013,11,NA,7,7.5,7,7.5,7,7,7,-1,pac-12,7,7,-1.7333333333333334
25,30,2013,11,NA,19.5,19,18.5,NA,18.5,-3.75,NA,-34,pac-12,18.5,18.5,-10
166,103,2013,11,NA,26,25,NA,NA,25,NA,NA,-14,independent,25,25,NA
167,2005,2013,11,NA,-3,-3,-3,-3,-3,-3,NA,8,mwc,-3,-3,20
249,2638,2013,11,NA,-27,-27,-16.5,NA,-26.5,-13.5,-14,34,cusa,-27,-27,27.5
41,97,2013,11,NA,27.5,28,15.666666666666666,NA,28,NA,NA,-21,american,28,28,-22.666666666666668
150,152,2013,11,NA,-10.5,-10.5,-10.5,-10.5,-11,-10.5,-10.5,18,acc,-10.5,-10.5,23.5
120,183,2013,11,NA,-6,-6,-5.5,-5,-6,-6,-6,-17,acc,-6,-6,11
145,8,2013,11,NA,-17,-17,-17,NA,-17,NA,NA,10,sec,-17,-17,25.333333333333332
154,52,2013,11,NA,23.5,34,24,NA,24,NA,NA,-56,acc,34,34,-14
57,238,2013,11,NA,-13,-12,-11.5,-11,-10.5,-12.5,-13,-17,sec,-11.75,-13,8.333333333333334
2509,2294,2013,11,NA,16.5,16,-3.9,NA,16,1.5,1.8,-24,big-ten,16,16,-6.4
66,2628,2013,11,NA,7,7,7,7,7,7,7,-4,big-12,7,7,9
70,295,2013,11,NA,NA,14,NA,NA,NA,NA,NA,-21,independent,14,14,25.5
135,213,2013,11,NA,-2.5,-3,-2,-3,3.5,-3,-3,14,big-ten,-3,-3,20
84,356,2013,11,NA,-9.5,-9.5,-10,-9.5,-10,-9.5,-10,17,big-ten,-9.5,-9.5,13.5
239,201,2013,11,NA,-17,-16.5,-16.5,-16,-16,NA,NA,29,big-12,-16.5,-16.5,-4.333333333333333
275,252,2013,11,NA,-9,-9,-9.5,-9.5,-9.5,-9.5,-9,10,big-ten,-9.25,-9.5,-5
2393,2229,2013,11,NA,-19.5,-19.5,-20,NA,-19.5,NA,NA,48,cusa,-19.5,-19.5,34.666666666666664
309,2653,2013,11,NA,-13.5,-14,-13.5,-14,-14,-14,-14,5,sun-belt,-14,-14,11.2
276,5,2013,11,NA,-24,-24,-24,NA,-25,NA,NA,42,cusa,-24,-24,17.6
2199,2711,2013,11,NA,3,3,2.5,NA,2.5,2.5,3,3,mac,3,3,23.75
153,258,2013,11,NA,-13,-12.5,-12.5,-13,-12,-12.5,-12,31,acc,-12.5,-12.5,6
130,158,2013,11,NA,-5.5,-6,-6,-6.5,-6,-6,-6,-4,big-ten,-6,-6,-13
2050,2117,2013,11,NA,-21,-20.5,-21,NA,-21,3,3,20,mac,-21,-21,17.25
151,202,2013,11,NA,-16,-16,-16.5,NA,-16,NA,NA,34,cusa,-16,-16,21.666666666666668
2636,2655,2013,11,NA,-8.5,-8.5,-9.5,NA,-8.5,-9.5,-8.5,3,cusa,-8.5,-8.5,6.5
197,2305,2013,11,NA,-19,-31.5,-15.25,-6.5,-6.5,-6,-6,36,big-12,-31.5,-31.5,13.666666666666666
2641,2306,2013,11,NA,-2.5,-2.5,-2.5,-2.5,-3,-2.5,-3,-23,big-12,-2.5,-2.5,4
2132,2567,2013,11,NA,-7,-7,-7,-7,-7,-7,-7,3,american,-7,-7,18.333333333333332
2426,62,2013,11,NA,-17,-17,-16.5,NA,-17,NA,NA,14,independent,-17,-17,37
57,61,2013,10,1.3333333333333333,3.5,3.5,3.5,4,3.5,3.5,3.5,-3,sec,3.5,3.5,1.3333333333333333
2579,344,2013,10,11,-13.5,-13,-13,-13,-13,-13,-13.5,18,sec,-13,-13,11
6,2032,2013,10,25,-3,-3,-3,NA,-3,-3,-3,-1,sun-belt,-3,-3,25
249,242,2013,10,4,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-3,12,cusa,-2.5,-2.5,4
