HomeID,VisID,Season,Week,Spread_Mirage,Spread_Pinnacle,Spread_Sportsbet,Spread_Westgate,Spread_Station,Spread_SIA,Spread_SBG,Spread_BetUS,target_margin,Conf,Spread_Med,Spread_Mode,Spread_Rec
2,2226,2013,9,NA,-23,-23,-23.5,NA,-23.5,-10,-10,35,sec,-23.25,-23.5,3.6
142,2579,2013,9,NA,-3,-3,-3,-3.5,-3.5,-3,-3,-3,sec,-3,-3,-8.75
23,2751,2013,9,NA,-10,-10.5,-10.5,-10.5,-10.5,-10.5,-10,7,mwc,-10.5,-10.5,12
2483,26,2013,9,NA,-23.5,-23.5,-23.5,NA,-24,NA,NA,28,pac-12,-23.5,-23.5,-4.333333333333333
2294,77,2013,9,NA,-3.5,-3.5,-4,-4,-4,-3.5,-4,7,big-ten,-4,-4,7.5
153,103,2013,9,NA,-5,-5.5,-6,-6,-6,-5.5,-5,24,acc,-5.5,-6,19
30,254,2013,9,NA,-5,-5,-5.5,-4.5,-4.5,-4.5,-5,16,pac-12,-5,-5,NA
242,2638,2013,9,NA,-19.5,-19,-19,NA,-19,-13.5,-14,38,cusa,-19,-19,17
58,97,2013,9,NA,20,19.5,20,NA,20,NA,NA,-31,american,20,20,-18.5
145,70,2013,9,NA,-23.833333333333332,-42,-16.5,NA,-21.75,NA,NA,45,sec,-42,-42,30
52,152,2013,9,NA,NA,-35,NA,NA,-35,NA,NA,32,acc,-35,-35,15
245,238,2013,9,NA,-17.5,-17.5,-18,-12.5,-17.5,-11,-10.5,32,sec,-17.5,-17.5,-3.5
333,2633,2013,9,NA,-20.5,-28,NA,NA,-28,NA,NA,35,sec,-28,-28,25.625
189,2649,2013,9,NA,-4,-4,-4.5,NA,-4.5,-4,-4,-3,mac,-4,-4,7.3125
2426,221,2013,9,NA,5,4.5,4.5,4.5,4,4,5,3,independent,4.5,4.5,NA
2572,249,2013,9,NA,12,12,12.5,NA,12,12,12.5,-41,cusa,12,12,4.5
66,197,2013,9,NA,13.5,13.5,13.5,13.5,13.5,13.5,13.5,-31,big-12,13.5,13.5,-6
2628,251,2013,9,NA,-3,-3,-3,-2.5,-3,-3,-3,-23,big-12,-3,-3,9
2567,218,2013,9,NA,-14,-14,-14.5,-14.5,-14,-14,-14,10,american,-14,-14,14
356,127,2013,9,NA,7.5,7.5,7.5,9,8,8,7.5,-39,big-ten,7.75,7.5,-4
195,193,2013,9,NA,-26,-26,-18,NA,-26.5,-6.5,NA,25,mac,-26,-26,28.75
344,96,2013,9,NA,-12.5,-12.5,-10,-12,-12.5,-12,-12.5,6,sec,-12.25,-12.5,8
98,2653,2013,9,NA,-10.5,-10.5,-10.5,-6.5,-10,-10,-10.5,-6,sun-belt,-10.5,-10.5,13.375
2636,5,2013,9,NA,-7.5,-7.5,-8,NA,-7.5,-8,-7.5,21,cusa,-7.5,-7.5,16.75
99,231,2013,9,NA,NA,-47,NA,NA,NA,NA,NA,32,sec,-47,-47,NA
2390,154,2013,9,NA,-26,-26,-26,0,-26,0,-0.25,3,acc,-26,-26,16.333333333333332
113,2711,2013,9,NA,-4,-4,-4,NA,-4.5,-4,-4,-1,mac,-4,-4,32
120,228,2013,9,NA,16.5,16.5,17,17.5,17,NA,NA,-13,acc,17,17,-23.5
2306,277,2013,9,NA,-13.5,-13.5,-13,-13,-13,-13,-13.5,23,big-12,-13,-13,23
135,158,2013,9,NA,10,10.5,10.5,11,11,10,10,11,big-ten,10.5,10,-37
2440,2439,2013,9,NA,-6.5,-6.5,-6.5,-6.5,-6.5,-6.5,-6.5,-5,mwc,-6.5,-6.5,NA
258,59,2013,9,NA,10,10.5,10,10,10,10,10.5,-10,acc,10,10,3
2655,202,2013,9,NA,3,3,3,3,3,3,3,7,cusa,3,3,29
2229,2348,2013,9,NA,4.5,4.5,5,NA,4.5,5.5,4.5,-16,cusa,4.5,4.5,8.666666666666666
259,150,2013,9,NA,-12,-12,-13,-13,-13.5,-12.5,-12.5,-3,acc,-12.75,-13,-13.5
164,248,2013,9,NA,-5.5,-6,-6,-6.5,-6,-6,-5.5,-35,american,-6,-6,-15
2459,2199,2013,9,NA,-19.75,-32.5,-17,NA,-31.5,NA,NA,39,mac,-32,-32.5,27.25
2309,2084,2013,9,NA,3,3,10,NA,3,3,3,-20,mac,3,3,14.666666666666666
201,2641,2013,9,NA,-7,-7,-6.5,-7,-6.5,-7,-7,8,big-12,-7,-7,-22
2393,276,2013,9,NA,10,10,9.5,9.5,9.5,9.5,10,2,cusa,9.75,9.5,4.625
