HomeID,VisID,Season,Week,Spread_Mirage,Spread_Pinnacle,Spread_Sportsbet,Spread_Westgate,Spread_Station,Spread_SIA,Spread_SBG,Spread_BetUS,target_margin,Conf,Spread_Med,Spread_Mode
2440,23,2015,11,,-1.5,-2.0,-1.0,-2.0,1.5,-2.0,-2.0,3,mwc,-2.0,-2.0
2,61,2015,11,1.0,0.0,1.0,0.0,-1.0,0.0,1.0,1.0,-7,sec,0.5,1.0
344,333,2015,11,7.5,7.0,7.5,7.0,7.5,7.0,7.0,7.0,-25,sec,7.0,7.0
6,309,2015,11,-1.0,-1.0,0.0,-1.0,-1.0,0.0,0.0,0.0,7,sun-belt,-0.5,-1.0
295,2638,2015,11,-8.0,-7.5,-7.5,-7.5,-7.5,-7.5,-7.5,-7.5,10,cusa,-7.5,-7.5
9,264,2015,11,-3.0,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-3.0,10,pac-12,-2.5,-2.5
2429,2636,2015,11,3.0,3.0,3.0,3.0,,3.0,3.0,3.0,-3,cusa,3.0,3.0
2005,328,2015,11,2.0,2.5,2.5,2.0,2.5,2.0,2.5,2.5,7,mwc,2.5,2.5
38,30,2015,11,17.0,17.0,17.0,17.0,17.0,17.0,,,-3,pac-12,17.0,17.0
97,258,2015,11,-14.0,-13.5,-13.5,-14.0,-13.5,-13.5,-13.5,-13.5,7,acc,-13.5,-13.5
2433,2032,2015,11,14.0,14.0,14.0,14.5,14.5,13.5,,14.0,-38,sun-belt,14.0,14.0
2199,113,2015,11,5.0,5.0,5.5,5.0,6.0,5.5,5.5,5.0,-11,mac,5.25,5.0
52,152,2015,11,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,17,acc,-7.0,-7.0
2426,2567,2015,11,,-20.0,-20.5,-20.0,,-20.0,,,41,american,-20.0,-20.0
150,221,2015,11,2.5,2.5,2.0,2.5,1.5,1.5,2.5,,-18,acc,2.5,2.5
59,259,2015,11,-2.0,-1.5,-1.5,-1.5,-2.0,-1.5,-1.5,-1.5,-2,acc,-1.5,-1.5
349,2655,2015,11,-3.0,-3.0,-3.0,-3.0,-3.0,,-3.0,-3.0,-3,independent,-3.0,-3.0
238,96,2015,11,-3.0,-3.0,-3.5,-3.0,-3.0,-3.0,-3.5,-3.0,4,sec,-3.0,-3.0
66,197,2015,11,13.0,11.5,12.0,11.5,12.5,12.5,12.0,12.0,-4,big-12,12.0,12.0
277,251,2015,11,-9.5,-10.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,18,big-12,-9.0,-9.0
2628,2305,2015,11,,,-47.0,,,,,,6,big-12,-47.0,-47.0
70,2026,2015,11,,20.5,20.5,20.0,,20.0,,,-27,sun-belt,20.25,20.0
77,2509,2015,11,-14.5,-14.0,-14.0,-14.0,-14.5,-14.0,,-14.0,7,big-ten,-14.0,-14.0
84,130,2015,11,12.5,12.5,12.5,13.0,13.0,13.0,12.5,12.5,-7,big-ten,12.5,12.5
356,194,2015,11,18.5,17.5,17.5,17.5,17.5,17.5,,,-25,big-ten,17.5,17.5
87,154,2015,11,,-25.0,-25.5,,,,,,21,independent,-25.25,-25.5
2579,57,2015,11,7.0,7.0,7.0,7.5,7.5,7.0,7.0,7.0,-10,sec,7.0,7.0
183,228,2015,11,,,30.0,,,,,,-10,acc,30.0,30.0
2226,2393,2015,11,5.5,5.0,5.5,5.5,5.5,5.5,5.5,5.0,-7,cusa,5.5,5.5
242,2572,2015,11,7.0,7.5,7.5,7.5,8.0,7.5,7.5,7.5,-55,cusa,7.5,7.5
2084,2459,2015,11,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,-11,mac,7.0,7.0
193,2006,2015,11,7.0,6.5,6.0,6.5,6.5,6.0,6.0,6.5,-9,mac,6.5,6.5
276,2229,2015,11,-10.0,-10.5,-10.0,-9.5,-9.5,-8.5,-9.0,-10.0,52,cusa,-9.75,-10.0
2711,189,2015,11,3.0,3.0,3.5,3.5,3.5,3.5,3.0,3.5,-14,mac,3.5,3.5
127,120,2015,11,-15.0,-14.5,-14.5,-14.5,-14.5,-15.5,,,17,big-ten,-14.5,-14.5
164,158,2015,11,7.0,7.5,7.5,7.0,7.5,7.5,7.5,7.5,-17,big-ten,7.5,7.5
153,2390,2015,11,-12.0,-12.5,-12.5,-12.0,-13.0,-13.0,-12.0,-12.5,38,acc,-12.5,-12.5
2641,2306,2015,11,-6.0,-5.0,-5.0,-5.0,-6.0,-5.5,-5.5,-5.0,15,big-12,-5.25,-5.0
2633,249,2015,11,,,-41.0,,,,,,24,sec,-41.0,-41.0
2653,290,2015,11,5.5,4.5,4.5,5.0,5.0,4.5,4.5,4.5,-35,sun-belt,4.5,4.5
326,2247,2015,11,-1.5,-1.5,-1.5,-1.0,-2.0,-1.5,-1.5,-1.5,-22,sun-belt,-1.5,-1.5
