HomeID,VisID,Season,Week,Spread_Mirage,Spread_Pinnacle,Spread_Sportsbet,Spread_Westgate,Spread_Station,Spread_SIA,Spread_SBG,Spread_BetUS,target_margin,Conf,SpreadMed,SpreadMode
2653,70,2015,7,-10.0,-10.0,-10.0,-9.5,,-10.0,-10.0,-10.0,-3,sun-belt,-10.0,-10.0
235,145,2015,7,10.0,10.0,10.5,10.0,10.5,10.0,10.5,10.5,13,american,10.25,10.0
245,333,2015,7,4.5,5.0,5.0,5.0,4.5,5.0,5.0,5.5,-18,sec,5.0,5.0
96,2,2015,7,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,-3,sec,2.0,2.0
61,142,2015,7,-15.0,-14.5,-15.0,-15.5,-15.0,-15.5,,,3,sec,-15.0,-15.0
2305,2641,2015,7,,,33.0,,,,,,-10,big-12,33.0,33.0
265,204,2015,7,-7.5,-7.5,-8.0,-8.0,-7.5,-7.5,-8.0,-7.5,21,pac-12,-7.5,-7.5
2572,2636,2015,7,-8.0,-7.5,-7.5,-7.5,-8.0,-8.0,-7.5,-7.5,22,cusa,-7.5,-7.5
328,68,2015,7,8.0,7.5,7.5,7.5,8.0,7.5,,7.5,26,mwc,7.5,7.5
24,26,2015,7,-6.5,-6.5,-7.0,-7.0,-6.5,-6.0,-6.5,-7.0,21,pac-12,-6.5,-6.5
87,30,2015,7,-5.5,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,10,independent,-6.0,-6.0
36,2005,2015,7,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,15,mwc,3.5,3.5
41,58,2015,7,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,-8,american,-0.5,-1.0
2655,248,2015,7,,21.0,21.0,21.0,21.0,21.0,,,-35,american,21.0,21.0
52,97,2015,7,-6.0,-6.5,-7.0,-6.5,-6.5,-6.5,-6.5,-6.5,20,acc,-6.5,-6.5
258,183,2015,7,-7.0,-7.0,-7.5,-7.0,-7.0,-7.0,-7.0,-7.0,6,acc,-7.0,-7.0
290,166,2015,7,,,-31.0,,,,,,30,sun-belt,-31.0,-31.0
2579,238,2015,7,-1.5,-2.0,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,9,sec,-1.5,-1.5
252,2132,2015,7,-5.0,-4.5,-4.5,-4.0,-4.5,-4.5,-4.5,-4.5,14,independent,-4.5,-4.5
59,221,2015,7,-3.5,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3,acc,-3.0,-3.0
2390,259,2015,7,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,10,acc,-3.0,-3.0
77,2294,2015,7,1.5,2.0,2.0,1.5,1.5,2.0,1.5,2.0,-30,big-ten,1.75,1.5
66,2628,2015,7,,20.5,20.5,21.0,21.0,21.0,,,-24,big-12,21.0,21.0
2433,2026,2015,7,14.0,14.0,14.5,14.0,14.0,14.5,14.0,14.0,-45,sun-belt,14.0,14.0
275,2509,2015,7,,-21.5,-22.5,,,,,,17,big-ten,-22.0,-22.5
249,98,2015,7,,,34.5,,,,,,-27,cusa,34.5,34.5
84,164,2015,7,-6.5,-6.5,-7.0,-6.0,-6.5,-6.5,-6.5,-7.0,-3,big-ten,-6.5,-6.5
153,154,2015,7,-17.0,-17.0,-17.0,-17.0,-17.0,-17.0,,,36,acc,-17.0,-17.0
99,57,2015,7,-6.5,-6.0,-6.0,-6.5,-6.5,-6.5,-6.0,-6.5,7,sec,-6.5,-6.5
228,103,2015,7,-17.5,-18.0,-17.5,-18.0,,-17.5,,,17,acc,-17.5,-17.5
2226,276,2015,7,3.0,3.0,3.5,3.5,3.5,3.5,3.5,3.0,-16,cusa,3.5,3.5
344,2348,2015,7,-12.0,-11.0,-11.0,-11.0,-11.0,-11.0,-11.0,-11.5,25,sec,-11.0,-11.0
2649,2199,2015,7,,,-28.0,,,,,,43,mac,-28.0,-28.0
193,2459,2015,7,17.5,17.5,18.0,18.0,18.0,18.0,,18.0,-33,mac,18.0,18.0
189,2006,2015,7,-12.5,-12.5,-13.0,-12.5,-12.5,-12.5,-12.5,-12.5,49,mac,-12.5,-12.5
2393,2229,2015,7,-10.5,-10.5,-10.5,-10.5,-10.5,-10.5,-10.5,-10.5,8,cusa,-10.5,-10.5
113,2309,2015,7,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-5,mac,-7.0,-7.0
130,127,2015,7,-7.5,-7.5,-7.5,-7.5,-7.0,-7.0,-7.5,-7.5,-4,big-ten,-7.5,-7.5
278,2439,2015,7,4.5,5.0,5.5,5.0,5.5,6.0,5.5,,3,mwc,5.5,5.5
135,158,2015,7,-1.5,0.0,-1.0,-1.0,-1.5,0.0,0.0,0.0,-23,big-ten,-0.5,0.0
151,202,2015,7,-14.0,-14.0,-14.5,-14.0,-13.5,-14.5,-14.5,-14.5,13,american,-14.25,-14.5
167,62,2015,7,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.5,1,mwc,-4.0,-4.0
2117,2084,2015,7,-7.0,-7.0,-7.0,-6.5,-6.5,-7.0,-6.5,-7.0,37,mac,-7.0,-7.0
195,2711,2015,7,-3.5,-3.5,-3.5,-3.5,-3.5,-3.5,-3.5,-3.5,-35,mac,-3.5,-3.5
239,277,2015,7,,-20.5,-20.0,-20.5,-21.0,-20.5,,,24,big-12,-20.5,-20.5
218,2116,2015,7,,-20.5,-20.0,-20.0,,-20.0,,,14,american,-20.0,-20.0
295,2429,2015,7,-4.5,-4.5,-4.5,-4.5,-5.0,-4.5,-4.0,-4.5,3,cusa,-4.5,-4.5
2751,2440,2015,7,6.0,6.5,6.5,6.5,6.0,6.0,6.0,6.0,7,mwc,6.0,6.0
2306,201,2015,7,4.5,3.5,4.0,4.0,4.0,4.5,4.0,4.0,-55,big-12,4.0,4.0
2050,2247,2015,7,-14.0,-14.0,-14.0,-14.0,-13.5,-14.0,-14.0,-14.0,-12,mac,-14.0,-14.0
