HomeID,VisID,Season,Week,Spread_Mirage,Spread_Pinnacle,Spread_Sportsbet,Spread_Westgate,Spread_Station,Spread_SIA,Spread_SBG,Spread_BetUS,target_margin,Conf,SpreadMed,SpreadMode
2,70,2015,12,,,-33.0,,,,,,22,sec,-33.0,-33.0
189,2649,2015,12,-7.5,-7.5,-8.0,-8.0,-7.5,-8.0,-8.0,-8.0,-16,mac,-8.0,-8.0
9,12,2015,12,-6.0,-6.0,-6.0,-5.5,-6.0,-6.5,-6.0,-6.0,15,pac-12,-6.0,-6.0
204,264,2015,12,14.5,14.0,14.5,14.5,14.5,14.0,,,-45,pac-12,14.5,14.5
254,26,2015,12,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,-8,pac-12,0.0,0.0
2483,30,2015,12,-3.5,-3.0,-3.5,-3.0,-3.5,-3.5,-3.5,-3.0,20,pac-12,-3.5,-3.5
68,2005,2015,12,-11.0,-10.5,-10.5,-10.5,-10.5,-10.5,-11.0,-10.5,-7,mwc,-10.5,-10.5
2116,151,2015,12,16.0,16.5,16.0,15.5,15.5,16.0,,16.0,-37,american,16.0,16.0
41,248,2015,12,8.5,7.5,7.5,8.0,,9.0,8.0,7.5,3,american,8.0,7.5
221,97,2015,12,1.5,1.0,1.0,1.5,0.0,1.0,1.0,,11,acc,1.0,1.0
152,183,2015,12,-19.0,-18.5,-18.5,-19.0,,-18.5,,,13,acc,-18.5,-18.5
52,236,2015,12,,,-28.0,,,,,,39,acc,-28.0,-28.0
309,166,2015,12,-16.5,-14.5,-14.5,-14.5,-16.5,-16.0,,,-3,sun-belt,-15.25,-14.5
57,2226,2015,12,,,-28.5,,,,,,6,sec,-28.5,-28.5
218,235,2015,12,4.0,3.5,3.5,3.5,3.5,3.5,3.5,3.5,19,american,3.5,3.5
58,2132,2015,12,1.0,1.0,1.0,1.0,1.5,1.0,1.0,1.0,38,american,1.0,1.0
259,153,2015,12,4.0,3.5,4.0,4.5,4.5,4.5,4.0,4.0,-3,acc,4.0,4.0
326,2433,2015,12,-6.0,-6.5,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,13,sun-belt,-6.0,-6.0
2294,2509,2015,12,,-23.0,-23.0,-23.5,,-23.5,,,20,big-ten,-23.25,-23.5
2229,98,2015,12,19.0,20.0,20.0,20.0,19.5,20.0,,,-56,cusa,20.0,20.0
213,130,2015,12,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,-12,big-ten,3.5,3.5
349,164,2015,12,3.5,3.0,3.5,3.5,3.5,3.5,3.5,3.5,-10,independent,3.5,3.5
2390,59,2015,12,2.5,2.5,2.5,3.0,2.5,2.0,2.5,3.0,17,acc,2.5,2.5
228,154,2015,12,,,-28.5,,,,,,20,acc,-28.5,-28.5
113,193,2015,12,-7.5,-7.0,-7.5,-7.0,-7.5,-7.5,-7.5,-7.0,-7,mac,-7.5,-7.5
2638,2348,2015,12,,25.0,25.0,,,25.0,,,-2,cusa,25.0,25.0
120,84,2015,12,-1.0,1.5,1.5,-1.0,1.0,1.5,1.5,1.5,-19,big-ten,1.5,1.5
2309,2117,2015,12,9.0,8.5,10.0,8.5,9.5,8.5,8.5,8.5,-13,mac,8.5,8.5
275,77,2015,12,-11.5,-12.0,-12.5,-11.5,-11.0,-12.5,-12.5,-12.5,-6,big-ten,-12.25,-12.5
194,127,2015,12,-15.0,-14.5,-14.5,-14.5,-14.0,-14.5,-14.5,-16.0,-3,big-ten,-14.5,-14.5
135,356,2015,12,-4.5,-4.5,-4.5,-4.5,-5.0,-4.5,-4.5,-4.5,9,big-ten,-4.5,-4.5
145,99,2015,12,-7.0,-7.0,-7.0,-6.5,-6.5,-7.0,-7.0,-7.0,21,sec,-7.0,-7.0
252,278,2015,12,,-27.0,-27.0,,,,,,42,independent,-27.0,-27.0
258,150,2015,12,2.5,1.5,2.0,2.0,2.5,2.5,2.5,2.5,8,acc,2.5,2.5
167,36,2015,12,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-7,mwc,3.0,3.0
2006,2084,2015,12,-4.5,-4.5,-4.5,-5.0,-4.5,-4.5,-4.5,-4.5,21,mac,-4.5,-4.5
2459,2711,2015,12,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,8,mac,-3.0,-3.0
195,2050,2015,12,-9.5,-10.0,-10.5,-10.0,-9.5,-10.5,-9.5,-10.0,17,mac,-10.0,-10.0
2305,277,2015,12,,29.5,29.5,,,,,,-49,big-12,29.5,29.5
2306,66,2015,12,-3.5,-3.5,-3.0,-3.0,-3.5,-3.5,-3.5,-3.0,3,big-12,-3.5,-3.5
328,2440,2015,12,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,4,mwc,-14.0,-14.0
2393,249,2015,12,,-22.5,-22.5,,,-22.5,,,34,cusa,-22.5,-22.5
2572,295,2015,12,,-21.5,-21.5,-21.5,,-21.5,,,25,cusa,-21.5,-21.5
2247,6,2015,12,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,14,sun-belt,-3.0,-3.0
2579,2643,2015,12,,,-22.0,,,-22.0,,,-1,sec,-22.0,-22.0
333,2127,2015,12,,,-40.5,,,,,,50,sec,-40.5,-40.5
