HomeID,VisID,Season,Week,Spread_Mirage,Spread_Pinnacle,Spread_Sportsbet,Spread_Westgate,Spread_Station,Spread_SIA,Spread_SBG,Spread_BetUS,target_margin,Conf,Spread_Med,Spread_Mode
99,2,2015,3,-7.0,-6.0,-7.0,-6.5,-6.5,-6.0,-7.0,-6.5,24,sec,-6.5,-7.0
8,2641,2015,3,-10.0,-9.5,-10.0,-9.5,-10.5,-10.0,-10.0,-12.5,-11,sec,-10.0,-10.0
9,167,2015,3,,-25.0,-25.0,,,-25.0,,,24,pac-12,-25.0,-25.0
197,2636,2015,3,,-25.5,-25.5,,,,,,55,big-12,-25.5,-25.5
264,328,2015,3,-7.0,-7.0,-7.5,-7.0,-7.0,-6.5,-7.0,-7.0,14,pac-12,-7.0,-7.0
251,25,2015,3,5.5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,-1,big-12,5.0,5.0
36,38,2015,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-3,mwc,3.0,3.0
127,2005,2015,3,,-24.5,-24.5,,,-24.5,,,14,big-ten,-24.5,-24.5
2006,2542,2015,3,,,-44.5,,,,,,43,mac,-44.5,-44.5
120,58,2015,3,-7.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,18,big-ten,-6.0,-6.0
2426,151,2015,3,-5.5,-4.5,-4.5,-4.5,-5.5,-5.0,-4.5,-4.5,24,american,-4.5,-4.5
295,152,2015,3,,17.0,17.5,17.5,17.5,17.5,,,-24,cusa,17.5,17.5
189,235,2015,3,3.5,3.5,3.5,4.0,3.5,3.5,3.5,3.5,-3,mac,3.5,3.5
193,2132,2015,3,,21.0,21.0,,21.0,21.0,,,-4,mac,21.0,21.0
103,52,2015,3,8.0,9.5,10.0,8.5,8.5,9.0,9.0,9.5,-14,acc,9.0,8.5
2509,259,2015,3,5.5,5.5,5.5,6.0,5.0,5.5,5.5,5.5,-27,big-ten,5.5,5.5
61,2579,2015,3,-15.5,-16.0,-15.0,-15.5,-16.0,-15.5,,,32,sec,-15.5,-15.5
68,304,2015,3,,,-28.0,,,,,,52,mwc,-28.0,-28.0
70,2747,2015,3,,,0.0,,,,,0.0,3,sun-belt,0.0,0.0
84,98,2015,3,,-2.5,-2.5,-2.5,-3.0,-2.5,-2.5,-2.5,3,big-ten,-2.5,-2.5
87,59,2015,3,1.0,-1.0,-1.0,0.0,2.0,1.5,-1.0,-1.0,8,independent,-0.5,-1.0
349,154,2015,3,6.5,7.0,7.0,7.0,6.5,7.0,7.0,7.0,-3,independent,7.0,7.0
96,57,2015,3,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,-5,sec,3.5,3.5
97,228,2015,3,5.5,5.0,5.0,5.0,5.5,5.0,5.0,5.0,-3,acc,5.0,5.0
2306,2348,2015,3,-10.0,-10.0,-10.0,-10.0,-10.5,-10.0,-10.0,-10.0,6,big-12,-10.0,-10.0
