HomeID,VisID,Season,Week,Spread_Mirage,Spread_Pinnacle,Spread_Sportsbet,Spread_Westgate,Spread_Station,Spread_SIA,Spread_SBG,Spread_BetUS,target_margin,Conf,SpreadMed,SpreadMode
2032,326,2015,14,,-24.5,-24.5,-25.0,,-24.5,,,38,sun-belt,-24.5,-24.5
2433,166,2015,14,1.0,1.0,1.0,0.0,1.5,1.0,1.0,1.0,7,sun-belt,1.0,1.0
239,251,2015,14,,-20.5,-21.0,-21.0,-21.5,-21.0,,,-6,big-12,-21.0,-21.0
333,57,2015,14,-16.5,-16.5,-17.0,-17.0,-17.0,-17.0,,,14,sec,-17.0,-17.0
98,2572,2015,14,-7.5,-7.0,-7.5,-7.0,-7.5,-7.0,-7.5,-7.0,17,cusa,-7.25,-7.5
248,218,2015,14,-5.5,-5.5,-5.5,-5.0,-6.0,-6.0,-5.5,-5.5,11,american,-5.5,-5.5
309,2653,2015,14,,-2.0,-2.0,-1.5,-2.0,-2.0,-2.0,-2.0,-24,sun-belt,-2.0,-2.0
2306,277,2015,14,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,1,big-12,6.5,6.5
290,2247,2015,14,,-20.5,-20.5,-20.5,,-20.5,,,-27,sun-belt,-20.5,-20.5
