user,item,rating
12|9,SpreadStation,2
12|9,SpreadWag,1.2736039730140594
12|9,SpreadWestgate,1
120|127,SpreadMirage,3
120|127,SpreadPinnacle,2.5
120|127,SpreadSBG,2.5
120|127,SpreadSIA,3
120|127,SpreadSportsbet,2.5
120|127,SpreadStation,3
120|127,SpreadWag,2.5
120|127,SpreadWestgate,3
120|135,SpreadMirage,-3
120|135,SpreadPinnacle,-3
120|135,SpreadSBG,-3.5
120|135,SpreadSIA,-3
120|135,SpreadSportsbet,-3.5
120|135,SpreadStation,-3.5
120|135,SpreadWag,-5.5
120|135,SpreadWestgate,-3.5
120|164,SpreadMirage,-15.5
120|164,SpreadPinnacle,-15.5
120|164,SpreadSBG,-16
120|164,SpreadSIA,-16
120|164,SpreadSportsbet,-16
120|164,SpreadStation,-15.5
120|164,SpreadWag,-14
120|164,SpreadWestgate,-15.5
120|194,SpreadMirage,28.099155986500367
120|194,SpreadPinnacle,28.688574425158578
120|194,SpreadSBG,27.5
120|194,SpreadSIA,27.5
120|194,SpreadSportsbet,27.5
120|194,SpreadStation,27.791244608219472
120|194,SpreadWag,29.5
120|194,SpreadWestgate,28.752927015752206
120|2509,SpreadMirage,-11
120|2509,SpreadPinnacle,-11
120|2509,SpreadSBG,-11
120|2509,SpreadSIA,-11
120|2509,SpreadSportsbet,-11
120|2509,SpreadStation,-11
120|2509,SpreadWag,-10
120|2509,SpreadWestgate,-11
120|47,SpreadMirage,-50
120|47,SpreadPinnacle,-50
120|47,SpreadSBG,-50
120|47,SpreadSIA,-50
120|47,SpreadSportsbet,-50
120|47,SpreadStation,-50
120|47,SpreadWag,-50
120|47,SpreadWestgate,-50
127|130,SpreadMirage,24.591499937161704
127|130,SpreadPinnacle,24.5
127|130,SpreadSBG,24.5
127|130,SpreadSIA,24.5
127|130,SpreadSportsbet,24.5
127|130,SpreadStation,24.553400964504778
127|130,SpreadWag,25
127|130,SpreadWestgate,24.5
127|164,SpreadMirage,-17
127|164,SpreadPinnacle,-17
127|164,SpreadSBG,-17
127|164,SpreadSIA,-16.5
127|164,SpreadSportsbet,-17
127|164,SpreadStation,-16
127|164,SpreadWag,-16.5
127|164,SpreadWestgate,-17
127|194,SpreadMirage,20.194570565184033
127|194,SpreadPinnacle,20.5
127|194,SpreadSBG,20
127|194,SpreadSIA,20.5
127|194,SpreadSportsbet,20
127|194,SpreadStation,20
127|194,SpreadWag,20
127|194,SpreadWestgate,20
127|231,SpreadMirage,-38
127|231,SpreadPinnacle,-38
127|231,SpreadSBG,-38
127|231,SpreadSIA,-38.00000000000001
127|231,SpreadSportsbet,-38
127|231,SpreadStation,-38
127|231,SpreadWag,-38
127|231,SpreadWestgate,-38
127|252,SpreadMirage,-3.5
127|252,SpreadPinnacle,-3.5
127|252,SpreadSBG,-3.5
127|252,SpreadSIA,-4
127|252,SpreadSportsbet,-3.5
127|252,SpreadStation,-3.5
127|252,SpreadWag,-4
127|252,SpreadWestgate,-3.5
127|275,SpreadMirage,-3.5
127|275,SpreadPinnacle,-3.5
127|275,SpreadSBG,-3.5
127|275,SpreadSIA,-3.5
127|275,SpreadSportsbet,-3.5
127|275,SpreadStation,-3.5
127|275,SpreadWag,-3.5
127|275,SpreadWestgate,-3.5
127|77,SpreadMirage,-6
127|77,SpreadPinnacle,-6.5
127|77,SpreadSBG,-6
127|77,SpreadSIA,-6
127|77,SpreadSportsbet,-6
127|77,SpreadStation,-6.5
127|77,SpreadWag,-6.5
127|77,SpreadWestgate,-6.5
13|301,SpreadMirage,-12.860811412047576
13|301,SpreadPinnacle,-12.648442098524368
13|301,SpreadSBG,-13
13|301,SpreadSIA,-12.5
13|301,SpreadSportsbet,-13
13|301,SpreadStation,-12.5
13|301,SpreadWag,-12.862220715474564
13|301,SpreadWestgate,-12.5
130|120,SpreadMirage,-30.26947319022117
130|120,SpreadPinnacle,-30.5
130|120,SpreadSBG,-30.5
130|120,SpreadSIA,-30.218247168640126
130|120,SpreadSportsbet,-30
130|120,SpreadStation,-30.255531596403703
130|120,SpreadWag,-30.5
130|120,SpreadWestgate,-30.401412738306487
130|2116,SpreadMirage,-35.99999999999999
130|2116,SpreadPinnacle,-36
130|2116,SpreadSBG,-36
130|2116,SpreadSIA,-36
130|2116,SpreadSportsbet,-36
130|2116,SpreadStation,-36
130|2116,SpreadWag,-36
130|2116,SpreadWestgate,-36.00000000000001
130|213,SpreadMirage,-16.5
130|213,SpreadPinnacle,-15.5
130|213,SpreadSBG,-16.5
130|213,SpreadSIA,-16.5
130|213,SpreadSportsbet,-15.5
130|213,SpreadStation,-16.5
130|213,SpreadWag,-15.5
130|213,SpreadWestgate,-16
130|275,SpreadMirage,-12
130|275,SpreadPinnacle,-11.5
130|275,SpreadSBG,-11.5
130|275,SpreadSIA,-11.5
130|275,SpreadSportsbet,-11.5
130|275,SpreadStation,-11.5
130|275,SpreadWag,-11.5
130|275,SpreadWestgate,-11.5
130|356,SpreadMirage,-39.85021100337491
130|356,SpreadPinnacle,-39.702856393710356
130|356,SpreadSBG,-40
130|356,SpreadSIA,-39.99999999999999
130|356,SpreadSportsbet,-40
130|356,SpreadStation,-39.92718884794513
130|356,SpreadWag,-39.5
130|356,SpreadWestgate,-39.68676824606195
130|38,SpreadMirage,-17.665053231165214
130|38,SpreadPinnacle,-17.5
130|38,SpreadSBG,-17.5
130|38,SpreadSIA,-18.5
130|38,SpreadSportsbet,-17.5
130|38,SpreadStation,-17.5
130|38,SpreadWag,-17.5
130|38,SpreadWestgate,-18
130|62,SpreadMirage,-38
130|62,SpreadPinnacle,-38
130|62,SpreadSBG,-38
130|62,SpreadSIA,-38.00000000000001
130|62,SpreadSportsbet,-38
130|62,SpreadStation,-38
130|62,SpreadWag,-38
130|62,SpreadWestgate,-38
130|84,SpreadMirage,-24.305429434815963
130|84,SpreadPinnacle,-24
130|84,SpreadSBG,-24.5
130|84,SpreadSIA,-24
130|84,SpreadSportsbet,-24.5
130|84,SpreadStation,-24.366708690892157
130|84,SpreadWag,-24.5
130|84,SpreadWestgate,-24
135|164,SpreadMirage,-18
135|164,SpreadPinnacle,-17.5
135|164,SpreadSBG,-17.5
135|164,SpreadSIA,-17.5
135|164,SpreadSportsbet,-17.5
135|164,SpreadStation,-17.5
135|164,SpreadWag,-17
135|164,SpreadWestgate,-18
135|204,SpreadMirage,-13
135|204,SpreadPinnacle,-13.5
135|204,SpreadSBG,-13.5
135|204,SpreadSIA,-13
135|204,SpreadSportsbet,-13.5
135|204,SpreadStation,-13
135|204,SpreadWag,-13.45493589307427
135|204,SpreadWestgate,-13.5
135|2294,SpreadMirage,-2.417473384417393
135|2294,SpreadPinnacle,-2.5
135|2294,SpreadSBG,-2.5
135|2294,SpreadSIA,-2
135|2294,SpreadSportsbet,-2.5
135|2294,SpreadStation,-2.5
135|2294,SpreadWag,-2.5
135|2294,SpreadWestgate,-2.5
135|2509,SpreadMirage,-17.5
135|2509,SpreadPinnacle,-18.5
135|2509,SpreadSBG,-18.5
135|2509,SpreadSIA,-18
135|2509,SpreadSportsbet,-18.5
135|2509,SpreadStation,-17.5
135|2509,SpreadWag,-17.5
135|2509,SpreadWestgate,-18.5
135|282,SpreadMirage,-24.5
135|282,SpreadPinnacle,-24.5
135|282,SpreadSBG,-24.5
135|282,SpreadSIA,-24.5
135|282,SpreadSportsbet,-24.5
135|282,SpreadStation,-24.5
135|282,SpreadWag,-24.5
135|282,SpreadWestgate,-24.499999999999996
135|36,SpreadMirage,-17
135|36,SpreadPinnacle,-17.5
135|36,SpreadSBG,-17
135|36,SpreadSIA,-17
135|36,SpreadSportsbet,-17
135|36,SpreadStation,-18
135|36,SpreadWag,-17
135|36,SpreadWestgate,-17
135|77,SpreadMirage,1.5
135|77,SpreadPinnacle,0
135|77,SpreadSBG,1
135|77,SpreadSIA,1
135|77,SpreadSportsbet,1
135|77,SpreadStation,1
135|77,SpreadWag,1.5
135|77,SpreadWestgate,1
142|2169,SpreadMirage,-51.99999999999999
142|2169,SpreadPinnacle,-52
142|2169,SpreadSBG,-52
142|2169,SpreadSIA,-52
142|2169,SpreadSportsbet,-52
142|2169,SpreadStation,-52
142|2169,SpreadWag,-52.00000000000001
142|2169,SpreadWestgate,-52
142|2199,SpreadMirage,-23
142|2199,SpreadPinnacle,-23
142|2199,SpreadSBG,-23
142|2199,SpreadSIA,-23
142|2199,SpreadSportsbet,-23
142|2199,SpreadStation,-22.999999999999996
142|2199,SpreadWag,-23
142|2199,SpreadWestgate,-22.5
142|238,SpreadMirage,-4
142|238,SpreadPinnacle,-3.5
142|238,SpreadSBG,-3.5
142|238,SpreadSIA,-3.5
142|238,SpreadSportsbet,-3.5
142|238,SpreadStation,-3.5
142|238,SpreadWag,-3
142|238,SpreadWestgate,-4
142|2393,SpreadMirage,-8.5
142|2393,SpreadPinnacle,-9.5
142|2393,SpreadSBG,-9
142|2393,SpreadSIA,-8.5
142|2393,SpreadSportsbet,-9
142|2393,SpreadStation,-8.5
142|2393,SpreadWag,-7.5
142|2393,SpreadWestgate,-9.5
142|61,SpreadMirage,7
142|61,SpreadPinnacle,7
142|61,SpreadSBG,7
142|61,SpreadSIA,7
142|61,SpreadSportsbet,7
142|61,SpreadStation,7
142|61,SpreadWag,7
142|61,SpreadWestgate,7
142|8,SpreadMirage,8
142|8,SpreadPinnacle,8
142|8,SpreadSBG,8
142|8,SpreadSIA,7.5
142|8,SpreadSportsbet,8
142|8,SpreadStation,8
142|8,SpreadWag,7.5
142|8,SpreadWestgate,8
142|96,SpreadMirage,-7
142|96,SpreadPinnacle,-7.5
142|96,SpreadSBG,-7.5
142|96,SpreadSIA,-7
142|96,SpreadSportsbet,-7.5
142|96,SpreadStation,-7.5
142|96,SpreadWag,-6.5
142|96,SpreadWestgate,-8.5
145|2,SpreadMirage,4.5
145|2,SpreadPinnacle,4
145|2,SpreadSBG,4
145|2,SpreadSIA,4.5
145|2,SpreadSportsbet,4
145|2,SpreadStation,5
145|2,SpreadWag,4
145|2,SpreadWestgate,4.5
145|235,SpreadMirage,-16
145|235,SpreadPinnacle,-15.5
145|235,SpreadSBG,-15.642713896803569
145|235,SpreadSIA,-15.5
145|235,SpreadSportsbet,-15.5
145|235,SpreadStation,-16
145|235,SpreadWag,-15.5
145|235,SpreadWestgate,-15.5
