HomeID,VisID,Season,Week,Spread_Mirage,Spread_Pinnacle,Spread_Sportsbet,Spread_Westgate,Spread_Station,Spread_SIA,Spread_SBG,Spread_BetUS,target_margin,Conf,Spread_Med,Spread_Mode,Spread_Rec
2633,61,2015,6,NA,2.5,2.5,2.5,3,2.5,2.5,2.5,7,sec,2.5,2.5,-17
2229,2638,2015,6,NA,-13.5,-14,-14,-14,-13.5,-14,NA,40,cusa,-14,-14,42
2440,167,2015,6,NA,-4,-4,-4,-5,-4,-4,-4,18,mwc,-4,-4,7
30,264,2015,6,NA,-17,-17,-17,-17,-17,NA,-17,-5,pac-12,-17,-17,3
12,204,2015,6,NA,-8,-8.5,-8.5,-9,-8.5,-8.5,-8.5,37,pac-12,-8.5,-8.5,28
2483,265,2015,6,NA,-15.5,-15.5,-16,-16,-15.5,NA,NA,-7,pac-12,-15.5,-15.5,NA
36,68,2015,6,NA,14.5,15.5,15.5,15.5,15.5,0,15,-31,mwc,15.5,15.5,-42
221,258,2015,6,NA,-8,-8,-8,-8.5,-8,-8,-8,7,acc,-8,-8,NA
2509,135,2015,6,NA,3,3,3,3.5,3.5,3.5,3.5,-28,big-ten,3.25,3,12
189,113,2015,6,NA,-11.5,-12,-12,-13,-12,-12,-11.5,24,mac,-12,-12,34.5
252,151,2015,6,NA,-10,-10,-9.5,-10,-10,-10,-10,7,independent,-10,-10,1.6666666666666667
87,2426,2015,6,NA,-14,-14,-14,-14,-14.5,-14,-14.5,17,independent,-14,-14,-10
259,152,2015,6,NA,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-3,15,acc,-2.5,-2.5,-24
58,183,2015,6,NA,1.5,1.5,1.5,2,1.5,1.5,1,21,american,1.5,1.5,NA
309,326,2015,6,NA,-4,-4,-4.5,-4,-4,-4,-4,22,sun-belt,-4,-4,43
145,166,2015,6,NA,NA,-46,NA,NA,NA,NA,NA,49,sec,-46,-46,48
248,2567,2015,6,NA,-25,-25,NA,NA,NA,NA,NA,21,american,-25,-25,NA
218,2655,2015,6,NA,-14.5,-14.5,-14.5,-14.5,-14.5,-14.5,-14.5,39,american,-14.5,-14.5,NA
202,2433,2015,6,NA,-10,-10,-10,-10,-10,-10,-10,10,american,-10,-10,35.5
99,2579,2015,6,NA,-20.5,-20.5,-20.5,NA,-20.5,NA,NA,21,sec,-20.5,-20.5,23
277,197,2015,6,NA,-5,-5,-5,-5.5,-5,-5,-5,-7,big-12,-5,-5,-7
2306,2628,2015,6,NA,8.5,9,9,10,9.5,9,9,-7,big-12,9,9,-4.5
2247,2026,2015,6,NA,14.5,14.5,14.5,14.5,14.5,14.5,14.5,-34,sun-belt,14.5,14.5,-9
228,59,2015,6,NA,-7.5,-7.5,-7,-7.5,-7.5,-7.5,-7.5,19,acc,-7.5,-7.5,11
103,154,2015,6,NA,-9.5,-9.5,-9.5,-9.5,-9.5,-9.5,-9.5,-3,acc,-9.5,-9.5,5
142,57,2015,6,NA,6.5,7,6.5,6,7,6.5,6.5,-18,sec,6.5,6.5,-5
195,193,2015,6,NA,-15.5,-15.5,-15.5,-15.5,-15.5,-10.5,-10.5,31,mac,-15.5,-15.5,20.666666666666668
2636,2348,2015,6,NA,13,13.5,13,-4,13.5,13.5,13,-3,cusa,13,13,4.5
98,2393,2015,6,NA,-7,-7.5,-7,-7.5,-7,-7,-7,30,cusa,-7,-7,14.5
276,2572,2015,6,NA,-3,-3,-3,-3.5,-3,-3,-3,21,cusa,-3,-3,1
2199,2006,2015,6,NA,8.5,8.5,8.5,8.5,8.5,8.5,8.5,-26,mac,8.5,8.5,8.5
2649,2309,2015,6,NA,-16.5,-16.5,-16.5,NA,-16.5,-16.5,-16.5,31,mac,-16.5,-16.5,26
213,84,2015,6,NA,-5,-4.5,-4.5,-4,-4,-4,-4.5,22,big-ten,-4.5,-4.5,-7
158,275,2015,6,NA,2.5,2.5,2.5,2,2.5,2.5,3,-2,big-ten,2.5,2.5,18
194,120,2015,6,NA,NA,-31.5,NA,NA,NA,NA,NA,21,big-ten,-31.5,-31.5,39
2711,2117,2015,6,NA,-5,-5,-5,-5,-4.5,-5,-5,2,mac,-5,-5,11.5
130,77,2015,6,NA,-10.5,-10.5,-10,-10,-10,-10.5,-10.5,38,big-ten,-10.5,-10.5,-9
2294,356,2015,6,NA,-10.5,-10.5,-10.5,-10.5,-10,-10,-10.5,9,big-ten,-10.5,-10.5,34
2116,41,2015,6,NA,1.5,1.5,1,1,1,1,1.5,-27,american,1,1,10
333,8,2015,6,NA,-15,-15.5,-15.5,-16.5,-15.5,-6,-6,13,sec,-15.5,-15.5,-4
344,2653,2015,6,NA,NA,-31.5,NA,NA,NA,NA,NA,28,sec,-31.5,-31.5,26.5
349,150,2015,6,NA,14,14,13,13.5,13.5,13.5,14,-41,independent,13.5,13.5,-30
2459,2050,2015,6,NA,-10.5,-10,-11,-10.5,-10.5,-10,-10,18,mac,-10.5,-10.5,11
2641,66,2015,6,NA,-13.5,-13.5,-12.5,-13,-12,-13.5,-13.5,35,big-12,-13.25,-13.5,NA
2226,242,2015,6,NA,-4,-4,-3.5,-3.5,-3.5,-4,-4,-1,cusa,-3.75,-4,19.5
249,2502,2015,6,NA,NA,4,NA,NA,4,NA,3.5,-59,cusa,4,4,-7
251,201,2015,6,NA,15,16,16,16,16,2,2.5,7,big-12,16,16,-7
2305,239,2015,6,NA,NA,46,NA,NA,NA,NA,NA,-59,big-12,46,46,-35
2572,344,2015,1,NA,21,20.5,-2.5,21,20.5,NA,NA,-18,cusa,20.75,20.5,NA
96,309,2015,1,NA,-17,-17,-17,-16,-16.5,NA,-14.5,7,sec,-16.75,-17,NA
6,2241,2015,1,NA,NA,-21.5,NA,NA,NA,NA,NA,10,sun-belt,-21.5,-21.5,NA
