Season,Start,Week,Visiter,VisID,Home,HomeID,NeutralSite,Home1Q,Home2Q,Home3Q,Home4Q,HomeOT,HomeFinal,Vis1Q,Vis2Q,Vis3Q,Vis4Q,VisOT,VisFinal
2015,9/5/2015 22:00,0,MOR,323,KIN,247,0,7,3,0,7,,17,7,7,0,7,,21
2015,9/5/2015 22:00,0,LYN,2355,ELI,2207,0,28,10,13,20,,71,0,0,0,0,,0
2015,9/5/2015 22:00,0,MORE,2413,JMU,256,0,14,14,21,7,,56,0,7,0,0,,7
2015,9/5/2015 22:00,0,TROY,2653,NCST,152,0,14,14,14,7,,49,7,7,7,0,,21
2015,9/5/2015 22:00,0,WIN,351,JOH,2304,0,0,0,0,0,,0,7,0,7,0,,14
2015,9/5/2015 22:00,0,WEBB,2241,USA,6,0,13,0,10,10,,33,0,9,7,7,,23
2015,9/5/2015 22:00,0,DAV,2166,CIT,2643,0,21,14,20,14,,69,0,0,0,0,,0
2015,9/5/2015 22:00,0,TOWS,119,ECU,151,0,14,0,7,7,,28,7,3,3,7,,20
2015,9/5/2015 22:00,0,STA,395,NCCU,2428,0,13,21,24,14,,72,0,0,0,0,,0
2015,9/5/2015 22:00,0,W&M,2729,LAF,322,0,0,7,0,0,,7,7,7,10,10,,34
2015,9/5/2015 22:00,0,BCU,2065,MIAMI,2390,0,7,24,7,7,,45,0,0,0,0,,0
2015,9/5/2015 22:00,0,BIR,3,LAG,548,0,7,14,0,7,,28,0,3,13,13,,29
2015,9/5/2015 22:00,0,SHA,2551,NCAT,2448,0,7,23,17,14,,61,0,7,0,0,,7
2015,9/5/2015 22:00,0,MRST,2368,BUCK,2083,0,3,0,14,0,,17,0,0,0,0,,0
2015,9/5/2015 22:00,0,STA,2830,SHU,2529,0,10,8,11,14,,43,0,6,13,0,,19
2015,9/5/2015 22:05,0,BLA,2069,IDST,304,0,21,21,6,7,,55,0,0,0,0,,0
2015,9/5/2015 23:00,0,CCU,324,FUR,231,0,7,14,0,14,,35,15,6,7,10,,38
2015,9/5/2015 23:00,0,GAL,417,SHE,2828,0,21,10,7,13,,51,0,0,6,0,,6
2015,9/5/2015 23:00,0,WEBB,2691,STET,56,0,7,14,7,14,,42,0,6,0,7,,13
2015,9/5/2015 23:00,0,NAU,2464,SFA,2617,0,7,7,0,14,,28,10,10,7,7,,34
2015,9/5/2015 23:00,0,AUG,2043,BEM,132,0,0,0,14,0,,14,0,14,7,14,,35
2015,9/5/2015 23:00,0,VAL,2673,ALB,2013,0,0,0,6,7,,13,7,7,0,7,,21
2015,9/5/2015 23:00,0,ALL,2018,THI,2644,0,14,17,0,6,,37,7,14,0,0,,21
2015,9/5/2015 23:00,0,WIS,271,RMU,599,0,3,13,7,0,,23,0,6,3,12,,21
2015,9/5/2015 23:00,0,NBY,2444,FLTH,53,0,7,7,14,0,,28,0,17,7,7,,31
2015,9/5/2015 23:00,0,FRO,341,GEN,2242,0,0,0,7,14,,21,18,17,7,10,,52
2015,9/5/2015 23:00,0,DSU,2169,LIB,2335,0,14,5,6,7,,32,0,6,7,0,,13
2015,9/5/2015 23:00,0,MAR,2369,WCU,2717,0,14,6,8,14,,42,0,7,0,7,,14
2015,9/5/2015 23:00,0,WMN,2849,HIR,2274,0,0,0,3,6,,9,0,7,0,10,,17
2015,9/5/2015 23:00,0,ASU,9,TA&M,245,1,7,7,3,21,,38,0,7,7,3,,17
2015,9/5/2015 23:00,0,TRI,386,HOW,2758,0,3,6,0,7,,16,13,3,7,0,,23
2015,9/5/2015 23:00,0,AKR,2006,OKLA,201,0,3,14,21,3,,41,0,3,0,0,,3
2015,9/5/2015 23:00,0,TEX,2639,SUL,2834,0,2,13,0,0,,15,7,10,24,20,,61
2015,9/5/2015 23:00,0,JKST,2296,MTSU,2393,0,14,28,14,14,,70,0,14,0,0,,14
2015,9/5/2015 23:00,0,KAL,126,ROS,86,0,7,2,6,14,,29,14,0,0,0,,14
2015,9/5/2015 23:00,0,MTS,2419,AUG,2042,0,7,21,14,0,,42,10,7,14,8,,39
2015,9/5/2015 23:00,0,CEN,2120,CSUP,2570,0,7,24,7,3,,41,7,0,7,0,,14
2015,9/5/2015 23:00,0,WJC,2911,DRKE,2181,0,7,6,16,15,,44,3,0,13,14,,30
2015,9/5/2015 23:00,0,GUI,2258,GRN,2256,0,0,6,7,0,,13,14,35,14,14,,77
2015,9/5/2015 23:00,0,EDW,2206,MOR,60,0,17,0,21,0,,38,0,1,7,0,,8
2015,9/5/2015 23:00,0,MOST,2623,MEM,235,0,28,14,14,7,,63,0,0,7,0,,7
2015,9/5/2015 23:00,0,FAMU,50,USF,58,0,3,13,14,21,,51,0,0,3,0,,3
2015,9/5/2015 23:00,0,FAI,3211,MAN,2816,0,28,23,10,7,,68,0,0,0,0,,0
2015,9/5/2015 23:00,0,AND,2023,TAY,620,0,9,22,14,6,,51,3,0,0,7,,10
