user,item,rating
101|2257,SpreadMirage,NA
101|2257,SpreadPinnacle,NA
101|2257,SpreadSBG,NA
101|2257,SpreadSIA,NA
101|2257,SpreadSportsbet,NA
101|2257,SpreadStation,NA
101|2257,SpreadWag,NA
101|2257,SpreadWestgate,NA
101|255,SpreadMirage,NA
101|255,SpreadPinnacle,NA
101|255,SpreadSBG,NA
101|255,SpreadSIA,NA
101|255,SpreadSportsbet,NA
101|255,SpreadStation,NA
101|255,SpreadWag,NA
101|255,SpreadWestgate,NA
101|375,SpreadMirage,NA
101|375,SpreadPinnacle,NA
101|375,SpreadSBG,NA
101|375,SpreadSIA,NA
101|375,SpreadSportsbet,NA
101|375,SpreadStation,NA
101|375,SpreadWag,NA
101|375,SpreadWestgate,NA
101|509,SpreadMirage,NA
101|509,SpreadPinnacle,NA
101|509,SpreadSBG,NA
101|509,SpreadSIA,NA
101|509,SpreadSportsbet,NA
101|509,SpreadStation,NA
101|509,SpreadWag,NA
101|509,SpreadWestgate,NA
101161|2045,SpreadMirage,NA
101161|2045,SpreadPinnacle,NA
101161|2045,SpreadSBG,NA
101161|2045,SpreadSIA,NA
101161|2045,SpreadSportsbet,NA
101161|2045,SpreadStation,NA
101161|2045,SpreadWag,NA
101161|2045,SpreadWestgate,NA
102118|3111,SpreadMirage,NA
102118|3111,SpreadPinnacle,NA
102118|3111,SpreadSBG,NA
102118|3111,SpreadSIA,NA
102118|3111,SpreadSportsbet,NA
102118|3111,SpreadStation,NA
102118|3111,SpreadWag,NA
102118|3111,SpreadWestgate,NA
103|152,SpreadMirage,4
103|152,SpreadPinnacle,4
103|152,SpreadSBG,4
103|152,SpreadSIA,4.5
103|152,SpreadSportsbet,4
103|152,SpreadStation,4.5
103|152,SpreadWag,3.5
103|152,SpreadWestgate,4
103|154,SpreadMirage,-9.5
103|154,SpreadPinnacle,-9.5
103|154,SpreadSBG,-9.5
103|154,SpreadSIA,-9.5
103|154,SpreadSportsbet,-9.5
103|154,SpreadStation,-9.5
103|154,SpreadWag,-7.5
103|154,SpreadWestgate,-9.5
103|2459,SpreadMirage,-3.5
103|2459,SpreadPinnacle,-3
103|2459,SpreadSBG,-3.5
103|2459,SpreadSIA,-3.5
103|2459,SpreadSportsbet,-3.5
103|2459,SpreadStation,-3.5
103|2459,SpreadWag,-3
103|2459,SpreadWestgate,-3.5
103|259,SpreadMirage,3.5
103|259,SpreadPinnacle,3.5
103|259,SpreadSBG,3.5
103|259,SpreadSIA,3.5
103|259,SpreadSportsbet,3.5
103|259,SpreadStation,3
103|259,SpreadWag,2.5
103|259,SpreadWestgate,3
103|311,SpreadMirage,NA
103|311,SpreadPinnacle,NA
103|311,SpreadSBG,NA
103|311,SpreadSIA,NA
103|311,SpreadSportsbet,-26.5
103|311,SpreadStation,NA
103|311,SpreadWag,NA
103|311,SpreadWestgate,NA
103|47,SpreadMirage,NA
103|47,SpreadPinnacle,NA
103|47,SpreadSBG,NA
103|47,SpreadSIA,NA
103|47,SpreadSportsbet,NA
103|47,SpreadStation,NA
103|47,SpreadWag,NA
103|47,SpreadWestgate,NA
103|52,SpreadMirage,8
103|52,SpreadPinnacle,9.5
103|52,SpreadSBG,9
103|52,SpreadSIA,9
103|52,SpreadSportsbet,10
103|52,SpreadStation,8.5
103|52,SpreadWag,NA
103|52,SpreadWestgate,8.5
107|2142,SpreadMirage,NA
107|2142,SpreadPinnacle,NA
107|2142,SpreadSBG,NA
107|2142,SpreadSIA,NA
107|2142,SpreadSportsbet,NA
107|2142,SpreadStation,NA
107|2142,SpreadWag,NA
107|2142,SpreadWestgate,NA
107|225,SpreadMirage,NA
107|225,SpreadPinnacle,NA
107|225,SpreadSBG,NA
107|225,SpreadSIA,NA
107|225,SpreadSportsbet,NA
107|225,SpreadStation,NA
107|225,SpreadWag,NA
107|225,SpreadWestgate,NA
107|2803,SpreadMirage,NA
107|2803,SpreadPinnacle,NA
107|2803,SpreadSBG,NA
107|2803,SpreadSIA,NA
107|2803,SpreadSportsbet,NA
107|2803,SpreadStation,NA
107|2803,SpreadWag,NA
107|2803,SpreadWestgate,NA
107|322,SpreadMirage,NA
107|322,SpreadPinnacle,NA
107|322,SpreadSBG,NA
107|322,SpreadSIA,NA
107|322,SpreadSportsbet,NA
107|322,SpreadStation,NA
