user,item,rating
108358|2316,SpreadPinnacle,NA
108358|2316,SpreadSBG,NA
108358|2316,SpreadSIA,NA
108358|2316,SpreadSportsbet,NA
108358|2316,SpreadStation,NA
108358|2316,SpreadWag,NA
108358|2316,SpreadWestgate,NA
108358|2703,SpreadMirage,NA
108358|2703,SpreadPinnacle,NA
108358|2703,SpreadSBG,NA
108358|2703,SpreadSIA,NA
108358|2703,SpreadSportsbet,NA
108358|2703,SpreadStation,NA
108358|2703,SpreadWag,NA
108358|2703,SpreadWestgate,NA
109|2557,SpreadMirage,NA
109|2557,SpreadPinnacle,NA
109|2557,SpreadSBG,NA
109|2557,SpreadSIA,NA
109|2557,SpreadSportsbet,NA
109|2557,SpreadStation,NA
109|2557,SpreadWag,NA
109|2557,SpreadWestgate,NA
109|2702,SpreadMirage,NA
109|2702,SpreadPinnacle,NA
109|2702,SpreadSBG,NA
109|2702,SpreadSIA,NA
109|2702,SpreadSportsbet,NA
109|2702,SpreadStation,NA
109|2702,SpreadWag,NA
109|2702,SpreadWestgate,NA
109|2776,SpreadMirage,NA
109|2776,SpreadPinnacle,NA
109|2776,SpreadSBG,NA
109|2776,SpreadSIA,NA
109|2776,SpreadSportsbet,NA
109|2776,SpreadStation,NA
109|2776,SpreadWag,NA
109|2776,SpreadWestgate,NA
109|2923,SpreadMirage,NA
109|2923,SpreadPinnacle,NA
109|2923,SpreadSBG,NA
109|2923,SpreadSIA,NA
109|2923,SpreadSportsbet,NA
109|2923,SpreadStation,NA
109|2923,SpreadWag,NA
109|2923,SpreadWestgate,NA
109|479,SpreadMirage,NA
109|479,SpreadPinnacle,NA
109|479,SpreadSBG,NA
109|479,SpreadSIA,NA
109|479,SpreadSportsbet,NA
109|479,SpreadStation,NA
109|479,SpreadWag,NA
109|479,SpreadWestgate,NA
11|2123,SpreadMirage,NA
11|2123,SpreadPinnacle,NA
11|2123,SpreadSBG,NA
11|2123,SpreadSIA,NA
11|2123,SpreadSportsbet,NA
11|2123,SpreadStation,NA
11|2123,SpreadWag,NA
11|2123,SpreadWestgate,NA
11|2237,SpreadMirage,NA
11|2237,SpreadPinnacle,NA
11|2237,SpreadSBG,NA
11|2237,SpreadSIA,NA
11|2237,SpreadSportsbet,NA
11|2237,SpreadStation,NA
11|2237,SpreadWag,NA
11|2237,SpreadWestgate,NA
11|2424,SpreadMirage,NA
11|2424,SpreadPinnacle,NA
11|2424,SpreadSBG,NA
11|2424,SpreadSIA,NA
11|2424,SpreadSportsbet,NA
11|2424,SpreadStation,NA
11|2424,SpreadWag,NA
11|2424,SpreadWestgate,NA
