Season,Start,Visiter,VisID,Home,HomeID,NeutralSite,Home1Q,Home2Q,Home3Q,Home4Q,HomeOT,HomeFinal,Vis1Q,Vis2Q,Vis3Q,Vis4Q,VisOT,VisFinal,Spread,WeekDate,Week,HomeConf,VisConf,HomePtsF,HomePtsA,HomeWins,HomeGames,HomeWinPct,VisPtsF,VisPtsA,VisWins,VisGames,VisWinPct,HomePythPct,HomePythWins,HomeLuck,HomePrevLuck,VisPythPct,VisPythWins,VisLuck,VisPrevLuck,HomeElo,EloSpread,VisElo,HomeEloProb,VisEloProb
2013,2013-08-29 22:00:00,LIB,2335,KENT,2309,0,7,0.0,0.0,10.0,,17,0,3.0,7.0,0.0,,10,7,2013-08-29,1,MidAmerican,NotMajor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1500,10.6,1300,0.7597469266479578,0.2402530733520421
2013,2013-08-29 22:00:00,UNC,153,SC,2579,0,17,3.0,7.0,0.0,,27,0,7.0,3.0,0.0,,10,17,2013-08-29,1,SEC,ACC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1500,2.6,1500,0.5,0.5
2013,2013-08-29 22:30:00,PRE,2506,WAKE,154,0,3,14.0,7.0,7.0,,31,7,0.0,0.0,0.0,,7,24,2013-08-29,1,ACC,NotMajor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1500,10.6,1300,0.7597469266479578,0.2402530733520421
2013,2013-08-29 23:00:00,TLSA,202,BGSU,189,0,3,3.0,7.0,21.0,,34,0,0.0,0.0,7.0,,7,27,2013-08-29,1,MidAmerican,ConferenceUSA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1500,2.6,1500,0.5,0.5
2013,2013-08-29 23:00:00,AKR,2006,UCF,2116,0,14,10.0,14.0,0.0,,38,0,0.0,0.0,7.0,,7,31,2013-08-29,1,AAC,MidAmerican,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1500,2.6,1500,0.5,0.5
2013,2013-08-29 23:00:00,NWST,2466,MOST,2623,0,0,7.0,10.0,0.0,,17,0,10.0,7.0,6.0,,23,-6,2013-08-29,1,NotMajor,NotMajor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1300,2.6,1300,0.5,0.5
2013,2013-08-29 23:00:00,INST,282,IND,84,0,21,24.0,21.0,7.0,,73,7,14.0,7.0,7.0,,35,38,2013-08-29,1,Big10,NotMajor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1500,10.6,1300,0.7597469266479578,0.2402530733520421
2013,2013-08-29 23:00:00,HAMP,2261,WIU,2710,0,8,7.0,13.0,14.0,,42,0,6.0,0.0,3.0,,9,33,2013-08-29,1,NotMajor,NotMajor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1300,2.6,1300,0.5,0.5
2013,2013-08-29 23:00:00,RMU,2523,EKY,2198,0,14,14.0,0.0,10.0,,38,0,6.0,0.0,0.0,,6,32,2013-08-29,1,NotMajor,NotMajor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1300,2.6,1300,0.5,0.5
2013,2013-08-29 23:00:00,UNLV,2439,MINN,135,0,3,13.0,14.0,21.0,,51,6,7.0,3.0,7.0,,23,28,2013-08-29,1,Big10,MountainWest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1500,2.6,1500,0.5,0.5
