HomeID,VisID,Season,Week,Spread_Mirage,Spread_Pinnacle,Spread_Sportsbet,Spread_Westgate,Spread_Station,Spread_SIA,Spread_SBG,Spread_BetUS,target_margin,Conf,SpreadMed,SpreadMode
228,61,2013,1,2.5,1.5,1.5,2.0,2.5,2.5,2.5,1.5,3,acc,2.25,2.5
238,145,2013,1,3.0,3.0,3.0,3.0,3.5,3.0,3.0,3.0,-4,sec,3.0,3.0
2,265,2013,1,-14.0,-14.0,-14.0,-14.0,,-14.0,,-14.0,7,sec,-14.0,-14.0
259,333,2013,1,,21.5,21.5,21.0,,22.0,,,-25,acc,21.5,21.5
197,344,2013,1,-13.5,-12.0,-12.5,-12.0,-12.0,-13.0,-12.5,-12.5,18,big-12,-12.5,-12.5
2390,2226,2013,1,,,-31.0,,,,,,28,acc,-31.0,-31.0
2393,2717,2013,1,,,-31.5,,,,,,21,cusa,-31.5,-31.5
245,242,2013,1,,,-28.0,,,,,,21,sec,-28.0,-28.0
6,253,2013,1,,,-14.0,,,,,,-1,sun-belt,-14.0,-14.0
8,309,2013,1,-10.5,-10.5,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,20,sec,-10.0,-10.0
2247,2535,2013,1,,,10.0,,,10.0,,10.0,-10,sun-belt,10.0,10.0
23,16,2013,1,,,-20.0,,,,,,24,mwc,-20.0,-20.0
12,2464,2013,1,,,-30.5,,,,,,35,pac-12,-30.5,-30.5
21,2197,2013,1,,,-14.0,,,,,-14.0,-21,mwc,-14.0,-14.0
26,2440,2013,1,,-20.5,-20.5,-20.5,,-20.5,,,38,pac-12,-20.5,-20.5
254,328,2013,1,-1.0,-2.0,-1.0,-1.5,-2.5,-1.5,-1.0,-1.0,4,pac-12,-1.25,-1.0
158,2751,2013,1,,-31.0,-31.0,,,,,,3,big-ten,-31.0,-31.0
62,30,2013,1,,23.5,23.5,23.5,,23.5,,,-17,mwc,23.5,23.5
25,77,2013,1,6.5,5.5,5.5,6.0,6.5,6.5,6.0,5.5,-14,pac-12,6.0,5.5
36,38,2013,1,-2.5,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-14,mwc,-3.0,-3.0
41,119,2013,1,,,-16.5,,,,,,-15,american,-16.5,-16.5
278,164,2013,1,-10.5,-10.0,-10.5,-11.0,-11.0,-11.0,-10.0,-10.5,1,mwc,-10.5,-11.0
249,70,2013,1,-16.5,-16.5,-17.0,-16.5,,-16.5,,,34,cusa,-16.5,-16.5
213,183,2013,1,8.5,8.0,8.0,8.0,8.5,8.0,8.0,8.0,6,big-ten,8.0,8.0
57,2649,2013,1,,-22.0,-22.0,-23.0,,-23.0,,,18,sec,-22.5,-23.0
58,2377,2013,1,,,-20.5,,,,,,-32,american,-20.5,-20.5
2579,153,2013,1,-12.0,-11.0,-11.0,-11.0,-12.0,-11.5,-11.0,-10.5,17,sec,-11.0,-11.0
59,2210,2013,1,,,-44.0,,,,,,70,acc,-44.0,-44.0
2628,99,2013,1,4.5,4.0,4.0,4.0,5.0,4.5,4.0,4.0,-10,big-12,4.0,4.0
66,2460,2013,1,,,-9.5,,,,,-9.5,-8,big-12,-9.5,-9.5
87,218,2013,1,,-27.5,-27.5,,,,,,22,independent,-27.5,-27.5
151,295,2013,1,,,-15.5,,,,,,14,cusa,-15.5,-15.5
2572,326,2013,1,-8.5,-7.5,-7.5,-7.5,,-7.5,-8.0,-7.5,-7,cusa,-7.5,-7.5
2294,2459,2013,1,-3.0,-3.0,-2.0,-3.0,-2.5,-2.5,-3.0,-3.0,-3,big-ten,-3.0,-3.0
84,282,2013,1,,,-24.5,,,,,,38,big-ten,-24.5,-24.5
2132,2509,2013,1,-10.5,-10.5,-11.0,-10.0,-10.0,-10.5,-10.5,-11.0,35,american,-10.5,-10.5
258,252,2013,1,2.5,2.5,2.5,3.0,3.0,3.0,3.0,3.0,3,acc,3.0,3.0
276,193,2013,1,,-20.5,-20.5,-20.0,,-20.5,,,38,cusa,-20.5,-20.5
97,195,2013,1,,-20.5,-21.0,-21.0,,-20.5,,,42,american,-20.75,-21.0
120,2229,2013,1,,-21.0,-21.0,-21.0,,-21.0,,,33,acc,-21.0,-21.0
98,96,2013,1,4.5,5.5,5.5,5.0,4.5,6.0,5.5,5.5,9,sun-belt,5.5,5.5
349,2415,2013,1,,,-33.0,,,,,,16,independent,-33.0,-33.0
2653,5,2013,1,-4.0,-4.5,-4.5,-4.5,,-4.5,-4.5,-4.5,3,sun-belt,-4.5,-4.5
103,222,2013,1,,,-15.0,,,,,,10,acc,-15.0,-15.0
2116,2006,2013,1,,-24.0,-23.5,-23.5,,,,,31,american,-23.5,-23.5
127,2711,2013,1,,-27.5,-28.0,,,,,,13,big-ten,-27.75,-28.0
130,2117,2013,1,,,-31.5,,,,,,50,big-ten,-31.5,-31.5
135,2439,2013,1,-13.5,-13.5,-14.0,-14.0,-13.5,-13.5,-13.5,-13.5,28,big-ten,-13.5,-13.5
142,93,2013,1,,,-39.0,,,,,,44,sec,-39.0,-39.0
150,2428,2013,1,,,-32.5,,,,,,45,acc,-32.5,-32.5
189,202,2013,1,-3.0,-3.0,-2.5,-3.0,-3.0,-2.5,-3.0,-2.5,27,mac,-3.0,-3.0
152,2348,2013,1,-14.0,-14.0,-14.0,-14.0,,-14.0,-14.0,-14.0,26,acc,-14.0,-14.0
201,2433,2013,1,,-21.5,-22.5,-23.0,,-22.5,,,34,big-12,-22.5,-22.5
154,2506,2013,1,,,-38.0,,,,,,24,acc,-38.0,-38.0
251,166,2013,1,,,-44.5,,,,,,49,big-12,-44.5,-44.5
167,2636,2013,1,-3.5,-3.5,-4.0,-3.5,,-3.5,-3.5,-3.5,-8,mwc,-3.5,-3.5
275,113,2013,1,,,-43.5,,,,,,45,big-ten,-43.5,-43.5
194,2084,2013,1,,,-33.5,,,,,,20,big-ten,-33.5,-33.5
2633,2046,2013,1,,,-49.0,,,,,,45,sec,-49.0,-49.0
2567,2641,2013,1,4.5,4.0,4.5,4.0,4.0,4.0,4.5,4.0,-18,american,4.0,4.0
204,331,2013,1,,,-26.0,,,,,,-3,pac-12,-26.0,-26.0
239,2747,2013,1,,,-30.0,,,,,,66,big-12,-30.0,-30.0
248,2582,2013,1,,,-40.5,,,,,,49,american,-40.5,-40.5
264,68,2013,1,-4.0,-4.0,-3.5,-3.5,-4.0,-3.5,-3.5,-3.5,32,pac-12,-3.5,-3.5
277,2729,2013,1,,,-31.5,,,,,,7,big-12,-31.5,-31.5
2483,2447,2013,1,,,-59.0,,,,,,63,pac-12,-59.0,-59.0
356,79,2013,1,,,-16.5,,,,,,8,big-ten,-16.5,-16.5
2005,2142,2013,1,,,-25.5,,,,,,25,mwc,-25.5,-25.5
2032,2029,2013,1,,,-39.0,,,,,,51,sun-belt,-39.0,-39.0
2050,2287,2013,1,,,-13.0,,,,,-13.0,23,mac,-13.0,-13.0
2199,47,2013,1,,,-22.0,,,,,,10,mac,-22.0,-22.0
2306,2449,2013,1,,,-12.5,,,-12.5,-12.5,-13.0,-3,big-12,-12.5,-12.5
2309,2335,2013,1,,,-20.5,,,,,,7,mac,-20.5,-20.5
2655,2296,2013,1,,,-25.5,,,,,,27,cusa,-25.5,-25.5
2,2032,2013,2,-10.5,-10.5,-10.5,-10.5,,-10.5,-10.5,-10.5,29,sec,-10.5,-10.5
151,2226,2013,2,,-18.0,-18.0,-19.0,,-20.0,,,18,cusa,-18.5,-18.0
259,2717,2013,2,,,-42.0,,,,,,42,acc,-42.0,-42.0
153,2393,2013,2,,-19.5,-19.5,-19.5,,-19.5,,,20,acc,-19.5,-19.5
158,2572,2013,2,,-28.0,-28.0,,,-28.0,,,43,big-ten,-28.0,-28.0
2633,98,2013,2,-14.0,-14.0,-14.5,-14.0,-13.5,-14.5,-14.0,-14.5,32,sec,-14.0,-14.0
2306,309,2013,2,-13.0,-12.5,-12.5,-12.5,-13.0,-12.5,-12.0,-12.5,21,big-12,-12.5,-12.5
8,2535,2013,2,,,-32.5,,,,,,10,sec,-32.5,-32.5
61,2579,2013,2,-3.5,-3.0,-3.0,-3.5,-3.0,-3.0,-3.0,-3.0,11,sec,-3.0,-3.0
9,16,2013,2,,,-38.0,,,,,,55,pac-12,-38.0,-38.0
258,2483,2013,2,,26.5,26.0,26.5,,26.5,,,-49,acc,26.5,26.5
2005,328,2013,2,8.0,8.0,8.0,8.5,8.5,8.0,8.0,8.0,-32,mwc,8.0,8.0
84,2426,2013,2,-12.5,-12.5,-12.0,-11.5,-12.5,-12.0,-12.5,-12.0,-6,big-ten,-12.25,-12.5
25,2502,2013,2,,,-30.5,,,,,,7,pac-12,-30.5,-30.5
127,58,2013,2,,-21.5,-21.5,-21.5,,-21.5,,,15,big-ten,-21.5,-21.5
2751,70,2013,2,,-28.0,-28.5,,,,,,32,mwc,-28.25,-28.5
77,183,2013,2,-16.5,-17.0,-17.0,-17.0,,-17.0,,,21,big-ten,-17.0,-17.0
142,2649,2013,2,,-14.0,-14.0,-14.5,,-14.5,,,15,sec,-14.25,-14.5
356,2132,2013,2,8.0,7.5,7.5,7.5,8.5,8.5,7.5,7.0,28,big-ten,7.5,7.5
195,249,2013,2,-3.5,-3.5,-3.5,-3.0,,-3.5,-3.5,-3.0,6,mac,-3.5,-3.5
2636,197,2013,2,,28.0,28.5,28.0,,28.0,,,-21,cusa,28.0,28.0
252,251,2013,2,7.5,7.0,7.5,7.5,7.5,7.5,7.5,7.5,19,independent,7.5,7.5
68,2630,2013,2,,,-34.5,,,,,,49,mwc,-34.5,-34.5
120,295,2013,2,,,-20.5,,,,,,37,acc,-20.5,-20.5
113,311,2013,2,,,3.0,,,,,,-10,mac,3.0,3.0
2309,189,2013,2,7.0,6.5,6.5,7.0,,6.5,6.5,6.5,-19,mac,6.5,6.5
2509,282,2013,2,,,-17.5,,,,,,6,big-ten,-17.5,-17.5
2390,57,2013,2,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5,acc,3.0,3.0
