Visiter,VisRushY,VisRushA,VisPassY,VisPassA,VisPassC,VisPnl,VisPnlY,VisFmb,VisInt,VisFrstD,VisThrdDA,VisThrdDC,VisFrthDA,VisFrthDC,VisTm,Home,HomeRushY,HomeRushA,HomePassY,HomePassA,HomePassC,HomePnl,HomePnlY,HomeFmb,HomeInt,HomeFrstD,HomeThrdDA,HomeThrdDC,HomeFrthDA,HomeFrthDC,HomeTm,Year,Month,Day,HomeID,VisID
Miami (OH),158,41,266,29,19,5,22,3,0,25,11,5,2,2,2181,Iowa,212,29,192,21,13,3,35,0,0,17,9,4,1,1,1419,2016,9,3,2294,193.0
Villanova,53,33,119,32,16,7,55,1,1,14,16,4,2,0,1817,Pitt,86,34,175,33,19,3,40,1,0,17,15,6,0,0,1783,2016,9,3,221,
URI,170,40,49,23,6,5,30,2,1,13,15,4,1,0,1965,Kansas,171,35,399,38,28,4,37,1,1,28,11,6,1,1,1635,2016,9,3,2305,
Cal Poly,383,71,62,12,5,9,75,1,0,23,20,10,4,3,2169,Nevada,174,34,189,24,17,4,40,0,0,18,14,7,1,1,1431,2016,9,3,2440,
Austin Peay,93,41,161,22,14,3,23,0,1,13,15,4,2,1,1954,Troy,383,43,323,36,29,14,153,1,0,29,11,7,1,0,1646,2016,9,3,2653,
Hawaii,81,37,151,23,12,8,60,0,2,16,11,1,2,1,1925,Michigan,306,39,206,20,17,3,33,0,1,26,7,7,0,0,1675,2016,9,3,130,62.0
Towson,127,49,165,41,16,5,62,3,1,20,22,6,6,5,2260,USF,214,41,230,25,13,4,42,1,1,22,12,6,0,0,1340,2016,9,3,58,
Howard,69,35,200,29,18,7,65,0,0,15,15,5,0,0,1980,Maryland,315,44,204,29,20,2,25,0,0,25,12,7,1,0,1620,2016,9,3,120,
Boise State,158,38,426,35,24,7,60,0,0,28,13,7,1,1,1754,LA-Lafayette,81,40,186,33,21,10,71,0,0,18,18,7,2,0,1846,2016,9,3,309,68.0
Georgia Tech,119,44,119,15,8,3,29,1,0,12,15,6,2,2,1818,Boston College,176,37,144,17,11,7,39,2,1,15,14,6,0,0,1782,2016,9,3,103,59.0
Liberty,90,35,70,27,9,13,75,1,3,11,15,2,2,1,1578,VT,206,48,252,41,25,4,33,4,0,24,20,10,1,1,2022,2016,9,3,259,
Colorado State,162,35,63,29,12,2,15,2,2,12,16,5,3,1,1524,Colorado,260,56,318,33,23,4,35,2,0,28,19,12,1,1,2076,2016,9,3,38,36.0
South Alabama,94,29,285,34,24,8,57,0,0,19,14,5,2,2,2201,Miss St,239,34,143,31,20,5,41,0,0,22,9,2,0,0,1399,2016,9,3,344,6.0
Texas State,106,42,440,56,41,6,55,1,2,29,19,7,2,2,1625,Ohio,237,51,393,46,28,13,109,2,0,25,22,8,2,1,1975,2016,9,3,195,326.0
S Illinois,143,34,387,52,37,5,50,1,0,26,17,7,1,0,1856,FAU,170,45,282,31,23,5,45,0,0,19,18,7,1,1,1744,2016,9,3,2226,
Southern,239,46,137,32,17,4,40,0,1,25,14,5,0,0,1887,UL Monroe,325,46,208,33,20,7,73,0,2,26,17,11,1,1,1713,2016,9,3,2433,2582.0
UCLA,125,40,343,47,26,4,17,0,3,28,18,5,2,1,1998,Texas A&M,203,41,239,42,22,6,67,1,1,23,15,4,2,1,1602,2016,9,3,245,26.0
S Carolina St,85,32,138,38,16,13,138,2,1,12,18,4,0,0,1658,UCF,201,54,265,36,20,5,40,2,0,27,17,6,4,3,1942,2016,9,3,2116,
Kansas State,92,32,243,41,19,8,44,0,2,18,18,8,4,2,1858,Stanford,105,30,167,19,15,4,26,1,0,13,12,6,0,0,1742,2016,9,3,24,2306.0
Georgia Tech,119,44,119,15,8,3,28,1,0,12,15,6,2,2,1818,Boston College,176,37,144,17,11,7,39,2,1,15,14,6,0,0,1782,2016,9,3,103,59.0
Savannah State,34,27,80,19,10,6,68,2,1,8,9,1,0,0,1314,Ga Southern,420,69,185,15,12,8,58,1,1,34,12,8,2,1,2286,2016,9,3,290,
Richmond,187,41,337,35,24,8,70,0,0,24,17,10,0,0,2386,UVA,38,21,264,34,26,0,0,3,1,19,10,2,3,2,1214,2016,9,3,258,257.0
Oklahoma,70,26,323,34,24,5,66,2,0,17,14,7,1,0,1494,Houston,89,40,321,40,23,7,75,1,0,25,18,9,0,0,2106,2016,9,3,248,201.0
Rutgers,136,48,168,40,24,4,35,2,1,21,20,5,3,2,1995,Washington,91,30,289,29,20,3,30,0,1,17,12,3,2,1,1605,2016,9,3,264,164.0
UC Davis,89,33,303,47,27,7,45,0,1,20,17,7,1,0,2237,Oregon,251,37,271,30,21,8,71,2,0,21,13,7,1,0,1363,2016,9,3,2483,
SMU,272,46,300,27,13,7,60,0,1,23,14,8,1,0,1865,North Texas,83,29,311,50,32,6,68,0,3,26,15,6,3,1,1735,2016,9,3,249,2567.0
E Kentucky,165,42,222,37,20,4,39,1,3,22,20,10,1,1,1665,Purdue,261,39,251,44,26,2,17,0,1,25,17,8,2,1,1935,2016,9,3,2509,
Alabama A&M,92,27,54,24,9,6,30,0,1,6,15,1,0,0,1269,Mid Tennessee,246,40,435,53,40,9,87,0,2,35,16,8,1,1,2331,2016,9,3,2393,
W Michigan,198,48,218,36,26,3,30,0,0,27,17,7,4,4,2344,Northwestern,123,31,196,22,15,2,20,1,0,15,10,4,3,2,1256,2016,9,3,77,2711.0
VMI,86,45,300,37,28,5,53,0,0,20,17,6,2,0,2172,Akron,151,29,425,38,25,13,111,1,1,24,12,6,3,2,1428,2016,9,3,2006,
Florida A&M,22,42,175,27,15,9,84,0,2,13,16,4,1,0,2253,Miami (FL),373,36,150,21,13,6,54,1,0,22,11,7,1,1,1347,2016,9,3,2390,
Bowling Green,69,28,175,44,21,5,45,0,3,16,16,3,3,2,1285,OSU,359,55,417,39,27,9,66,0,1,41,13,11,1,0,2315,2016,9,3,194,189.0
SE Missouri St,110,29,143,34,19,8,80,0,1,17,15,4,0,0,1921,Memphis,110,33,295,40,26,4,40,1,2,27,16,7,0,0,1679,2016,9,3,235,
Missouri,180,47,282,53,24,6,51,1,0,26,24,10,3,1,1547,West Virginia,241,48,253,37,23,4,45,1,2,24,16,6,0,0,2053,2016,9,3,277,142.0
SE Louisiana,97,46,106,14,4,6,47,4,0,12,12,1,3,0,1747,Oklahoma State,144,38,253,35,25,5,55,1,0,23,12,6,0,0,1853,2016,9,3,197,
Georgia,289,52,185,20,13,9,70,1,0,25,14,7,0,0,2287,UNC,159,19,156,40,24,13,101,0,0,16,13,5,1,0,1313,2016,9,3,153,61.0
Murray State,-10,26,175,35,21,4,29,1,2,13,16,4,0,0,1592,Illinois,287,40,228,24,16,7,55,0,0,21,12,6,1,1,2008,2016,9,3,356,
W Carolina,148,38,172,27,13,5,31,0,1,15,18,7,0,0,1691,ECU,275,38,413,33,29,3,25,1,0,28,14,10,0,0,1909,2016,9,3,151,
Toledo,185,45,371,31,23,6,58,2,0,24,17,12,0,0,2075,Arkansas State,142,38,124,25,11,6,48,0,0,13,16,3,4,2,1525,2016,9,3,2032,2649.0
Kent State,150,41,129,28,14,6,47,1,2,16,17,5,1,0,1976,Penn State,145,38,209,31,16,5,55,1,0,19,15,5,1,0,1624,2016,9,3,213,2309.0
Alabama St.,145,37,142,23,13,13,79,1,0,14,14,2,2,2,1829,UTSA,162,34,287,33,22,8,80,3,1,20,13,6,1,1,1771,2016,9,3,2636,
San Jose State,53,32,234,29,16,4,30,2,1,13,16,7,1,0,1689,Tulsa,305,58,207,25,13,2,25,0,0,28,16,7,1,1,1911,2016,9,3,202,23.0
LSU,126,29,131,21,12,5,57,1,2,14,10,2,1,0,1383,Wisconsin,134,42,205,31,19,5,55,1,2,21,15,3,1,0,2217,2016,9,3,275,99.0
UMass,46,35,141,17,9,7,25,0,0,12,11,1,2,1,1681,Florida,107,29,256,44,29,8,80,0,0,21,17,9,2,1,1919,2016,9,3,57,113.0
Fordham,162,36,302,45,26,5,35,1,0,24,18,8,4,1,1817,Navy,427,53,123,4,4,2,16,0,0,18,10,5,2,1,1783,2016,9,3,2426,2230.0
Southern Miss,262,68,258,28,18,7,50,0,3,32,17,9,2,1,2432,Kentucky,96,25,313,25,16,6,75,2,1,14,9,3,1,0,1168,2016,9,3,96,2572.0
Abil Christian,86,31,274,33,16,8,59,0,0,16,17,7,0,0,1532,Air Force,401,69,201,11,6,7,72,2,0,29,13,6,0,0,2068,2016,9,3,2005,
Hampton,90,41,218,44,20,3,38,2,1,19,20,6,3,1,2190,Old Dominion,211,38,253,29,14,9,66,1,0,20,13,4,2,1,1410,2016,9,4,295,
UNH,71,31,70,20,7,8,49,0,1,8,14,0,1,1,1531,San Diego State,170,41,291,26,17,9,70,0,0,19,15,5,0,0,2069,2016,9,4,21,
E Washington,110,25,496,41,35,12,118,0,1,28,11,6,1,1,1671,Washington St,97,25,418,52,41,12,101,0,1,32,12,7,0,0,1937,2016,9,4,265,
Notre Dame,206,46,238,30,17,8,64,0,0,22,16,7,0,0,1962,Texas,237,59,280,27,16,11,104,0,1,26,18,8,2,2,1638,2016,9,4,251,87.0
USC,64,30,130,37,18,6,46,0,1,11,18,4,2,0,1757,Alabama,242,45,223,18,12,4,29,1,1,15,15,6,1,1,1843,2016,9,4,333,30.0
N Illinois,133,37,329,39,24,12,106,1,0,20,18,6,2,1,1461,Wyoming,243,56,245,29,19,10,100,0,0,28,18,7,1,1,2139,2016,9,4,2751,2459.0
Northern Iowa,232,58,135,27,15,5,65,1,0,22,17,4,1,1,2156,Iowa State,51,25,256,28,18,9,89,2,2,16,11,3,0,0,1444,2016,9,4,66,
BYU,213,47,202,29,21,8,65,0,0,24,15,7,1,1,2257,Arizona,115,26,213,30,20,4,20,0,2,17,13,5,0,0,1343,2016,9,4,12,252.0
Clemson,151,44,248,34,19,6,55,1,1,19,17,6,3,1,1829,Auburn,87,41,175,30,15,9,60,1,2,17,17,3,5,3,1771,2016,9,4,2,228.0
New Mexico St,139,30,206,41,17,7,40,0,0,19,15,5,2,1,1356,UTEP,289,49,229,28,15,7,49,1,0,28,17,11,0,0,2244,2016,9,4,2638,166.0
SF Austin,58,35,312,55,31,3,25,1,2,24,17,5,2,0,1793,Texas Tech,125,28,633,71,48,7,42,0,1,37,15,7,1,0,1807,2016,9,4,2641,
South Dakota St,128,34,333,31,19,5,31,1,0,23,14,6,0,0,1899,TCU,223,37,439,50,33,12,125,0,2,35,15,11,0,0,1701,2016,9,4,2628,
Fresno State,31,26,243,43,24,6,29,0,2,17,15,5,2,1,1687,Nebraska,292,51,114,13,6,7,80,0,0,20,11,5,1,1,1913,2016,9,4,158,278.0
N Arizona,56,34,369,33,23,11,81,0,0,16,16,5,2,0,2014,Arizona State,276,46,180,27,20,5,40,1,1,27,14,8,1,0,1586,2016,9,4,9,
Ole Miss,67,25,313,39,21,8,74,1,3,21,11,5,1,1,1041,FSU,161,41,419,52,33,15,127,0,0,32,18,9,0,0,2559,2016,9,6,52,145.0
Maryland,239,45,238,21,15,8,85,0,0,22,12,4,1,1,1727,FIU,202,40,170,28,14,9,90,0,1,16,16,5,3,0,1873,2016,9,9,2229,120.0
Louisville,414,41,431,40,21,9,100,2,1,30,16,7,0,0,1888,Syracuse,121,40,293,53,27,8,55,1,1,24,23,10,1,0,1712,2016,9,9,183,97.0
Mid Tennessee,96,21,399,65,38,9,92,1,1,25,19,10,2,0,1716,Vanderbilt,231,45,113,28,15,4,40,1,0,20,12,4,2,1,1835,2016,9,10,238,2393.0
Howard,150,39,103,25,10,11,62,0,1,12,19,7,0,0,2010,Rutgers,375,53,137,23,11,6,61,0,1,26,16,8,2,2,1590,2016,9,10,164,
Morgan State,47,36,175,33,15,8,66,3,1,11,19,5,2,0,1989,Marshall,217,40,313,22,14,8,70,1,0,21,11,2,3,3,1611,2016,9,10,276,
Penn State,70,31,332,35,24,4,35,3,1,20,10,2,1,1,1471,Pitt,341,56,91,15,11,10,79,1,1,19,12,4,0,0,2129,2016,9,10,221,213.0
S Carolina St,156,39,137,31,14,3,25,0,0,20,12,1,2,1,1647,LA Tech,209,30,518,60,41,6,62,2,2,34,15,8,2,2,1953,2016,9,10,2348,
Youngstown St,185,41,220,32,15,5,64,0,1,21,14,5,1,1,1909,West Virginia,235,46,389,33,20,6,49,0,1,30,15,10,0,0,1691,2016,9,10,277,
North Dakota,164,43,219,36,21,8,79,0,0,19,17,4,1,1,2181,Bowling Green,90,33,327,42,24,5,45,0,3,22,15,5,3,2,1419,2016,9,10,189,
Utah State,49,26,204,39,25,5,38,0,1,13,16,6,3,1,1644,USC,178,44,244,37,28,5,51,0,1,29,13,7,2,2,1956,2016,9,10,30,328.0
Kentucky,94,34,55,14,3,2,25,1,3,9,12,4,0,0,1354,Florida,244,50,320,33,19,6,75,0,1,28,20,14,1,1,2246,2016,9,10,57,96.0
Akron,88,21,136,25,14,8,66,1,1,10,10,1,1,0,1148,Wisconsin,294,55,292,27,20,3,40,0,0,32,15,10,1,0,2452,2016,9,10,275,2006.0
Savannah State,11,29,30,13,4,5,26,0,0,3,12,1,0,0,1528,Southern Miss,369,50,246,29,21,5,40,0,1,28,14,8,4,3,2072,2016,9,10,2572,
Washington St,40,20,480,71,55,10,79,1,1,26,22,11,5,2,2278,Boise State,121,26,299,35,19,3,35,0,3,21,10,3,0,0,1322,2016,9,10,68,265.0
Bethune-Cookman,157,32,74,19,8,10,79,0,1,9,12,2,3,0,1586,North Texas,329,51,121,33,15,4,48,0,1,28,16,7,3,2,2014,2016,9,10,249,
Nevada,99,30,201,26,12,11,88,0,1,16,12,3,1,0,1588,Notre Dame,239,46,205,27,19,9,94,0,1,21,15,7,2,2,2012,2016,9,10,87,2440.0
Iowa State,126,35,165,35,14,10,73,0,1,16,15,3,2,1,1672,Iowa,198,36,237,30,20,5,35,0,0,25,10,4,1,1,1928,2016,9,10,2294,66.0
Illinois State,85,30,287,41,30,9,89,0,2,25,13,3,1,1,2058,Northwestern,86,31,191,41,17,6,70,0,0,16,18,5,4,3,1542,2016,9,10,77,
Indiana State,109,33,247,37,21,4,30,1,0,20,15,7,3,2,1582,Minnesota,292,44,301,32,21,10,82,0,0,31,14,9,2,1,2018,2016,9,10,135,
Arkansas,180,43,223,29,17,5,45,0,0,20,16,7,0,0,1987,TCU,195,32,377,58,36,9,95,1,1,25,19,12,1,1,1613,2016,9,10,2628,8.0
UCF,275,46,56,22,6,9,76,2,0,15,14,2,5,2,1535,Michigan,119,41,328,41,27,2,20,0,0,23,18,8,4,3,2065,2016,9,10,130,2116.0
Jacksonville St,120,34,248,35,17,7,61,0,1,17,17,7,2,1,1989,LSU,244,37,127,19,8,5,35,1,1,18,11,7,0,0,1611,2016,9,10,99,
UTSA,-1,34,236,30,20,9,56,0,1,13,18,8,3,0,1898,Colorado State,220,47,108,23,8,7,70,0,0,19,15,5,1,1,1702,2016,9,10,36,2636.0
Grambling St,60,36,402,44,31,12,86,3,3,28,15,9,0,0,1977,Arizona,222,47,223,30,15,7,65,0,0,21,15,5,4,1,1623,2016,9,10,12,
E Illinois,142,35,174,36,21,3,39,1,1,22,15,9,2,1,1463,Miami (OH),152,43,250,22,13,12,89,0,1,22,12,5,1,0,2137,2016,9,10,193,
Cal,82,22,522,72,41,5,55,1,3,30,20,7,2,1,1530,San Diego State,334,47,129,23,14,14,105,1,1,22,13,5,1,0,2070,2016,9,10,21,25.0
Ball State,140,38,231,30,15,4,25,2,1,18,16,6,2,1,1721,Indiana,187,45,266,27,17,8,69,0,0,19,13,2,2,0,1879,2016,9,10,84,2050.0
Ga Southern,304,63,137,10,7,10,65,1,0,23,13,6,2,0,2126,South Alabama,73,27,279,43,21,6,65,0,1,19,15,4,4,1,1474,2016,9,10,6,290.0
Idaho,104,38,218,38,23,4,35,2,1,17,17,7,5,3,1995,Washington,126,30,356,33,27,4,30,1,0,27,10,5,0,0,1605,2016,9,10,264,70.0
Southern,54,23,281,31,18,6,62,2,2,13,13,4,0,0,1608,Tulane,437,57,12,6,2,4,35,0,1,22,10,5,3,2,1992,2016,9,10,2655,2582.0
Lamar,15,28,58,13,7,6,43,1,0,4,13,3,0,0,1206,Houston,381,71,130,26,15,2,15,0,1,25,21,12,6,4,2394,2016,9,10,248,
Mercer,85,28,235,40,25,5,45,0,0,19,18,10,2,1,1782,Georgia Tech,364,52,80,10,5,1,10,2,0,25,8,6,1,1,1818,2016,9,10,59,
Nicholls,125,40,111,21,11,4,18,1,2,12,16,6,1,1,1886,Georgia,167,39,206,23,13,3,34,2,1,17,13,5,0,0,1714,2016,9,10,61,
North Carolina A&T,167,49,240,42,22,10,70,2,2,28,16,5,0,0,1867,Kent State,93,46,182,32,17,10,82,1,1,15,20,5,0,0,1733,2016,9,10,2309,
Tulsa,58,37,127,32,15,5,46,2,4,14,16,4,1,0,1567,OSU,268,48,149,22,14,9,67,1,0,20,14,5,2,1,2033,2016,9,10,194,202.0
Charleston So,152,39,142,20,7,8,51,3,0,15,12,2,1,0,1781,FSU,169,36,269,35,26,6,60,0,1,26,11,8,0,0,1819,2016,9,10,52,
McNeese,99,42,265,46,29,8,67,1,0,27,18,7,2,2,2215,LA-Lafayette,220,40,170,21,15,11,94,0,0,20,9,3,1,0,1385,2016,9,10,309,
Georgia State,27,14,142,27,9,5,25,0,0,6,12,4,0,0,886,Air Force,464,83,67,9,3,2,30,0,0,30,19,13,1,1,2714,2016,9,10,2005,2247.0
BYU,143,27,185,41,22,10,112,0,3,18,14,5,1,1,1616,Utah,169,42,194,23,14,9,85,3,3,20,12,6,0,0,1984,2016,9,10,254,252.0
Sacramento St,96,33,89,25,9,3,15,0,2,7,16,3,0,0,1690,Fresno State,200,43,274,42,22,6,55,1,1,27,17,7,0,0,1910,2016,9,10,278,
UNLV,175,35,153,28,11,7,70,0,2,18,15,8,3,2,1582,UCLA,219,40,280,39,24,9,74,1,0,30,13,8,2,2,2018,2016,9,10,26,2439.0
VT,186,45,214,28,20,8,101,5,0,21,13,6,0,0,1904,Tennessee,239,46,91,19,10,6,60,0,1,16,13,3,0,0,1696,2016,9,10,2633,259.0
E Michigan,141,46,287,45,23,8,61,0,2,21,21,11,1,0,2324,Missouri,170,38,477,40,27,8,75,2,0,30,15,9,1,1,1276,2016,9,10,142,2199.0
Idaho State,35,14,61,41,19,8,78,0,1,7,14,2,1,0,1404,Colorado,262,57,335,31,22,5,37,1,0,32,18,11,2,1,2196,2016,9,10,38,304.0
UConn,90,34,264,27,24,2,6,2,0,19,11,5,1,1,1813,Navy,243,50,130,8,6,2,30,1,0,20,10,5,1,0,1787,2016,9,10,2426,41.0
UTEP,135,40,73,21,14,8,78,1,0,10,17,3,0,0,2039,Texas,171,47,245,28,23,10,115,1,0,23,12,3,1,1,1561,2016,9,10,251,2638.0
Cincinnati,262,46,250,32,19,5,45,0,0,22,21,13,2,2,1817,Purdue,103,25,401,57,32,2,24,0,5,29,17,10,1,1,1783,2016,9,10,2509,2132.0
Elon,97,35,322,50,29,5,48,1,2,21,19,7,5,2,2100,Charlotte,232,35,274,34,24,8,95,0,0,18,13,3,3,2,1500,2016,9,10,2429,
Boston College,153,41,191,22,12,5,45,0,1,14,15,3,1,0,2041,UMass,-23,33,145,28,11,5,37,2,1,8,16,2,0,0,1559,2016,9,10,113,103.0
Rice,92,21,197,30,16,6,55,1,1,12,10,1,2,1,1188,Army,348,69,66,6,4,5,50,0,0,23,15,6,2,2,2412,2016,9,10,349,242.0
SMU,176,38,229,44,17,4,40,1,3,21,17,5,0,0,1662,Baylor,275,55,261,48,26,14,101,1,2,29,22,8,5,4,1938,2016,9,10,239,2567.0
Wyoming,131,31,189,32,16,5,42,1,5,16,10,2,2,1,1613,Nebraska,138,43,412,35,21,7,93,0,1,25,14,8,2,0,1987,2016,9,10,158,2751.0
UT Martin,214,43,204,26,12,9,63,2,2,22,15,4,4,3,2057,Hawaii,175,37,203,20,10,7,52,0,3,15,11,4,1,1,1543,2016,9,10,62,
UNC,197,37,265,25,19,6,46,1,0,21,12,5,0,0,1541,Illinois,182,36,127,35,17,13,99,1,0,15,18,7,2,1,2059,2016,9,10,356,153.0
Ohio,329,57,167,36,19,6,57,0,1,27,22,9,2,1,2682,Kansas,26,15,206,29,18,4,50,2,1,9,9,0,2,0,918,2016,9,10,2305,195.0
Portland State,202,42,256,24,12,7,70,3,3,17,12,4,1,1,1500,San Jose State,409,57,233,21,14,5,55,0,0,28,16,7,2,1,2100,2016,9,10,23,
Stony Brook,49,34,84,20,8,5,33,1,3,7,13,0,4,2,1768,Temple,177,39,124,25,11,2,20,0,1,14,14,7,2,0,1832,2016,9,10,218,
Old Dominion,157,31,169,36,17,5,45,0,1,18,12,2,6,1,1569,Appalachian St,230,48,185,22,15,7,72,0,1,22,13,2,5,4,2031,2016,9,10,2026,295.0
Wake Forest,239,49,150,16,9,4,24,1,1,13,17,6,1,0,1952,Duke,37,30,332,48,31,5,22,2,1,21,16,5,1,1,1648,2016,9,10,150,154.0
Maine,170,42,65,25,9,8,65,0,0,12,19,5,1,0,2130,Toledo,187,33,329,27,13,8,68,1,1,17,15,8,1,1,1470,2016,9,10,2649,
Cent Michigan,57,26,361,42,30,5,60,1,1,23,15,8,0,0,2127,Oklahoma State,50,26,288,44,28,4,40,0,1,23,11,1,2,1,1473,2016,9,10,197,2117.0
UVA,193,40,195,40,21,10,102,0,2,28,13,6,1,0,1892,Oregon,301,45,331,31,21,12,117,0,0,25,15,9,1,0,1708,2016,9,10,2483,258.0
South Carolina,34,31,209,39,20,6,70,1,1,18,17,6,3,3,1805,Miss St,290,45,195,30,20,6,60,0,1,24,14,6,2,0,1795,2016,9,10,344,2579.0
North Carolina St,215,31,282,32,21,8,54,1,0,19,11,4,1,0,1689,ECU,148,33,297,43,33,4,36,1,1,23,17,7,3,3,1911,2016,9,10,151,152.0
Texas Tech,72,22,540,53,38,9,94,0,2,28,13,6,1,1,1426,Arizona State,301,53,351,37,28,6,60,0,0,34,16,9,2,2,2174,2016,9,10,9,2641.0
NC Central,106,30,209,29,15,11,96,0,0,11,15,4,0,0,1510,W Michigan,359,61,255,23,15,7,82,0,0,31,14,10,1,1,2090,2016,9,10,2711,
Prairie View,32,28,173,40,14,11,95,0,1,10,18,5,1,0,1902,Texas A&M,277,38,395,49,27,4,35,1,1,35,16,8,2,2,1698,2016,9,10,245,
N Illinois,157,41,161,35,22,4,50,0,0,19,18,5,1,1,1732,USF,293,50,365,39,25,8,77,1,0,34,20,11,0,0,1868,2016,9,10,58,2459.0
UL Monroe,78,29,272,37,23,4,36,1,0,15,14,2,2,0,1757,Oklahoma,288,46,352,35,26,3,30,1,0,30,9,4,0,0,1843,2016,9,10,201,2433.0
Arkansas State,66,35,260,30,19,9,70,0,0,14,16,5,4,2,1458,Auburn,462,62,244,23,17,5,40,1,0,32,15,11,2,1,2142,2016,9,10,2,2032.0
