Visiter,VisRushY,VisRushA,VisPassY,VisPassA,VisPassC,VisPnl,VisPnlY,VisFmb,VisInt,VisFrstD,VisThrdDA,VisThrdDC,VisFrthDA,VisFrthDC,VisTm,Home,HomeRushY,HomeRushA,HomePassY,HomePassA,HomePassC,HomePnl,HomePnlY,HomeFmb,HomeInt,HomeFrstD,HomeThrdDA,HomeThrdDC,HomeFrthDA,HomeFrthDC,HomeTm,Year,Month,Day,HomeID,VisID
Abil Christian,95,36,403,40,30,9,86,0,1,26,14,7,0,0,2049,Georgia State,153,33,413,49,31,12,99,1,2,33,16,10,2,2,1551,2014,8,27,2247.0,
Chattanooga,106,29,150,24,13,5,54,0,4,14,11,3,0,0,1387,Cent Michigan,148,46,173,26,15,7,55,1,0,19,15,5,2,0,2196,2014,8,28,2117.0,
Cal Poly,259,49,6,7,2,4,21,1,1,14,12,4,0,0,1552,New Mexico St,197,47,158,27,18,2,20,0,1,21,16,9,1,0,2048,2014,8,28,166.0,
Weber State,152,32,156,29,14,9,74,0,0,14,15,5,1,0,1729,Arizona State,267,45,303,39,24,4,30,0,0,32,17,9,1,1,1871,2014,8,28,9.0,
Howard,148,51,68,26,12,5,48,1,0,15,18,3,3,1,2005,Akron,113,28,400,44,28,7,70,0,0,24,12,5,2,0,1595,2014,8,28,2006.0,
Rutgers,215,43,281,27,16,8,78,0,1,22,14,6,1,1,1997,Washington St,6,14,532,56,40,9,77,1,1,22,13,8,2,0,1603,2014,8,28,265.0,164.0
Wake Forest,-3,27,97,22,12,8,51,0,1,5,14,3,0,0,1477,UL Monroe,163,44,189,41,23,5,25,1,0,21,21,9,2,1,2123,2014,8,28,2433.0,154.0
Temple,144,45,207,36,23,3,23,2,0,17,17,2,4,2,1974,Vanderbilt,54,29,224,34,16,7,66,4,3,13,14,3,1,0,1857,2014,8,28,238.0,218.0
Texas A&M,169,39,511,60,44,8,95,0,0,39,17,12,2,2,2258,South Carolina,67,22,366,40,20,4,21,0,1,23,9,2,1,0,1342,2014,8,28,2579.0,245.0
Presbyterian,69,31,58,18,10,2,12,2,1,6,12,1,0,0,1579,N Illinois,424,77,211,32,19,6,55,0,0,36,22,14,1,1,2021,2014,8,28,2459.0,
North Dakota,118,32,126,20,14,10,61,1,1,12,12,4,1,0,1688,San Jose State,150,40,256,26,23,4,40,0,0,23,11,7,1,0,1907,2014,8,28,23.0,
Boise State,135,37,264,48,36,9,72,0,4,26,15,5,2,1,2140,Ole Miss,71,34,387,36,25,14,78,0,3,22,13,5,2,1,1425,2014,8,28,145.0,68.0
Idaho State,179,44,158,40,21,7,42,0,0,21,21,9,0,0,2081,Utah,238,46,351,32,22,7,54,1,0,27,14,8,1,1,1503,2014,8,28,254.0,304.0
E Illinois,99,39,310,57,32,6,28,2,1,27,21,8,5,4,1791,Minnesota,182,40,156,18,10,5,50,1,0,18,12,6,0,0,1712,2014,8,28,135.0,
Tulane,254,30,262,44,22,9,96,1,1,22,16,8,0,0,1721,Tulsa,154,36,438,53,31,9,90,0,2,30,19,9,1,1,1837,2014,8,28,202.0,2655.0
UNLV,119,31,252,41,22,7,64,0,1,20,15,4,1,0,1676,Arizona,353,48,434,46,26,7,63,0,0,32,21,11,3,3,1885,2014,8,29,12.0,2439.0
BYU,205,37,308,36,28,15,150,2,0,27,13,5,1,1,1588,UConn,71,31,284,48,25,8,90,1,1,23,17,8,4,1,2012,2014,8,29,41.0,252.0
UTSA,142,50,121,24,15,14,115,1,0,17,17,5,1,1,2422,Houston,-26,23,234,50,25,9,47,2,4,18,16,4,4,2,1334,2014,8,29,248.0,2636.0
Jacksonville St,22,25,222,37,18,7,64,0,3,14,15,6,1,0,1315,Michigan State,211,50,354,24,18,2,13,0,0,25,13,6,1,1,2285,2014,8,29,127.0,
Bowling Green,152,35,313,36,25,11,90,0,0,26,11,4,1,0,1441,W Kentucky,139,40,569,56,46,7,66,0,0,40,18,14,0,0,2159,2014,8,29,98.0,189.0
Villanova,190,60,199,27,16,11,93,0,0,25,20,12,1,1,2268,Syracuse,136,34,184,35,22,7,55,0,0,21,14,5,1,1,1344,2014,8,29,183.0,
Colorado State,266,45,134,23,13,6,63,1,0,27,11,5,1,1,1812,Colorado,134,34,241,39,24,6,65,0,0,22,15,5,2,1,1757,2014,8,29,38.0,36.0
UCLA,116,39,242,34,20,12,87,2,0,16,18,7,2,0,1530,UVA,120,39,266,45,29,4,20,1,2,17,23,9,3,2,2070,2014,8,30,258.0,26.0
