Visiter,VisRushY,VisRushA,VisPassY,VisPassA,VisPassC,VisPnl,VisPnlY,VisFmb,VisInt,VisFrstD,VisThrdDA,VisThrdDC,VisFrthDA,VisFrthDC,VisTm,Home,HomeRushY,HomeRushA,HomePassY,HomePassA,HomePassC,HomePnl,HomePnlY,HomeFmb,HomeInt,HomeFrstD,HomeThrdDA,HomeThrdDC,HomeFrthDA,HomeFrthDC,HomeTm,Year,Month,Day,HomeID,VisID
VMI,103,29,444,49,35,8,47,2,0,22,19,8,4,3,1653,Ball State,229,42,338,53,34,6,55,0,1,33,17,10,1,1,1947,2015,9,3,2050,
FIU,131,31,260,37,28,7,45,1,0,17,15,8,0,0,1797,UCF,46,30,249,34,23,3,20,0,0,18,16,7,1,0,1803,2015,9,3,2116,2229.0
Oklahoma State,153,35,266,32,22,4,35,0,0,19,14,6,0,0,1588,Cent Michigan,78,28,265,42,29,6,30,0,1,18,18,8,0,0,2012,2015,9,3,2117,197.0
Alcorn State,166,39,106,28,10,10,82,2,1,13,16,2,2,1,1915,Georgia Tech,476,52,77,5,4,0,0,1,0,26,6,3,1,1,1685,2015,9,3,59,
UNC,208,33,232,31,19,6,30,0,3,20,13,5,2,0,1462,South Carolina,254,47,140,27,12,8,60,0,0,22,15,7,2,1,2138,2015,9,3,2579,153.0
Villanova,114,36,189,33,18,5,45,1,1,18,17,9,3,1,1909,UConn,105,39,202,20,12,4,30,0,1,19,13,6,1,1,1691,2015,9,3,41,
Elon,51,19,100,28,15,10,77,0,0,6,13,1,0,0,1268,Wake Forest,203,42,388,40,29,3,30,0,0,29,16,7,2,2,2332,2015,9,3,154,
W Kentucky,37,23,209,30,19,9,70,0,0,11,12,2,0,0,1401,Vanderbilt,168,42,217,34,18,5,40,1,2,20,18,7,3,2,2199,2015,9,4,238,98.0
TCU,203,44,246,42,26,9,50,1,1,25,19,7,0,0,2090,Minnesota,144,39,197,35,19,7,60,2,0,18,15,4,2,1,1510,2015,9,4,135,2628.0
URI,4,20,60,20,10,4,40,3,1,2,11,1,0,0,1098,Syracuse,312,58,114,20,10,3,36,0,1,23,19,11,1,1,2414,2015,9,4,183,
Duke,206,49,324,44,29,8,78,2,0,29,19,10,2,1,2161,Tulane,25,23,246,42,24,5,25,0,1,14,14,2,2,0,1439,2015,9,4,2655,150.0
Colorado,215,53,158,39,23,0,0,2,1,0,0,0,0,0,0,Hawaii,100,34,202,38,19,0,0,0,2,0,0,0,0,0,0,2015,9,4,62,38.0
Michigan,76,29,279,43,27,3,25,0,3,20,16,6,2,1,1841,Utah,127,37,210,33,24,6,55,0,1,20,13,3,3,2,1759,2015,9,4,254,130.0
Southern Utah,52,30,111,34,17,12,85,0,0,9,18,1,1,0,1788,Utah State,140,35,110,33,16,11,123,0,1,15,16,1,0,0,1812,2015,9,4,328,
Fordham,123,37,322,23,15,11,70,1,0,17,13,7,0,0,1748,Army,256,42,133,16,7,3,26,1,1,21,11,6,2,0,1852,2015,9,4,349,2230.0
Ohio,205,38,284,25,20,10,92,1,0,23,10,5,0,0,1763,Idaho,100,28,297,48,36,3,30,1,2,25,14,4,5,4,1837,2015,9,4,70,195.0
UC Davis,89,27,238,47,32,4,31,0,0,22,18,9,2,1,2047,Nevada,232,39,163,23,13,6,50,0,0,22,10,6,1,0,1553,2015,9,4,2440,
Michigan State,196,40,256,31,15,3,25,1,0,26,15,10,0,0,1699,W Michigan,18,23,365,50,33,8,77,0,2,22,18,8,2,2,1901,2015,9,4,2711,127.0
Charlotte,164,54,244,32,19,4,30,3,2,24,21,11,1,1,2037,Georgia State,93,26,299,43,25,10,79,2,1,16,15,3,2,1,1563,2015,9,4,2247,2429.0
Baylor,300,37,423,32,17,13,105,0,1,27,10,4,3,2,1328,SMU,203,54,166,24,16,5,40,0,2,22,15,7,2,1,2272,2015,9,4,2567,239.0
UTSA,193,50,332,45,25,10,114,1,1,29,19,8,3,2,2109,Arizona,163,38,229,36,22,8,76,1,0,25,14,7,3,1,1491,2015,9,4,12,2636.0
Abil Christian,34,29,213,45,30,6,40,0,2,15,17,5,4,2,2036,Fresno State,225,39,217,45,22,2,20,1,2,26,19,10,1,1,1564,2015,9,4,278,
UNH,126,26,60,25,10,1,2,0,0,10,13,4,0,0,1164,San Jose State,285,53,422,35,30,5,43,0,0,34,13,9,1,0,2426,2015,9,4,23,
Bowling Green,124,34,433,51,29,12,128,1,0,24,18,4,3,3,1569,Tennessee,399,64,205,23,15,4,40,0,0,29,16,9,0,0,2031,2015,9,5,2633,189.0
New Mexico St,72,23,128,28,14,1,9,0,1,8,12,1,3,2,1324,Florida,222,41,384,38,31,1,10,1,0,28,15,10,2,2,2276,2015,9,5,57,166.0
Penn State,80,28,103,25,11,6,42,0,1,9,13,2,1,0,1425,Temple,149,43,168,21,16,5,35,1,0,15,17,7,1,0,2175,2015,9,5,218,213.0
Howard,36,30,136,23,14,6,41,0,1,8,13,1,3,1,1450,Appalachian St,390,56,287,28,21,7,60,1,0,34,13,7,4,3,2150,2015,9,5,2026,
Missouri State,18,30,107,25,15,5,58,3,0,10,14,2,0,0,1570,Memphis,317,60,202,21,16,9,92,0,0,27,14,9,1,1,2030,2015,9,5,235,
UT Martin,116,39,174,29,16,6,43,0,1,13,17,2,1,1,2169,Ole Miss,338,36,324,28,19,3,30,0,1,28,9,4,2,2,1431,2015,9,5,145,
Kent State,59,39,186,40,19,11,82,1,3,15,18,3,5,2,1881,Illinois,134,36,208,29,14,8,80,0,1,19,13,3,2,2,1719,2015,9,5,356,2309.0
FAU,300,61,263,35,23,13,130,0,0,30,17,4,3,2,2221,Tulsa,194,51,424,35,21,4,26,2,2,31,18,9,2,2,1379,2015,9,5,202,2226.0
Washington,29,22,150,35,20,5,32,0,1,11,14,4,0,0,1538,Boise State,185,53,152,27,17,7,66,1,1,21,18,8,2,1,2062,2015,9,5,68,264.0
Norfolk State,-3,23,199,29,18,8,51,0,1,10,14,4,0,0,1657,Rutgers,291,47,248,15,13,9,60,1,0,26,9,5,3,2,1943,2015,9,5,164,
North Dakota,276,54,153,23,13,6,56,0,0,23,17,9,1,0,2234,Wyoming,29,19,301,39,20,8,96,0,0,14,13,3,3,1,1366,2015,9,5,2751,
Stanford,85,27,155,35,20,5,25,1,1,17,15,3,2,2,1688,Northwestern,225,54,105,25,12,5,57,0,0,17,22,12,1,1,1912,2015,9,5,77,24.0
Colgate,198,48,127,27,14,7,58,2,0,20,17,6,4,3,2017,Navy,371,47,67,6,3,3,34,1,0,19,9,3,1,1,1459,2015,9,5,2426,
Maine,7,20,84,29,12,5,41,0,1,8,13,3,0,0,1403,Boston College,204,49,155,25,14,5,35,0,0,21,18,9,1,1,2197,2015,9,5,103,
Richmond,56,27,220,30,18,1,10,0,0,12,12,2,1,1,1745,Maryland,341,45,138,22,12,5,39,0,1,24,12,7,0,0,1855,2015,9,5,120,257.0
Bethune-Cookman,53,35,26,11,4,8,60,0,2,5,12,1,1,0,1658,Miami (FL),195,26,184,31,17,4,30,1,0,20,11,3,2,2,1342,2015,9,5,2390,
BYU,132,26,379,46,28,4,30,0,1,21,14,3,4,2,1627,Nebraska,126,37,319,41,24,12,90,1,1,25,14,6,0,0,1973,2015,9,5,158,252.0
Florida A&M,12,34,170,38,20,10,61,0,2,11,19,5,2,0,1907,USF,275,46,281,26,20,11,97,0,1,27,12,4,2,1,1693,2015,9,5,58,
Arizona State,92,41,199,41,25,6,45,2,0,19,18,5,2,0,1891,Texas A&M,178,45,247,35,19,5,50,1,2,22,18,8,1,0,1709,2015,9,5,245,9.0
Morgan State,53,34,142,25,13,9,55,1,1,12,16,7,0,0,1808,Air Force,394,63,119,7,4,6,57,0,0,29,10,8,0,0,1792,2015,9,5,2005,
Akron,138,44,88,26,6,9,62,1,0,10,19,4,0,0,1968,Oklahoma,100,33,439,42,28,9,90,1,1,26,13,4,1,1,1632,2015,9,5,201,2006.0
South Dakota,61,36,205,30,18,2,11,1,0,16,18,8,2,0,1845,Kansas State,189,41,147,18,9,8,70,1,0,16,12,5,0,0,1755,2015,9,5,2306,
Youngstown St,129,30,278,40,20,4,34,0,0,16,16,3,2,0,1816,Pitt,325,43,133,18,11,4,23,1,2,16,14,5,0,0,1784,2015,9,5,221,
Illinois State,35,28,196,27,16,2,10,0,0,14,14,7,1,0,1652,Iowa,210,44,221,25,16,5,51,1,0,22,12,6,3,2,1948,2015,9,5,2294,
S Illinois,248,46,411,32,24,6,68,2,0,26,17,11,0,0,1832,Indiana,246,42,349,32,19,6,43,0,0,23,13,5,1,1,1768,2015,9,5,84,
Texas,60,29,103,23,8,4,50,0,0,8,14,2,0,0,1250,Notre Dame,214,52,313,23,19,6,39,0,0,30,14,8,0,0,2350,2015,9,5,87,251.0
South Dakota St,170,39,293,33,17,3,25,0,0,25,14,5,2,2,1796,Kansas,285,51,291,40,25,7,75,1,1,29,16,7,5,4,1804,2015,9,5,2305,
Presbyterian,155,41,163,27,14,12,97,1,1,17,16,4,2,1,2042,Miami (OH),205,40,261,23,17,13,126,2,0,18,13,5,0,0,1558,2015,9,5,193,
Towson,179,44,237,33,17,5,42,1,1,27,15,7,4,1,2016,ECU,192,33,235,37,29,8,89,0,0,23,17,10,3,2,1584,2015,9,5,151,
Albany (N.Y.),141,35,128,25,13,5,56,1,2,13,14,7,0,0,1724,Buffalo,212,43,255,29,22,7,56,0,0,24,14,5,3,3,1876,2015,9,5,2084,
Ga Southern,195,57,29,13,2,1,15,1,4,14,16,5,4,0,2047,West Virginia,185,40,359,26,16,5,37,0,0,21,12,3,2,1,1553,2015,9,5,277,290.0
UL Monroe,45,26,206,29,23,5,30,0,1,12,14,5,0,0,1600,Georgia,243,38,192,14,10,4,30,0,0,19,9,5,0,0,1406,2015,9,5,61,2433.0
UNLV,164,47,329,40,22,3,30,0,1,28,18,8,2,1,2134,N Illinois,185,42,360,26,21,7,55,0,0,24,13,6,2,0,1466,2015,9,5,2459,2439.0
Troy,121,25,184,21,14,5,54,1,1,13,9,1,0,0,1106,North Carolina St,251,58,199,26,22,1,15,0,0,30,13,5,4,3,2494,2015,9,5,152,2653.0
Old Dominion,229,41,184,32,18,6,75,0,0,25,15,7,0,0,1663,E Michigan,256,47,188,36,22,7,78,1,2,27,15,8,2,1,1937,2015,9,5,2199,295.0
SE Missouri St,135,42,56,22,12,10,103,1,0,10,18,4,0,0,1913,Missouri,88,33,319,32,18,6,44,0,1,19,14,5,1,0,1687,2015,9,5,142,
Savannah State,83,49,100,23,10,8,78,1,1,11,18,3,3,2,2205,Colorado State,217,33,381,36,27,6,62,4,1,33,9,6,1,0,1395,2015,9,5,36,
LA-Lafayette,247,47,232,41,26,7,70,2,2,27,19,7,4,3,2225,Kentucky,178,26,257,34,16,4,54,0,1,18,14,5,1,1,1375,2015,9,5,96,309.0
