Visiter,VisRushY,VisRushA,VisPassY,VisPassA,VisPassC,VisPnl,VisPnlY,VisFmb,VisInt,VisFrstD,VisThrdDA,VisThrdDC,VisFrthDA,VisFrthDC,VisTm,Home,HomeRushY,HomeRushA,HomePassY,HomePassA,HomePassC,HomePnl,HomePnlY,HomeFmb,HomeInt,HomeFrstD,HomeThrdDA,HomeThrdDC,HomeFrthDA,HomeFrthDC,HomeTm,Year,Month,Day,HomeID,VisID
Tulsa,51,24,222,41,20,4,25,2,0,2,17,6,2,0,1273,Bowling Green,233,53,163,28,12,6,60,0,1,13,13,3,1,1,2327,2013,8,29,189,202.0
UNC,99,36,194,43,26,6,55,1,0,5,20,8,4,3,1827,South Carolina,228,38,178,21,12,7,53,0,0,9,14,5,2,1,1773,2013,8,29,2579,153.0
Liberty,33,22,189,22,14,4,30,0,0,2,10,2,1,0,1270,Kent State,167,49,194,28,21,9,79,1,0,11,18,9,3,1,2330,2013,8,29,2309,
Presbyterian,102,24,49,19,11,6,43,3,3,2,11,2,0,0,1299,Wake Forest,189,54,219,26,14,4,35,2,0,16,18,5,3,3,2301,2013,8,29,154,
Southern Utah,134,40,183,24,13,5,35,0,0,7,15,5,1,1,2025,South Alabama,187,34,148,28,18,7,60,0,1,8,14,5,0,0,1575,2013,8,29,6,
Utah State,173,39,314,40,31,7,94,1,0,8,17,10,0,0,1924,Utah,148,44,302,28,17,5,30,1,0,10,16,7,1,1,1676,2013,8,29,254,328.0
UNLV,193,34,226,51,36,1,15,0,2,8,18,6,4,4,1916,Minnesota,221,38,99,23,10,1,5,0,1,9,14,8,1,1,1684,2013,8,29,135,2439.0
Illinois State,74,36,282,29,20,6,40,1,1,6,14,6,2,2,1955,Ball State,80,32,340,40,24,5,40,0,0,4,16,10,0,0,1645,2013,8,29,2050,
Ole Miss,206,37,283,47,31,4,49,0,0,10,14,6,2,2,1754,Vanderbilt,126,33,300,36,21,5,40,0,2,7,16,8,1,1,1846,2013,8,29,238,145.0
USC,192,45,172,29,15,9,75,1,1,11,14,3,2,1,2008,Hawaii,23,31,208,41,16,4,48,0,4,4,18,4,2,1,1592,2013,8,29,62,30.0
Akron,134,35,116,25,18,6,49,1,1,7,16,8,0,0,1641,UCF,157,39,319,27,19,1,10,0,0,9,14,9,0,0,1959,2013,8,29,2116,2006.0
Sacramento St,86,39,192,40,23,8,45,0,2,5,21,8,4,2,2168,San Jose State,142,29,225,32,16,3,20,0,0,7,16,7,2,1,1432,2013,8,29,23,
Jackson State,112,48,244,29,15,9,78,2,4,6,20,9,2,2,2041,Tulane,158,43,150,16,7,4,27,0,0,9,12,5,0,0,1559,2013,8,29,2655,
Indiana State,131,39,175,32,12,7,83,1,1,7,16,3,3,1,1662,Indiana,313,54,319,30,17,6,66,1,2,13,18,9,2,1,1938,2013,8,29,84,
Towson,201,50,192,20,13,7,70,0,1,9,16,7,3,2,2183,UConn,81,27,206,28,16,5,32,1,1,3,13,4,2,1,1417,2013,8,29,41,
