Date, Vis Team, Rushing Yards, Rushing Attempts, Passing Yards,Passing Attempts, Passing Completions, Penalties, Penalty Yards, Fumbles Lost,Interceptions Thrown, 1st Downs, 3rd Down Attempts, 3rd Down Conversions,4th Down Attempts, 4th Down conversions, Time of Possession, Score,Home Team, Rushing Yards, Rushing Attempts, Passing Yards,Passing Attempts, Passing Completions, Penalties, Penalty Yards, Fumbles Lost,Interceptions Thrown, 1st Downs, 3rd Down Attempts, 3rd Down Conversions,4th Down Attempts, 4th Down conversions, Time of Possession, Score
2001-09-01, San Jose State, 115, 30, 213, 37, 20, -999, -999, 1, 2, -999, -999, -999, -999, -999, -999, 10, USC, 165, 33, 213, 28, 21, -999, -999, 0, 1, -999, -999, -999, -999, -999, -999, 21
2001-09-01, Oregon, 136, 35, 277, 48, 22, -999, -999, 0, 2, -999, -999, -999, -999, -999, -999, 31, Wisconsin, 157, 32, 231, 32, 16, -999, -999, 1, 1, -999, -999, -999, -999, -999, -999, 28
2001-09-01, Pitt, 229, 35, 185, 28, 19, -999, -999, 0, 0, -999, -999, -999, -999, -999, -999, 31, East Tennessee St, 79, 49, 101, 18, 8, -999, -999, 1, 1, -999, -999, -999, -999, -999, -999, 0
2001-09-01, Georgia Tech, 122, 36, 351, 34, 22, -999, -999, 0, 2, -999, -999, -999, -999, -999, -999, 35, The Citadel, 70, 34, 132, 26, 15, -999, -999, 1, 0, -999, -999, -999, -999, -999, -999, 7
2001-09-01, Texas A&M, 120, 35, 254, 40, 24, -999, -999, 1, 1, -999, -999, -999, -999, -999, -999, 38, McNeese State, 103, 35, 138, 30, 13, -999, -999, 0, 3, -999, -999, -999, -999, -999, -999, 24
2001-09-01, UConn, 74, 27, 110, 29, 10, -999, -999, 0, 1, -999, -999, -999, -999, -999, -999, 10, VT, 283, 46, 323, 30, 21, -999, -999, 0, 0, -999, -999, -999, -999, -999, -999, 52
2001-09-01, Florida, 111, 28, 430, 38, 25, -999, -999, 0, 1, -999, -999, -999, -999, -999, -999, 49, Marshall, 66, 26, 274, 43, 27, -999, -999, 1, 0, -999, -999, -999, -999, -999, -999, 14
2001-09-01, UCF, 31, 22, 297, 47, 29, -999, -999, 1, 0, -999, -999, -999, -999, -999, -999, 13, Clemson, 138, 42, 151, 25, 15, -999, -999, 2, 0, -999, -999, -999, -999, -999, -999, 21
2001-09-01, UL Monroe, 60, 30, 186, 36, 18, -999, -999, 2, 0, -999, -999, -999, -999, -999, -999, 9, Sam Houston, 77, 33, 188, 31, 17, -999, -999, 0, 0, -999, -999, -999, -999, -999, -999, 20
2001-09-01, Miami (FL), 258, 44, 344, 27, 20, -999, -999, 1, 1, -999, -999, -999, -999, -999, -999, 33, Penn State, 82, 33, 241, 31, 13, -999, -999, 1, 2, -999, -999, -999, -999, -999, -999, 7
