Date, Vis Team, Rushing Yards, Rushing Attempts, Passing Yards,Passing Attempts, Passing Completions, Penalties, Penalty Yards, Fumbles Lost,Interceptions Thrown, 1st Downs, 3rd Down Attempts, 3rd Down Conversions,4th Down Attempts, 4th Down conversions, Time of Possession, Score,Home Team, Rushing Yards, Rushing Attempts, Passing Yards,Passing Attempts, Passing Completions, Penalties, Penalty Yards, Fumbles Lost,Interceptions Thrown, 1st Downs, 3rd Down Attempts, 3rd Down Conversions,4th Down Attempts, 4th Down conversions, Time of Possession, Score
2017-08-26, Portland State, 86, 36, 134, 36, 16, 7, 70, 0, 1, 14, 19, 7, 4, 2, 1821, 6, BYU, 171, 35, 194, 27, 16, 7, 70, 0, 0, 13, 13, 4, 1, 0, 1779, 20
2017-08-26, USF, 315, 74, 233, 26, 13, 10, 57, 0, 0, 29, 19, 3, 3, 3, 2190, 42, San Jose State, 109, 38, 278, 50, 25, 9, 64, 0, 3, 18, 21, 7, 2, 1, 1410, 22
2017-08-26, Oregon State, 152, 29, 304, 47, 27, 3, 21, 2, 3, 23, 16, 10, 0, 0, 1541, 27, Colorado State, 191, 43, 334, 39, 26, 8, 40, 1, 1, 31, 14, 8, 1, 1, 2059, 58
2017-08-26, Hawaii, 112, 35, 391, 38, 25, 9, 88, 0, 1, 19, 15, 6, 4, 2, 1884, 38, UMass, 115, 41, 298, 34, 22, 5, 55, 1, 1, 20, 16, 8, 3, 3, 1716, 35
2017-08-27, Stanford, 287, 36, 369, 37, 21, 4, 35, 0, 0, 27, 9, 6, 1, 0, 2018, 62, Rice, 146, 38, 95, 24, 10, 6, 45, 1, 1, 14, 15, 5, 2, 0, 1582, 7
2017-08-31, Elon, 128, 40, 47, 14, 3, 5, 40, 0, 1, 7, 14, 4, 1, 0, 1741, 13, Toledo, 239, 41, 314, 34, 19, 2, 20, 1, 1, 24, 14, 6, 2, 1, 1859, 47
2017-08-31, FIU, 134, 26, 201, 31, 18, 14, 163, 3, 1, 13, 12, 2, 2, 2, 1471, 17, UCF, 148, 45, 439, 33, 26, 9, 65, 1, 1, 31, 13, 4, 3, 3, 2129, 61
2017-08-31, North Dakota, 55, 28, 187, 31, 14, 5, 45, 0, 1, 12, 16, 5, 0, 0, 1534, 16, Utah, 272, 47, 227, 32, 23, 11, 135, 0, 1, 27, 14, 6, 1, 1, 2066, 37
2017-08-31, Tulsa, 244, 60, 188, 38, 20, 6, 48, 2, 0, 26, 26, 16, 2, 1, 2200, 24, Oklahoma State, 332, 37, 308, 26, 21, 5, 51, 2, 0, 25, 9, 5, 0, 0, 1400, 59
2017-08-31, URI, 108, 31, 284, 40, 21, 10, 75, 0, 6, 15, 16, 4, 0, 0, 1690, 27, Cent Michigan, 246, 50, 253, 54, 28, 9, 87, 3, 1, 24, 20, 5, 1, 1, 1910, 30
2017-08-31, Holy Cross, 89, 26, 358, 56, 33, 10, 65, 1, 0, 24, 17, 4, 4, 2, 1991, 20, UConn, 160, 37, 278, 41, 28, 4, 40, 2, 0, 18, 14, 5, 2, 0, 1568, 27
