Season,Start,Week,Away,Home,APts,HPts,AFD,AFum,AFumL,APA,API,ARA,ARY,HFD,HFum,HFumL,HPA,HPI,HRA,HRY
2016,2016-09-01 23:00:00,0,MAINE,CONN,21,24,16,1,0,33,0,19,40,23,2,1,23,0,50,200
2016,2016-09-01 23:00:00,0,CHAR,LOU,14,70,12,1,1,32,0,31,48,38,3,2,35,1,35,272
2016,2016-09-01 23:00:00,0,TULN,WAKE,3,7,14,1,1,23,0,47,146,10,0,0,21,0,34,79
2016,2016-09-01 23:00:00,0,PRE,CMU,3,49,6,1,1,22,2,33,44,23,0,0,27,2,38,255
2016,2016-09-01 23:00:00,0,UTM,CIN,7,28,20,1,1,26,2,49,177,22,2,2,34,1,34,140
2016,2016-09-01 23:30:00,0,IND,FIU,34,13,26,2,1,28,0,52,246,16,0,0,47,3,21,63
2016,2016-09-01 23:30:00,0,W&M,NCST,14,48,10,0,0,19,2,28,62,28,1,0,30,1,57,259
2016,2016-09-01 23:30:00,0,APP,TENN,13,20,17,1,0,23,1,43,184,19,4,1,29,1,43,127
2016,2016-09-02 00:00:00,0,SUU,UTAH,0,24,7,1,1,18,1,32,116,19,2,1,39,0,37,138
2016,2016-09-02 00:00:00,0,WEB,USU,6,45,16,1,0,27,1,41,108,23,0,0,17,0,44,428
2016,2016-09-02 00:00:00,0,RICE,WKU,14,46,20,2,0,37,2,33,105,23,0,0,35,0,30,97
2016,2016-09-02 00:00:00,0,SC,VAN,13,10,14,2,2,30,0,32,121,14,1,0,23,0,42,169
2016,2016-09-02 01:00:00,0,SDAK,UNM,21,48,16,2,2,21,1,43,183,24,1,1,19,0,49,428
2016,2016-09-02 01:00:00,0,ORST,MINN,23,30,18,2,2,40,0,34,89,21,3,1,27,0,47,150
2016,2016-09-02 01:00:00,0,MTST,IDHO,17,20,20,1,0,36,1,38,110,15,1,1,22,1,35,225
2016,2016-09-02 02:00:00,0,JKST,UNLV,13,63,17,2,1,43,2,35,108,21,2,1,13,0,44,280
2016,2016-09-02 22:00:00,0,MVSU,EMU,14,61,18,3,2,38,0,32,23,24,0,0,24,1,44,281
2016,2016-09-02 23:00:00,0,ALBY,BUFF,22,16,12,0,0,21,0,33,125,23,1,1,34,3,48,226
2016,2016-09-02 23:00:00,0,BALL,GAST,31,21,22,0,0,29,2,52,325,19,3,1,40,1,25,77
2016,2016-09-02 23:00:00,0,FUR,MSU,13,28,18,2,0,31,1,33,87,19,1,1,18,1,40,171
2016,2016-09-02 23:00:00,0,COLG,SYR,7,33,11,0,0,24,0,32,45,25,1,1,46,0,35,117
2016,2016-09-02 23:00:00,0,ARMY,TEM,28,13,25,1,0,5,0,67,329,16,0,0,26,3,28,83
2016,2016-09-02 23:30:00,0,NWST,BAY,7,55,9,2,0,19,0,40,47,23,1,1,29,0,43,275
2016,2016-09-03 00:00:00,0,CSU,COLO,7,44,12,2,2,29,2,35,162,28,3,2,33,0,56,260
2016,2016-09-03 01:00:00,0,KSU,STAN,13,26,18,0,0,41,2,32,92,13,2,1,19,0,30,105
2016,2016-09-03 01:00:00,0,TOL,ARST,31,10,24,3,2,31,0,45,185,13,0,0,25,0,38,142
2016,2016-09-03 01:30:00,0,CP,NEV,27,30,23,5,1,12,0,71,383,18,0,0,24,0,34,174
2016,2016-09-03 11:30:00,0,GT,BC,17,14,12,1,1,15,0,44,119,15,2,2,17,1,37,176
2016,2016-09-03 16:00:00,0,OKLA,HOU,23,33,17,3,2,34,0,26,70,25,1,1,40,0,40,89
2016,2016-09-03 16:00:00,0,BSU,ULL,45,10,28,1,0,35,0,38,158,18,2,0,33,0,40,81
2016,2016-09-03 16:00:00,0,WMU,NW,22,21,27,0,0,36,0,48,198,15,1,1,22,0,31,123
2016,2016-09-03 16:00:00,0,MIZ,WVU,11,26,26,1,1,53,0,47,180,24,1,1,37,2,48,241
2016,2016-09-03 16:00:00,0,USA,MSST,21,20,19,0,0,34,0,29,94,22,1,0,31,0,34,239
2016,2016-09-03 16:00:00,0,EKY,PUR,24,45,22,1,1,37,3,47,176,25,2,0,44,1,39,261
2016,2016-09-03 16:00:00,0,HOW,MD,13,52,15,3,0,29,0,35,69,25,0,0,29,0,44,315
2016,2016-09-03 16:00:00,0,HAW,MICH,3,63,16,2,0,23,2,37,81,26,0,0,20,1,39,306
2016,2016-09-03 16:00:00,0,FOR,NAVY,16,52,24,1,1,45,0,36,162,18,2,0,4,0,53,427
2016,2016-09-03 16:00:00,0,BGSU,OSU,10,77,16,0,0,44,3,28,69,41,0,0,39,1,55,359
2016,2016-09-03 16:30:00,0,LIB,VT,13,36,11,1,1,27,3,35,90,24,5,4,41,0,48,206
2016,2016-09-03 17:30:00,0,NOVA,PITT,7,28,14,2,1,32,1,33,53,17,1,1,33,0,34,86
2016,2016-09-03 18:00:00,0,ACU,AFA,21,37,16,0,0,33,0,31,86,29,3,2,11,0,67,409
2016,2016-09-03 18:00:00,0,RUTG,WASH,13,48,21,3,2,40,1,48,136,17,0,0,29,1,30,91
2016,2016-09-03 19:30:00,0,RICH,UVA,37,20,24,3,0,35,0,41,187,19,3,3,34,1,21,38
2016,2016-09-03 19:30:00,0,SELA,OKST,7,61,12,4,4,14,0,46,97,23,1,1,35,0,38,144
2016,2016-09-03 19:30:00,0,MURR,ILL,3,52,13,1,1,35,2,26,-10,21,1,0,24,0,40,287
