Season,Start,Week,Away,Home,APts,HPts,AFD,AFum,AFumL,APA,API,ARA,ARY,HFD,HFum,HFumL,HPA,HPI,HRA,HRY
2015,2015-09-03 22:00:00,0,FIU,UCF,15,14,17,1,1,38,0,31,131,18,2,0,34,0,29,46
2015,2015-09-03 22:00:00,0,UNC,SC,13,17,20,0,0,31,3,32,208,22,2,0,27,0,47,254
2015,2015-09-03 23:00:00,0,ELON,WAKE,3,41,6,0,0,28,0,19,51,29,0,0,40,0,42,203
2015,2015-09-03 23:00:00,0,OKST,CMU,24,13,19,1,0,32,0,35,153,18,1,0,42,1,28,78
2015,2015-09-03 23:00:00,0,VMI,BALL,36,48,22,3,2,49,0,29,103,33,0,0,53,1,42,229
2015,2015-09-03 23:30:00,0,ALCN,GT,6,69,13,4,2,28,1,39,166,26,2,1,5,0,52,476
2015,2015-09-03 23:30:00,0,NOVA,CONN,15,20,18,2,1,33,1,36,114,19,0,0,20,1,39,105
2015,2015-09-04 00:00:00,0,WKU,VAN,14,12,11,2,0,30,0,23,37,20,2,1,34,2,42,176
2015,2015-09-04 00:30:00,0,MICH,UTAH,17,24,20,0,0,43,3,29,76,20,1,0,33,1,37,129
2015,2015-09-04 01:00:00,0,OHIO,IDHO,45,28,23,1,1,25,0,38,205,25,1,1,48,2,28,100
2015,2015-09-04 01:00:00,0,TCU,MINN,23,17,25,1,1,42,1,44,203,18,3,2,35,0,39,144
2015,2015-09-04 01:00:00,0,SUU,USU,9,12,9,0,0,34,0,30,52,15,0,0,33,1,35,140
2015,2015-09-04 01:30:00,0,DUKE,TULN,37,7,29,2,2,44,0,49,206,14,0,0,42,1,23,25
2015,2015-09-04 02:00:00,0,ACU,FRES,13,34,15,0,0,45,2,29,34,26,1,1,45,2,39,225
2015,2015-09-04 02:00:00,0,UNH,SJSU,13,43,10,0,0,25,0,26,126,34,1,0,35,0,53,285
2015,2015-09-04 02:00:00,0,UTSA,ARIZ,32,42,29,2,1,45,1,50,193,25,1,1,36,0,38,163
2015,2015-09-04 02:00:00,0,UCD,NEV,17,31,22,0,0,47,0,27,89,22,0,0,23,0,39,232
2015,2015-09-04 05:00:00,0,COLO,HAW,20,28,23,2,2,40,1,53,215,14,2,0,38,2,34,100
2015,2015-09-04 19:30:00,0,CHAR,GAST,23,20,24,2,2,32,2,54,164,16,2,2,43,1,26,93
2015,2015-09-04 23:00:00,0,FOR,ARMY,37,35,17,2,1,23,0,37,123,22,2,1,16,1,42,256
2015,2015-09-04 23:00:00,0,MSU,WMU,37,24,26,1,1,31,0,40,196,22,0,0,50,2,23,18
2015,2015-09-04 23:00:00,0,BAY,SMU,56,21,27,1,0,32,1,37,300,22,1,0,24,2,54,203
2015,2015-09-04 23:00:00,0,URI,SYR,0,47,2,4,3,20,1,20,4,23,0,0,20,1,58,312
2015,2015-09-05 00:00:00,0,WEB,ORST,7,26,9,1,0,36,1,18,58,22,1,0,22,1,56,281
2015,2015-09-05 02:26:00,0,WASH,BSU,13,16,12,1,0,35,1,22,29,21,2,1,27,1,53,185
2015,2015-09-05 16:00:00,0,COLG,NAVY,10,48,20,3,2,27,0,48,198,19,2,1,6,0,47,371
2015,2015-09-05 16:00:00,0,ULM,UGA,14,51,12,4,0,29,1,26,45,19,1,0,14,0,38,243
2015,2015-09-05 16:00:00,0,SDSU,KU,41,38,25,0,0,33,0,39,170,29,2,1,40,1,51,285
2015,2015-09-05 16:00:00,0,UTM,MISS,3,76,13,2,0,29,0,39,116,28,0,0,28,1,36,338
2015,2015-09-05 16:00:00,0,ILST,IOWA,14,31,14,1,0,27,0,28,35,22,1,1,25,0,44,210
2015,2015-09-05 16:00:00,0,RICH,MD,21,50,12,1,0,30,0,27,56,24,0,0,22,1,45,341
2015,2015-09-05 16:00:00,0,STAN,NW,6,16,17,2,1,35,1,27,85,17,1,0,25,0,54,225
2015,2015-09-05 16:00:00,0,NSU,RUTG,13,63,10,1,0,29,1,23,-3,26,1,1,15,0,47,291
2015,2015-09-05 16:30:00,0,WOF,CLEM,10,49,9,1,0,18,0,45,123,27,3,2,37,0,43,222
2015,2015-09-05 17:00:00,0,YSU,PITT,37,45,16,1,0,40,0,30,129,16,1,1,18,2,43,325
2015,2015-09-05 17:00:00,0,MAINE,BC,3,24,8,1,0,29,1,20,7,21,0,0,25,0,49,204
2015,2015-09-05 18:00:00,0,PRST,WSU,24,17,19,0,0,12,0,48,233,21,4,1,45,1,30,104
2015,2015-09-05 18:00:00,0,KENT,ILL,3,52,15,1,1,40,3,39,59,19,0,0,29,1,36,134
2015,2015-09-05 19:30:00,0,SHSU,TTU,45,59,34,3,2,52,2,46,317,29,1,0,57,1,31,174
2015,2015-09-05 19:30:00,0,HOW,APP,0,49,8,1,0,22,1,30,36,33,1,1,28,0,56,376
2015,2015-09-05 19:30:00,0,ALBY,BUFF,14,51,13,3,1,25,2,35,141,24,1,0,29,0,43,212
2015,2015-09-05 19:30:00,0,ODU,EMU,38,34,25,0,0,32,0,41,229,27,1,1,36,2,47,252
2015,2015-09-05 19:30:00,0,FAU,TLSA,44,47,30,1,0,35,0,61,300,31,3,2,35,2,51,194
2015,2015-09-05 19:30:00,0,MORG,AFA,7,63,12,1,1,25,1,34,53,29,1,0,7,0,63,394
2015,2015-09-05 19:30:00,0,BYU,NEB,33,28,21,0,0,46,1,26,132,25,1,1,41,1,37,126
2015,2015-09-05 19:30:00,0,UTEP,ARK,13,48,13,3,2,19,1,34,58,18,0,0,20,0,34,182
2015,2015-09-05 19:30:00,0,UVA,UCLA,16,34,19,0,0,35,1,34,98,25,1,0,37,0,34,152
2015,2015-09-05 19:30:00,0,PRE,M-OH,7,26,17,1,1,27,1,41,155,18,2,2,23,0,40,205
2015,2015-09-05 19:30:00,0,PSU,TEM,10,27,9,1,0,25,1,27,77,15,1,1,21,0,43,149
2015,2015-09-05 20:00:00,0,SIU,IND,47,48,26,3,2,32,0,46,248,23,0,0,32,0,42,246
2015,2015-09-05 20:00:00,0,BGSU,TENN,30,59,24,1,1,51,0,34,124,29,0,0,23,0,64,399
2015,2015-09-05 20:00:00,0,SAV,CSU,13,65,11,5,1,23,1,49,83,33,5,4,36,1,33,217
2015,2015-09-05 20:00:00,0,UND,WYO,24,13,23,0,0,23,0,54,276,14,1,0,39,0,19,41
2015,2015-09-05 20:00:00,0,SEMO,MIZ,3,34,10,2,1,22,0,42,145,19,1,0,32,1,33,98
2015,2015-09-05 20:40:00,0,WAG,RICE,16,56,13,2,1,22,1,37,86,28,3,1,21,1,54,401
2015,2015-09-05 21:00:00,0,GRAM,CAL,14,73,11,4,1,30,4,33,127,31,1,1,49,2,39,185
2015,2015-09-05 22:00:00,0,TROY,NCST,21,49,13,4,1,21,1,25,121,30,1,0,26,0,58,251
2015,2015-09-05 22:00:00,0,BCU,MIAMI,0,45,5,1,0,11,2,35,53,20,2,1,31,0,26,195
2015,2015-09-05 22:00:00,0,WEBB,USA,23,33,17,6,1,23,2,53,177,13,2,1,25,2,31,224
2015,2015-09-05 22:00:00,0,TOWS,ECU,20,28,27,1,1,33,1,44,179,23,0,0,37,0,34,210
2015,2015-09-05 23:00:00,0,ULL,UK,33,40,28,2,2,41,2,47,247,18,1,0,34,1,26,178
2015,2015-09-05 23:00:00,0,MOST,MEM,7,63,10,6,3,25,0,30,18,27,0,0,21,0,60,317
2015,2015-09-05 23:00:00,0,JKST,MTSU,14,70,10,0,0,40,1,20,33,36,2,1,32,1,63,282
2015,2015-09-05 23:00:00,0,SOU,LT,15,62,17,2,1,36,2,32,113,21,0,0,29,2,32,207
2015,2015-09-05 23:00:00,0,AKR,OKLA,3,41,10,1,1,26,0,44,138,26,1,1,42,1,33,100
2015,2015-09-05 23:00:00,0,ASU,TA&M,17,38,19,5,2,41,0,41,92,22,2,1,35,2,45,178
2015,2015-09-05 23:00:00,0,FAMU,USF,3,51,11,1,0,38,2,34,12,27,2,0,26,1,46,275
2015,2015-09-05 23:10:00,0,SDAK,KSU,0,34,16,2,1,30,0,36,61,16,2,1,18,0,40,185
2015,2015-09-05 23:30:00,0,TEX,ND,3,38,8,0,0,23,0,29,60,30,2,0,23,0,52,214
2015,2015-09-05 23:30:00,0,GASO,WVU,0,44,14,2,1,13,4,57,195,21,1,0,26,0,40,185
2015,2015-09-05 23:30:00,0,UNLV,NIU,30,38,28,0,0,40,1,47,164,24,1,0,26,0,42,185
2015,2015-09-05 23:30:00,0,NMSU,FLA,13,61,8,0,0,28,1,23,72,28,1,1,37,0,42,224
2015,2015-09-06 00:00:00,0,UNI,ISU,7,31,16,3,1,34,1,41,126,15,4,2,29,0,32,77
2015,2015-09-06 00:00:00,0,USD,SDSU,3,37,13,1,1,27,5,38,79,15,1,0,23,1,36,166
2015,2015-09-06 00:00:00,0,TNTC,HOU,24,52,10,0,0,26,1,33,29,27,4,1,38,0,44,272
2015,2015-09-06 00:00:00,0,WIS,ALA,17,35,17,0,0,39,1,21,40,27,0,0,29,0,37,238
2015,2015-09-06 00:00:00,0,EWU,ORE,42,61,31,1,0,55,2,31,111,34,2,1,25,0,57,485
2015,2015-09-06 00:05:00,0,MVSU,UNM,0,66,8,2,2,16,1,40,26,26,2,0,18,0,51,370
2015,2015-09-06 00:45:00,0,AAMU,CIN,10,52,14,1,0,26,1,37,98,34,2,2,38,0,51,296
2015,2015-09-06 01:03:00,0,TXST,FSU,16,59,17,1,1,42,0,33,132,30,3,1,32,0,41,266
2015,2015-09-06 02:00:00,0,MSST,USM,34,16,19,2,2,38,0,28,205,20,1,0,44,2,36,102
2015,2015-09-06 03:00:00,0,ARST,USC,6,55,19,2,2,37,2,50,208,22,0,0,32,0,32,185
2015,2015-09-06 19:00:00,0,PUR,MRSH,31,41,28,3,0,48,4,47,184,20,2,2,36,1,29,163
2015,2015-09-11 00:00:00,0,LT,WKU,38,41,28,0,1,49,1,31,223,24,0,1,38,0,33,149
2015,2015-09-12 00:00:00,0,MIAMI,FAU,44,20,27,1,0,34,0,44,226,22,3,3,34,2,33,223
2015,2015-09-12 01:00:00,0,USU,UTAH,14,24,21,4,1,35,2,32,117,21,2,0,22,0,44,195
2015,2015-09-12 15:30:00,0,USF,FSU,14,34,11,0,0,24,1,36,149,21,1,0,26,0,46,278
2015,2015-09-12 16:00:00,0,ARMY,CONN,17,22,9,1,0,8,1,33,180,23,1,1,25,0,46,145
2015,2015-09-12 16:00:00,0,INST,PUR,14,38,19,2,1,37,2,41,168,24,2,2,36,0,45,251
2015,2015-09-12 16:00:00,0,WIU,ILL,0,44,5,0,0,24,2,30,98,27,4,3,54,1,40,147
2015,2015-09-12 16:00:00,0,HOU,LOU,34,31,25,0,0,35,1,57,226,25,3,2,45,2,26,70
2015,2015-09-12 16:00:00,0,KSU,UTSA,30,3,22,1,0,23,0,44,175,14,0,0,37,0,25,37
2015,2015-09-12 16:00:00,0,JVST,AUB,20,27,28,4,0,43,1,46,161,23,2,1,32,2,38,165
2015,2015-09-12 16:00:00,0,M-OH,WIS,0,58,9,1,1,34,3,24,-3,26,1,0,36,1,45,188
2015,2015-09-12 16:00:00,0,PRE,CHAR,10,34,8,1,0,17,1,41,103,23,2,1,29,0,47,192
2015,2015-09-12 16:00:00,0,BGSU,MD,48,27,35,1,0,55,1,50,201,16,1,1,33,3,26,156
2015,2015-09-12 16:00:00,0,BUFF,PSU,14,27,15,2,0,35,1,33,69,15,0,0,27,0,39,200
2015,2015-09-12 16:00:00,0,ORST,MICH,7,35,12,1,1,20,0,33,59,21,2,1,26,1,48,225
