Season,Start,Week,Away,Home,APts,HPts,AFD,AFum,AFumL,APA,API,ARA,ARY,HFD,HFum,HFumL,HPA,HPI,HRA,HRY
2013,2013-08-31 23:00:00,0,MCNS,USF,53,21,19,0,0,25,1,42,180,14,1,1,40,2,21,133
2013,2013-08-31 23:00:00,0,WSU,AUB,24,31,28,0,0,65,3,23,120,16,3,1,20,0,45,297
2013,2013-08-31 23:00:00,0,IDHO,UNT,6,40,14,4,3,28,0,36,139,27,2,1,34,1,45,187
2013,2013-08-31 23:00:00,0,ULM,OKLA,0,34,9,0,0,39,1,22,38,25,2,0,33,1,50,305
2013,2013-08-31 23:00:00,0,TXST,USM,22,15,13,2,1,22,0,40,81,16,5,4,53,2,24,23
2013,2013-08-31 23:00:00,0,UAB,TROY,31,34,19,1,0,35,0,31,114,25,4,2,33,0,39,178
2013,2013-08-31 23:00:00,0,ODU,ECU,38,52,26,1,1,52,0,23,90,26,1,0,54,0,22,34
2013,2013-08-31 23:10:00,0,UK,WKU,26,35,15,2,1,28,0,32,216,22,3,2,34,0,41,216
2013,2013-08-31 23:30:00,0,WOF,BAY,3,69,16,3,2,17,1,60,173,32,4,2,28,0,44,281
2013,2013-09-01 00:00:00,0,EIU,SDSU,40,19,21,2,2,46,0,36,172,24,4,1,64,4,35,122
2013,2013-09-01 00:00:00,0,UGA,CLEM,35,38,22,3,1,29,1,41,222,21,2,1,30,0,46,197
2013,2013-09-01 00:00:00,0,WYO,NEB,34,37,35,2,0,44,2,30,219,27,3,1,22,1,63,375
2013,2013-09-01 00:00:00,0,NMSU,TEX,7,56,18,4,2,46,1,38,104,26,2,1,30,2,42,359
2013,2013-09-01 00:00:00,0,UNI,ISU,28,20,23,3,2,29,0,33,228,21,2,0,32,0,44,168
2013,2013-09-01 00:00:00,0,UTSA,UNM,21,13,22,1,1,34,0,33,157,15,1,0,17,0,42,193
2013,2013-09-01 01:00:00,0,LSU,TCU,37,27,26,1,1,32,0,48,197,13,3,1,28,1,26,114
2013,2013-09-01 02:00:00,0,NEV,UCLA,20,58,24,1,0,35,0,51,171,32,2,1,35,0,47,345
2013,2013-09-01 02:00:00,0,BSU,WASH,6,38,23,0,0,46,1,42,171,33,0,0,31,1,54,268
2013,2013-09-01 02:30:00,0,NW,CAL,44,30,22,1,1,30,2,40,209,30,3,0,65,3,34,89
2013,2013-09-01 19:30:00,0,OHIO,LOU,7,49,13,1,0,31,1,28,81,25,2,0,31,1,40,199
2013,2013-09-01 22:00:00,0,COLO,CSU,41,27,24,0,0,46,0,37,109,16,2,2,39,0,28,94
2013,2013-09-03 00:00:00,0,FSU,PITT,41,13,24,2,0,29,0,34,156,16,0,0,28,2,27,96
2013,2013-09-05 23:30:00,0,FAU,ECU,13,31,16,2,1,40,2,34,104,16,3,2,30,0,34,110
2013,2013-09-06 02:00:00,0,SAC,ASU,0,55,6,2,2,23,2,31,51,27,0,0,36,0,44,158
2013,2013-09-07 00:00:00,0,WAKE,BC,10,24,16,2,2,30,1,39,55,17,0,0,14,1,46,191
2013,2013-09-07 00:00:00,0,UCF,FIU,38,0,16,0,0,21,0,38,165,10,1,1,28,0,29,31
2013,2013-09-07 16:00:00,0,CIN,ILL,17,45,24,1,0,42,1,32,148,27,1,0,37,0,39,210
2013,2013-09-07 16:00:00,0,EMU,PSU,7,45,11,2,0,28,0,35,61,25,2,1,35,1,39,251
2013,2013-09-07 16:00:00,0,M-OH,UK,7,41,8,1,0,14,0,43,99,27,1,1,35,0,39,262
2013,2013-09-07 16:00:00,0,HOU,TEM,22,13,32,2,2,48,0,48,219,19,2,1,39,2,39,100
2013,2013-09-07 16:00:00,0,SELA,TCU,17,38,18,1,1,23,2,45,207,20,0,0,28,0,38,169
2013,2013-09-07 16:00:00,0,FLA,MIAMI,16,21,22,4,3,33,2,44,122,10,0,0,25,1,28,50
2013,2013-09-07 16:00:00,0,INST,PUR,14,20,16,0,0,45,1,22,39,16,2,0,24,0,46,134
2013,2013-09-07 16:00:00,0,EKY,LOU,7,44,12,3,1,16,1,42,107,22,1,0,34,0,28,78
2013,2013-09-07 16:00:00,0,TNTC,WIS,0,48,6,2,1,19,1,30,44,29,1,0,29,1,51,387
2013,2013-09-07 16:00:00,0,MOST,IOWA,14,28,12,2,1,30,1,23,70,25,0,0,28,1,57,298
2013,2013-09-07 16:00:00,0,NSU,RUTG,0,38,6,2,1,27,1,27,59,19,0,0,22,1,56,273
2013,2013-09-07 16:00:00,0,BGSU,KENT,41,22,26,0,0,25,0,46,219,15,1,1,28,0,28,138
2013,2013-09-07 16:00:00,0,OKST,UTSA,56,35,30,0,0,43,0,32,87,31,0,0,50,2,32,135
2013,2013-09-07 16:00:00,0,USF,MSU,6,21,12,1,1,26,1,35,89,16,2,2,24,0,38,171
2013,2013-09-07 16:21:00,0,WKU,TENN,20,52,21,4,2,36,5,34,171,29,0,0,19,1,45,240
2013,2013-09-07 16:30:00,0,SCST,CLEM,13,52,11,2,1,22,2,46,86,28,1,1,51,0,44,183
2013,2013-09-07 16:30:00,0,MTSU,UNC,20,40,26,0,0,42,3,41,159,27,1,1,36,1,41,134
2013,2013-09-07 17:00:00,0,ARMY,BALL,14,40,20,3,2,20,1,64,363,24,1,1,37,0,34,115
