Season,Start,Week,Away,Home,APts,HPts,AFD,AFum,AFumL,APA,API,ARA,ARY,HFD,HFum,HFumL,HPA,HPI,HRA,HRY
2014,2014-08-27 23:00:00,0,ACU,GAST,37,38,26,1,0,40,1,36,95,33,2,1,49,2,33,153
2014,2014-08-28 22:00:00,0,TA&M,SC,52,28,39,0,0,60,0,39,169,23,0,0,40,1,22,67
2014,2014-08-28 23:00:00,0,CHAT,CMU,16,20,14,0,0,24,4,29,106,20,1,1,26,0,46,148
2014,2014-08-28 23:00:00,0,HOW,AKR,0,41,15,1,1,26,0,51,148,24,1,0,43,0,29,117
2014,2014-08-28 23:00:00,0,WAKE,ULM,10,17,5,0,0,22,1,27,-3,21,2,1,41,0,44,163
2014,2014-08-28 23:00:00,0,EIU,MINN,20,42,27,3,2,57,1,39,99,18,1,1,18,0,40,182
2014,2014-08-28 23:00:00,0,PRE,NIU,3,55,6,2,2,18,1,31,69,36,0,0,32,0,77,424
2014,2014-08-28 23:30:00,0,IDST,UTAH,14,56,21,1,0,40,0,44,179,27,1,1,32,0,46,238
2014,2014-08-29 00:00:00,0,BSU,MISS,13,35,26,1,0,48,4,37,135,22,1,0,36,3,34,71
2014,2014-08-29 00:00:00,0,CP,NMSU,10,28,14,1,1,7,1,49,259,21,2,0,27,1,47,197
2014,2014-08-29 00:00:00,0,TULN,TLSA,31,38,22,1,1,44,1,30,254,30,0,0,53,2,36,154
2014,2014-08-29 02:00:00,0,UND,SJSU,10,42,12,2,1,20,1,32,118,23,1,0,26,0,40,150
2014,2014-08-29 02:00:00,0,RUTG,WSU,41,38,22,0,0,27,1,43,215,22,1,1,56,1,14,6
2014,2014-08-29 02:30:00,0,WEB,ASU,14,45,14,0,0,29,0,32,152,32,0,0,39,0,45,267
2014,2014-08-29 02:50:00,0,TEM,VAN,37,7,17,3,2,36,0,45,144,13,5,4,34,3,29,54
2014,2014-08-29 23:00:00,0,BYU,CONN,35,10,27,2,2,36,0,37,205,23,1,1,48,1,31,71
2014,2014-08-29 23:30:00,0,NOVA,SYR,26,27,25,0,0,27,0,60,190,21,1,0,35,0,34,136
2014,2014-08-29 23:30:00,0,BGSU,WKU,31,59,26,1,0,36,0,35,152,40,3,0,56,0,40,139
2014,2014-08-29 23:30:00,0,JVST,MSU,7,45,14,0,0,37,3,25,22,25,1,0,24,0,50,211
2014,2014-08-30 01:00:00,0,UTSA,HOU,27,7,17,3,1,24,0,50,142,18,5,2,50,4,23,-26
2014,2014-08-30 01:00:00,0,CSU,COLO,31,17,27,1,1,23,0,45,266,22,1,0,39,0,34,134
2014,2014-08-30 02:30:00,0,UNLV,ARIZ,13,58,20,1,0,41,1,31,119,32,1,0,46,0,48,353
2014,2014-08-30 12:30:00,0,PSU,UCF,26,24,24,1,1,47,2,28,57,11,1,1,22,0,29,24
2014,2014-08-30 16:00:00,0,WMU,PUR,34,43,24,1,0,41,1,32,213,22,0,0,38,0,39,226
2014,2014-08-30 16:00:00,0,INST,IND,10,28,10,1,0,33,0,24,30,29,1,1,18,1,69,455
2014,2014-08-30 16:00:00,0,APP,MICH,14,52,17,0,0,33,0,36,153,24,0,0,19,1,36,350
2014,2014-08-30 16:00:00,0,UNI,IOWA,23,31,13,0,0,37,2,25,25,26,1,1,41,0,36,151
2014,2014-08-30 16:00:00,0,UCLA,UVA,28,20,16,4,2,34,0,39,116,17,2,1,45,2,39,120
2014,2014-08-30 16:00:00,0,OSU,NAVY,34,17,19,0,0,15,1,40,194,22,2,1,4,0,63,370
2014,2014-08-30 16:00:00,0,DEL,PITT,0,62,5,2,0,16,3,31,33,28,4,1,14,0,56,409
2014,2014-08-30 16:00:00,0,YSU,ILL,17,28,19,0,0,24,0,59,203,14,3,1,38,0,22,78
2014,2014-08-30 16:00:00,0,NDSU,ISU,34,14,22,1,0,28,0,43,299,16,2,0,31,2,26,102
2014,2014-08-30 16:00:00,0,UTM,UK,14,59,25,3,3,34,2,47,183,24,0,0,33,0,28,234
2014,2014-08-30 16:00:00,0,TROY,UAB,10,48,15,2,1,31,0,37,71,26,1,1,19,1,55,339
2014,2014-08-30 16:30:00,0,WOF,GT,19,38,16,1,0,13,0,47,271,21,1,0,16,0,43,226
2014,2014-08-30 16:30:00,0,GASO,NCST,23,24,18,4,1,17,0,47,246,26,1,0,40,1,35,173
2014,2014-08-30 18:00:00,0,COLG,BALL,10,30,9,0,0,26,0,28,90,29,2,0,32,1,53,311
2014,2014-08-30 18:00:00,0,NICH,AFA,16,44,18,0,0,31,0,30,63,27,0,0,6,0,73,539
2014,2014-08-30 19:00:00,0,BC,UMASS,30,7,27,0,0,25,1,61,338,9,0,0,22,1,22,55
2014,2014-08-30 19:00:00,0,SUU,NEV,19,28,16,1,1,42,1,22,156,30,1,1,41,1,55,244
2014,2014-08-30 19:30:00,0,SDSU,MIZ,18,38,15,2,1,32,2,32,119,19,1,0,21,0,39,215
2014,2014-08-30 19:30:00,0,WVU,ALA,23,33,22,1,0,45,0,24,28,30,0,0,33,1,49,288
2014,2014-08-30 19:30:00,0,DUQ,BUFF,28,38,18,1,1,37,0,33,51,26,2,1,36,1,49,174
2014,2014-08-30 19:30:00,0,CAL,NW,31,24,23,0,0,39,2,45,114,22,0,0,44,2,36,108
2014,2014-08-30 19:30:00,0,JMU,MD,7,52,16,2,1,37,2,44,161,30,2,0,35,1,50,285
2014,2014-08-30 19:30:00,0,MRSH,M-OH,42,27,20,1,1,32,0,36,171,22,4,0,49,1,36,100
2014,2014-08-30 19:30:00,0,FAU,NEB,7,55,13,1,0,30,0,30,105,35,1,0,35,0,57,498
2014,2014-08-30 19:30:00,0,RICE,ND,17,48,16,1,1,26,1,40,141,23,0,0,22,0,42,281
2014,2014-08-30 20:00:00,0,MONT,WYO,12,17,16,0,0,46,0,19,42,18,2,1,21,1,46,209
2014,2014-08-30 20:00:00,0,PRST,ORST,14,29,15,4,3,27,2,24,132,25,2,1,45,0,37,177
2014,2014-08-30 20:00:00,0,UCD,STAN,0,45,6,1,1,22,2,27,61,21,4,2,30,1,32,149
