Season,Start,Visiter,VisID,Home,HomeID,NeutralSite,Home1Q,Home2Q,Home3Q,Home4Q,HomeOT,HomeFinal,Vis1Q,Vis2Q,Vis3Q,Vis4Q,VisOT,VisFinal,WeekDate,Week,HomePtsF,HomePtsA,HomeWins,HomeGames,HomeWinPct,VisPtsF,VisPtsA,VisWins,VisGames,VisWinPct,Spread,HomeConf,VisConf,HomeConf_AAC,HomeConf_ACC,HomeConf_Big10,HomeConf_Big12,HomeConf_ConferenceUSA,HomeConf_Independent,HomeConf_MidAmerican,HomeConf_MountainWest,HomeConf_NotD1,HomeConf_PAC12,HomeConf_SEC,HomeConf_SunBelt,VisConf_AAC,VisConf_ACC,VisConf_Big10,VisConf_Big12,VisConf_ConferenceUSA,VisConf_Independent,VisConf_MidAmerican,VisConf_MountainWest,VisConf_NotD1,VisConf_PAC12,VisConf_SEC,VisConf_SunBelt
2013,2013-09-05 23:00:00,WAS,2687,NEB,2438,0,0,6.0,0.0,7.0,,13,10,14.0,20.0,14.0,,58,2013-09-05,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-45,NotD1,NotD1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2013,2013-09-05 23:00:00,EDI,2205,WAL,2682,0,7,7.0,7.0,13.0,,34,14,7.0,7.0,7.0,,35,2013-09-05,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,NotD1,NotD1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2013,2013-09-05 23:00:00,GAN,367,LKE,437,0,7,13.0,6.0,7.0,,33,10,10.0,0.0,16.0,,36,2013-09-05,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3,NotD1,NotD1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2013,2013-09-05 23:30:00,MIL,2396,NOR,2453,0,21,7.0,7.0,7.0,,42,7,0.0,0.0,0.0,,7,2013-09-05,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,NotD1,NotD1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2013,2013-09-05 23:30:00,CHA,2123,S&T,2402,0,7,3.0,7.0,10.0,7.0,34,7,0.0,13.0,7.0,7.0,40,2013-09-05,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6,NotD1,NotD1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2013,2013-09-05 23:30:00,TRI,2651,MAN,2362,0,0,3.0,0.0,0.0,,3,7,3.0,6.0,3.0,,19,2013-09-05,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16,NotD1,NotD1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2013,2013-09-05 23:30:00,FAU,2226,ECU,151,0,7,14.0,10.0,0.0,,31,3,3.0,0.0,7.0,,13,2013-09-05,2,52.0,38.0,1.0,1.0,1.0,6.0,34.0,0.0,1.0,0.0,18,ConferenceUSA,ConferenceUSA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2013,2013-09-05 23:30:00,HAR,2264,SWO,2927,0,0,7.0,7.0,13.0,,27,0,13.0,7.0,3.0,,23,2013-09-05,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,NotD1,NotD1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2013,2013-09-05 23:30:00,SAG,129,NWMS,138,0,14,21.0,7.0,3.0,,45,10,7.0,7.0,0.0,,24,2013-09-05,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,NotD1,NotD1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2013,2013-09-06 00:00:00,ARK,2033,NWO,2823,0,3,7.0,0.0,0.0,,10,7,17.0,14.0,0.0,,38,2013-09-06,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-28,NotD1,NotD1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2013,2013-09-06 00:00:00,LOR,263,ELM,72,0,0,7.0,14.0,14.0,,35,3,0.0,0.0,6.0,,9,2013-09-06,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,NotD1,NotD1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2013,2013-09-06 00:00:00,MOW,137,CEN,2118,0,9,0.0,7.0,7.0,,23,0,7.0,6.0,13.0,,26,2013-09-06,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3,NotD1,NotD1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2013,2013-09-06 00:00:00,WSSU,2736,NCP,2882,0,5,7.0,7.0,6.0,,25,0,7.0,14.0,0.0,,21,2013-09-06,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,NotD1,NotD1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2013,2013-09-06 00:00:00,CCD,507,WJC,2911,0,0,7.0,8.0,0.0,,15,3,20.0,0.0,7.0,,30,2013-09-06,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15,NotD1,NotD1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2013,2013-09-06 00:00:00,BLA,2069,ANG,2025,0,7,10.0,7.0,14.0,,38,7,7.0,0.0,12.0,,26,2013-09-06,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,NotD1,NotD1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2013,2013-09-06 00:00:00,EMP,2214,FHSU,2231,0,0,0.0,13.0,0.0,,13,7,10.0,16.0,10.0,,43,2013-09-06,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-30,NotD1,NotD1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2013,2013-09-06 00:00:00,LIN,2876,LIN,2815,0,7,10.0,7.0,0.0,,24,0,3.0,0.0,19.0,,22,2013-09-06,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,NotD1,NotD1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2013,2013-09-06 02:00:00,SAC,16,ASU,9,0,14,28.0,10.0,3.0,,55,0,0.0,0.0,0.0,,0,2013-09-06,2,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,1.0,0.0,55,PAC12,NotD1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2013,2013-09-06 22:00:00,MER,2771,WAG,2681,0,7,6.0,14.0,14.0,,41,14,14.0,0.0,14.0,,42,2013-09-06,2,28.0,21.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1,NotD1,NotD1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2013,2013-09-06 22:00:00,WID,2725,WES,2846,0,7,13.0,6.0,7.0,,33,14,7.0,0.0,0.0,,21,2013-09-06,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,NotD1,NotD1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
