HomeID,VisID,Season,Week,Spread_Mirage,Spread_Pinnacle,Spread_Sportsbet,Spread_Westgate,Spread_Station,Spread_SIA,Spread_SBG,Spread_BetUS,target_margin,Conf,SpreadMed,SpreadMode
6,166,2016,14,-11.5,-11.0,-11.5,-11.5,-12.0,-13.5,-11.5,-11.5,7,sun-belt,-11.5,-11.5
70,2247,2016,14,-4.0,-4.0,-4.0,-4.0,-5.0,-5.5,-4.0,-4.0,25,sun-belt,-4.0,-4.0
290,2653,2016,14,7.0,7.0,7.5,7.0,7.0,7.5,7.5,7.0,4,sun-belt,7.0,7.0
57,333,2016,14,,-24.0,-23.5,-23.5,-23.5,-23.5,-23.5,,-38,sec,-23.5,-23.5
98,2348,2016,14,-12.5,-12.0,-12.0,-12.0,-11.5,-12.0,-12.0,-12.0,14,cusa,-12.0,-12.0
2628,2306,2016,14,-4.0,-4.0,-4.0,-4.0,-3.5,-4.5,-4.0,-4.0,-24,big-12,-4.0,-4.0
2426,218,2016,14,-2.0,-1.5,-2.0,-1.5,-2.0,-2.0,-2.0,-2.0,-24,american,-2.0,-2.0
2433,309,2016,14,5.5,5.5,5.0,5.5,5.0,5.0,5.0,5.5,-27,sun-belt,5.25,5.0
277,239,2016,14,-17.0,-17.0,-17.5,-17.0,-17.5,-17.5,-17.5,,3,big-12,-17.5,-17.5
201,197,2016,14,-12.0,-12.0,-12.0,-12.0,-11.5,-11.5,-12.0,-12.0,18,big-12,-12.0,-12.0
