HomeID,VisID,Season,Week,Spread_Mirage,Spread_Pinnacle,Spread_Sportsbet,Spread_Westgate,Spread_Station,Spread_SIA,Spread_SBG,Spread_BetUS,target_margin,Conf,SpreadMed,SpreadMode
2,8,2016,8,-10.5,-10.5,-10.5,-10.5,-10.5,-10.5,-10.5,-10.5,53,sec,-10.5,-10.5
333,245,2016,8,-17.5,-18.0,-18.0,-18.5,-17.5,-18.0,-18.0,,19,sec,-18.0,-18.0
6,2653,2016,8,9.0,9.5,9.5,9.0,9.0,9.5,9.5,9.0,-7,sun-belt,9.25,9.0
2229,2348,2016,8,18.0,18.0,18.5,18.0,18.0,18.0,18.5,,-20,cusa,18.0,18.0
26,254,2016,8,-3.5,-3.5,-4.0,-3.5,-3.5,-3.5,-4.0,-3.5,-7,pac-12,-3.5,-3.5
68,252,2016,8,-7.5,-7.5,-7.5,-7.0,-7.0,-7.0,-7.5,-7.0,1,mwc,-7.25,-7.5
21,23,2016,8,,-23.0,-23.0,-23.0,,-23.5,-23.0,,39,mwc,-23.0,-23.0
2005,62,2016,8,,-16.5,-17.0,-16.5,-17.0,-16.5,-17.0,,-7,mwc,-16.75,-17.0
24,38,2016,8,,-2.0,-1.5,-1.5,-1.5,-1.5,-1.5,-1.0,-5,pac-12,-1.5,-1.5
264,204,2016,8,,,-37.0,,,,-37.0,,24,pac-12,-37.0,-37.0
25,2483,2016,8,2.5,2.5,2.5,2.5,2.5,2.5,2.5,3.0,3,pac-12,2.5,2.5
2439,36,2016,8,-2.0,-1.5,-1.5,-1.5,-2.0,-1.5,-1.5,-1.5,-19,mwc,-1.5,-1.5
103,183,2016,8,-3.5,-3.5,-3.5,-3.5,-3.5,-3.0,-3.5,-3.5,-8,acc,-3.5,-3.5
41,2116,2016,8,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,-8,american,4.5,4.5
202,2655,2016,8,-11.0,-10.5,-11.0,-10.5,-10.5,-10.5,-11.0,-11.0,23,american,-10.75,-11.0
258,153,2016,8,11.0,10.5,11.0,10.5,10.5,10.5,11.0,11.0,-21,acc,10.75,10.5
2579,113,2016,8,,-20.0,-20.0,-20.0,-19.5,-20.0,-20.0,,6,sec,-20.0,-20.0
349,249,2016,8,-17.5,-17.5,-17.5,-17.5,-17.5,-17.5,-17.5,,-17,independent,-17.5,-17.5
2132,151,2016,8,1.0,1.0,1.0,1.0,-1.0,0.0,1.0,1.0,12,american,1.0,1.0
259,2390,2016,8,-5.0,-4.5,-4.5,-4.5,-5.5,-4.5,-4.5,-4.5,21,acc,-4.5,-4.5
326,309,2016,8,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,-24,sun-belt,6.0,6.0
77,84,2016,8,-3.0,-3.0,-3.0,-3.5,-3.0,-3.0,-3.0,-3.0,10,big-ten,-3.0,-3.0
2294,275,2016,8,4.0,3.5,4.0,4.0,4.5,4.0,4.0,3.5,-8,big-ten,4.0,4.0
130,356,2016,8,,,-40.0,,,,-40.0,,33,big-ten,-40.0,-40.0
158,2509,2016,8,,-24.0,-24.5,-24.5,,-24.5,-24.5,,13,big-ten,-24.5,-24.5
120,127,2016,8,3.0,2.5,2.5,3.0,3.0,3.0,2.5,3.0,11,big-ten,3.0,3.0
96,344,2016,8,6.0,6.5,6.5,6.0,6.0,6.0,6.5,6.0,2,sec,6.0,6.0
97,152,2016,8,,-19.0,-19.0,-19.0,-19.0,-19.0,-19.0,,41,acc,-19.0,-19.0
276,2429,2016,8,-8.5,-8.5,-8.0,-8.0,-9.0,-8.0,-8.0,-8.5,-3,cusa,-8.25,-8.0
