User,Item,value
67|2740,SpreadMirage,
255|101,SpreadMirage,
2106|2044,SpreadMirage,
2744|2564,SpreadMirage,
2907|2741,SpreadMirage,
264|164,SpreadMirage,
2415|107,SpreadMirage,
2043|425,SpreadMirage,
2189|2896,SpreadMirage,
597|268,SpreadMirage,
2714|11,SpreadMirage,
2401|3179,SpreadMirage,
2803|2771,SpreadMirage,
2876|2324,SpreadMirage,
2001|2069,SpreadMirage,
282|2086,SpreadMirage,
2323|2637,SpreadMirage,
2210|2241,SpreadMirage,
2294|193,SpreadMirage,
275|99,SpreadMirage,13.0
213|2309,SpreadMirage,
258|257,SpreadMirage,
245|26,SpreadMirage,-4.5
197|2545,SpreadMirage,
356|93,SpreadMirage,
195|326,SpreadMirage,
415|272,SpreadMirage,
6845|6584,SpreadMirage,
2508|2318,SpreadMirage,
2721|2964,SpreadMirage,
8|2348,SpreadMirage,
2097|495,SpreadMirage,
2458|2826,SpreadMirage,
304|2829,SpreadMirage,
490|2940,SpreadMirage,
2483|302,SpreadMirage,
2843|173,SpreadMirage,
2502|2120,SpreadMirage,
153|61,SpreadMirage,-3.5
256|2413,SpreadMirage,
2368|2083,SpreadMirage,
150|2428,SpreadMirage,
2233|2646,SpreadMirage,
2419|2042,SpreadMirage,
290|2542,SpreadMirage,
2790|89,SpreadMirage,
2390|50,SpreadMirage,
2220|2804,SpreadMirage,
2226|79,SpreadMirage,
2736|2882,SpreadMirage,
2444|53,SpreadMirage,
2653|2046,SpreadMirage,
2047|297,SpreadMirage,
2448|395,SpreadMirage,
2757|2373,SpreadMirage,
151|2717,SpreadMirage,
2006|2678,SpreadMirage,
2287|2674,SpreadMirage,
86|2286,SpreadMirage,
2588|2810,SpreadMirage,
58|119,SpreadMirage,
341|2242,SpreadMirage,
2634|2029,SpreadMirage,
2916|2658,SpreadMirage,
2377|2627,SpreadMirage,
202|23,SpreadMirage,-3.5
2273|2292,SpreadMirage,
2181|2825,SpreadMirage,
2755|2355,SpreadMirage,
249|2567,SpreadMirage,7.5
2258|2256,SpreadMirage,
338|2193,SpreadMirage,
2018|2644,SpreadMirage,
417|2828,SpreadMirage,
2305|227,SpreadMirage,
2168|2119,SpreadMirage,
2805|2657,SpreadMirage,
2746|424,SpreadMirage,
2393|2010,SpreadMirage,
2264|319,SpreadMirage,
3066|559,SpreadMirage,
2636|2011,SpreadMirage,
56|2529,SpreadMirage,
2206|60,SpreadMirage,
2433|2582,SpreadMirage,
2639|2194,SpreadMirage,
2849|2274,SpreadMirage,
2371|2980,SpreadMirage,
2116|2569,SpreadMirage,
2224|129,SpreadMirage,
