,Overall,Overall,Overall,Conference,Conference,Conference,,,SRS,SRS,Polls,Polls,Polls,
East,W,L,Pct,W,L,Pct,Pts,Pts,SRS,SOS,AP Curr,AP Pre,AP High,Notes
Akron,7,7,.500,6,2,.750,22.1,28.0,-4.82,-1.96,,,,
Ohio,9,4,.692,5,3,.625,39.1,24.2,1.99,-6.78,,,,
Buffalo,6,6,.500,4,4,.500,28.5,24.8,-2.92,-5.34,,,,
Miami (OH),5,7,.417,4,4,.500,24.4,24.1,-6.04,-6.21,,,,
Bowling Green State,2,10,.167,2,6,.250,25.3,38.0,-13.11,-2.36,,,,
Kent State,2,10,.167,1,7,.125,12.8,35.1,-17.66,-1.75,,,,
Toledo,11,3,.786,7,1,.875,36.4,26.2,3.82,-5.04,,,,
Central Michigan,8,5,.615,6,2,.750,28.5,27.5,-5.03,-4.80,,,,
Northern Illinois,8,5,.615,6,2,.750,28.9,22.0,0.91,-4.32,,,,
Western Michigan,6,6,.500,4,4,.500,33.9,29.0,-2.87,-4.37,,,,
Eastern Michigan,5,7,.417,3,5,.375,26.1,23.3,-4.09,-4.76,,,,
Ball State,2,10,.167,0,8,.000,17.9,40.7,-19.27,-5.52,,,,
