,Overall,Overall,Overall,Conference,Conference,Conference,,,SRS,SRS,Polls,Polls,Polls,
East,W,L,Pct,W,L,Pct,Pts,Pts,SRS,SOS,AP Curr,AP Pre,AP High,Notes
Georgia,13,2,.867,7,1,.875,35.4,16.4,22.47,7.01,2,15,2,
South Carolina,9,4,.692,5,3,.625,24.2,20.7,7.77,3.85,,,,
Kentucky,7,6,.538,4,4,.500,25.5,28.2,1.30,2.92,,,,
Missouri,7,6,.538,4,4,.500,37.5,31.8,4.28,1.44,,,,
Florida,4,7,.364,3,5,.375,22.1,27.3,0.83,5.37,,17,17,
Vanderbilt,5,7,.417,1,7,.125,24.6,31.3,-2.11,2.30,,,,
Tennessee,4,8,.333,0,8,.000,19.8,29.1,-3.18,3.41,,25,23,
Alabama,13,1,.929,7,1,.875,37.1,11.9,21.25,5.46,1,1,1,
Auburn,10,4,.714,7,1,.875,33.9,18.5,17.95,6.38,10,12,6,
LSU,9,4,.692,6,2,.750,27.2,18.9,11.77,3.93,18,13,12,
Mississippi State,9,4,.692,4,4,.500,32.0,20.9,11.85,3.85,19,,16,
Texas A&M,7,6,.538,4,4,.500,32.7,30.7,3.36,3.05,,,,
Ole Miss,6,6,.500,3,5,.375,32.8,34.6,2.78,1.44,,,,
Arkansas,4,8,.333,1,7,.125,28.8,36.2,-2.45,4.30,,,,
