,Overall,Overall,Overall,Conference,Conference,Conference,,,SRS,SRS,Polls,Polls,Polls,
School,W,L,Pct,W,L,Pct,Pts,Pts,SRS,SOS,AP Pre,AP High,AP Post,Notes
Georgia Southern,9,3,.750,8,0,1.000,39.1,23.4,1.89,-8.19,,,,
Appalachian State,7,5,.583,6,2,.750,35.7,27.3,-6.56,-9.90,,,,
Louisiana-Lafayette,9,4,.692,7,1,.875,29.5,26.0,-1.57,-5.57,,,,
Arkansas State,7,6,.538,5,3,.625,36.7,30.5,-3.96,-6.88,,,,
Texas State,7,5,.583,5,3,.625,33.8,27.7,-6.43,-9.34,,,,
South Alabama,6,7,.462,5,3,.625,22.5,26.4,-7.63,-5.16,,,,
Louisiana-Monroe,4,8,.333,3,5,.375,20.1,26.3,-9.82,-4.57,,,,
Troy,3,9,.250,3,5,.375,21.8,36.2,-14.67,-6.17,,,,
New Mexico State,2,10,.167,1,7,.125,24.5,39.1,-18.48,-7.65,,,,
Idaho,1,10,.091,1,7,.125,25.0,37.3,-19.67,-7.21,,,,
Georgia State,1,11,.083,0,8,.000,22.7,43.3,-20.41,-4.50,,,,
