,Overall,Overall,Overall,Conference,Conference,Conference,,,SRS,SRS,Polls,Polls,Polls,
Atlantic,W,L,Pct,W,L,Pct,Pts,Pts,SRS,SOS,AP Pre,AP High,AP Post,Notes
Clemson,14,1,.933,7,1,.875,39.2,18.0,20.08,6.55,2,1,1,
Louisville,9,4,.692,7,1,.875,42.5,23.8,11.87,2.10,19,3,21,
Florida State,10,3,.769,5,3,.625,35.1,25.0,15.01,6.16,4,2,8,
North Carolina State,7,6,.538,3,5,.375,27.0,22.8,7.49,3.49,,,,
Wake Forest,7,6,.538,3,5,.375,20.4,22.2,0.73,1.80,,,,
Boston College,7,6,.538,2,6,.250,20.4,25.0,0.58,0.50,,,,
Syracuse,4,8,.333,2,6,.250,25.7,38.6,-4.51,4.57,,,,
Virginia Tech,10,4,.714,6,2,.750,35.0,22.8,11.00,2.43,,16,16,
Miami (FL),9,4,.692,5,3,.625,34.3,18.5,13.36,2.82,,10,20,
North Carolina,8,5,.615,5,3,.625,32.3,24.9,8.25,1.79,22,15,,
Pitt,8,5,.615,5,3,.625,40.9,35.2,8.12,3.51,,22,,
Georgia Tech,9,4,.692,4,4,.500,28.2,24.5,7.13,2.90,,,,
Duke,4,8,.333,1,7,.125,23.3,28.2,-1.36,3.39,,,,
Virginia,2,10,.167,1,7,.125,22.5,33.8,-8.25,1.84,,,,
