,Overall,Overall,Overall,Conference,Conference,Conference,,,SRS,SRS,Polls,Polls,Polls,
School,W,L,Pct,W,L,Pct,Pts,Pts,SRS,SOS,AP Curr,AP Pre,AP High,Notes
Massachusetts,4,8,.333,,,,30.6,31.8,-9.36,-7.03,,,,
Army,10,3,.769,,,,30.7,22.0,3.69,-3.00,,,,
Notre Dame,10,3,.769,,,,34.2,21.5,19.41,8.94,11,,3,
Brigham Young,4,9,.308,,,,17.1,24.7,-8.06,-1.37,,,,
