,Overall,Overall,Overall,Conference,Conference,Conference,,,SRS,SRS,Polls,Polls,Polls,
East,W,L,Pct,W,L,Pct,Pts,Pts,SRS,SOS,AP Pre,AP High,AP Post,Notes
Old Dominion,10,3,.769,7,1,.875,35.1,27.2,1.11,-6.51,,,,
Western Kentucky,11,3,.786,7,1,.875,45.5,24.6,8.68,-4.03,,,,
Middle Tennessee State,8,5,.615,5,3,.625,39.7,35.8,-5.53,-6.99,,,,
Florida International,4,8,.333,4,4,.500,24.0,34.8,-12.82,-4.74,,,,
Charlotte,4,8,.333,3,5,.375,25.2,34.6,-12.51,-5.76,,,,
Florida Atlantic,3,9,.250,2,6,.250,26.4,39.8,-14.60,-5.68,,,,
Marshall,3,9,.250,2,6,.250,26.4,35.3,-13.59,-4.59,,,,
Louisiana Tech,9,5,.643,6,2,.750,44.3,33.6,3.39,-4.82,,,,
UTSA,6,7,.462,5,3,.625,29.2,27.9,-3.92,-5.07,,,,
Southern Mississippi,7,6,.538,4,4,.500,32.8,29.5,-3.73,-5.04,,,,
North Texas,5,8,.385,3,5,.375,24.8,32.6,-10.33,-4.56,,,,
UTEP,4,8,.333,2,6,.250,26.3,34.9,-13.33,-7.25,,,,
Rice,3,9,.250,2,6,.250,25.3,37.3,-13.67,-4.34,,,,
