,Overall,Overall,Overall,Conference,Conference,Conference,,,SRS,SRS,Polls,Polls,Polls,
North,W,L,Pct,W,L,Pct,Pts,Pts,SRS,SOS,AP Pre,AP High,AP Post,Notes
Stanford,12,2,.857,8,1,.889,37.8,22.6,18.81,5.17,21,3,3,
Oregon,9,4,.692,7,2,.778,43.0,37.5,11.05,4.74,7,7,19,
Washington State,9,4,.692,6,3,.667,31.5,27.7,6.55,1.48,,20,,
California,8,5,.615,4,5,.444,37.9,30.7,9.54,4.92,,20,,
Washington,7,6,.538,4,5,.444,30.6,18.8,9.73,4.27,,,,
Oregon State,2,10,.167,0,9,.000,19.0,37.0,-7.66,5.51,,,,
Utah,10,3,.769,6,3,.667,30.6,22.3,11.39,4.32,,3,17,
USC,8,6,.571,6,3,.667,33.9,25.7,11.53,7.39,8,6,,
UCLA,8,5,.615,5,4,.556,32.2,26.0,8.73,4.27,13,7,,
Arizona State,6,7,.462,4,5,.444,34.6,33.5,4.91,4.45,15,15,,
Arizona,7,6,.538,3,6,.333,37.4,35.8,1.27,1.12,22,16,,
Colorado,4,9,.308,1,8,.111,24.6,27.5,-3.51,1.33,,,,
