,Overall,Overall,Overall,Conference,Conference,Conference,,,SRS,SRS,Polls,Polls,Polls,
Leaders,W,L,Pct,W,L,Pct,Pts,Pts,SRS,SOS,AP Pre,AP High,AP Post,Notes
Ohio State,12,2,.857,8,0,1.000,45.5,22.6,15.65,1.43,2,2,12,
Wisconsin,9,4,.692,6,2,.750,34.8,16.3,14.20,2.28,23,14,22,
Penn State,7,5,.583,4,4,.500,28.7,26.2,3.40,1.07,,,,
Indiana,5,7,.417,3,5,.375,38.4,38.8,4.41,4.74,,,,
Illinois,4,8,.333,1,7,.125,29.7,35.4,-3.86,1.98,,,,
Purdue,1,11,.083,0,8,.000,14.9,38.0,-12.43,4.98,,,,
Michigan State,13,1,.929,8,0,1.000,29.4,13.2,14.74,0.67,,3,3,
Iowa,8,5,.615,5,3,.625,26.3,18.9,7.31,2.31,,,,
Nebraska,9,4,.692,5,3,.625,31.9,24.8,5.22,0.45,18,18,,
Minnesota,8,5,.615,4,4,.500,25.7,22.2,5.27,1.35,,,,
Michigan,7,6,.538,3,5,.375,32.2,26.8,5.53,3.30,17,11,,
Northwestern,5,7,.417,1,7,.125,26.2,27.1,1.20,2.03,22,16,,
