,Overall,Overall,Overall,Conference,Conference,Conference,,,SRS,SRS,Polls,Polls,Polls,
School,W,L,Pct,W,L,Pct,Pts,Pts,SRS,SOS,AP Pre,AP High,AP Post,Notes
Notre Dame,10,3,.769,,,,34.2,24.1,14.33,6.10,11,4,11,
Brigham Young,9,4,.692,,,,33.7,22.8,7.51,0.66,,19,,
Army,2,10,.167,,,,22.1,27.8,-11.82,-5.90,,,,
