,Overall,Overall,Overall,Conference,Conference,Conference,,,SRS,SRS,Polls,Polls,Polls,
School,W,L,Pct,W,L,Pct,Pts,Pts,SRS,SOS,AP Pre,AP High,AP Post,Notes
Texas Christian,12,1,.923,8,1,.889,46.5,19.0,18.96,1.57,,3,3,
Baylor,11,2,.846,8,1,.889,48.2,25.5,14.97,0.59,10,4,7,
Kansas State,9,4,.692,7,2,.778,35.8,23.2,12.73,3.66,20,9,18,
Oklahoma,8,5,.615,5,4,.556,36.4,25.9,10.21,3.90,4,4,,
West Virginia,7,6,.538,5,4,.556,33.5,27.6,8.07,4.45,,20,,
Texas,6,7,.462,5,4,.556,21.4,23.8,3.98,5.29,,,,
Oklahoma State,7,6,.538,4,5,.444,27.6,31.2,1.10,3.49,,15,,
Texas Tech,4,8,.333,2,7,.222,30.5,41.3,-3.56,4.11,,,,
Kansas,3,9,.250,1,8,.111,17.8,33.3,-6.86,3.48,,,,
Iowa State,2,10,.167,0,9,.000,23.2,38.8,-8.64,3.52,,,,
