,Overall,Overall,Overall,Conference,Conference,Conference,,,SRS,SRS,Polls,Polls,Polls,
School,W,L,Pct,W,L,Pct,Pts,Pts,SRS,SOS,AP Pre,AP High,AP Post,Notes
Notre Dame,8,5,.615,1,0,1.000,32.8,29.2,8.56,5.33,17,5,,
Navy,8,5,.615,1,1,.500,31.8,27.3,2.19,-1.50,,,,
Army,4,8,.333,0,1,.000,24.9,32.9,-12.95,-5.78,,,,
Brigham Young,8,5,.615,0,0,,37.1,27.5,4.38,-1.32,,18,,
