,Overall,Overall,Overall,Conference,Conference,Conference,,,SRS,SRS,Polls,Polls,Polls,
Mountain,W,L,Pct,W,L,Pct,Pts,Pts,SRS,SOS,AP Pre,AP High,AP Post,Notes
Air Force,8,6,.571,6,2,.750,33.8,25.5,0.36,-3.14,,,,
Boise State,9,4,.692,5,3,.625,39.1,20.2,6.03,-4.66,23,20,,
Colorado State,7,6,.538,5,3,.625,29.6,27.2,-5.09,-5.78,,,,
New Mexico,7,6,.538,5,3,.625,29.9,28.4,-6.61,-5.84,,,,
Utah State,6,7,.462,5,3,.625,29.0,26.7,-1.23,-1.92,,,,
Wyoming,2,10,.167,2,6,.250,19.0,34.0,-17.03,-3.53,,,,
San Diego State,11,3,.786,8,0,1.000,32.1,16.4,6.26,-6.02,,,,
Nevada,7,6,.538,4,4,.500,26.2,26.8,-6.26,-6.11,,,,
San Jose State,6,7,.462,4,4,.500,27.9,27.2,-4.98,-4.37,,,,
Fresno State,3,9,.250,2,6,.250,22.3,38.1,-12.12,-1.79,,,,
Nevada-Las Vegas,3,9,.250,2,6,.250,28.6,33.7,-10.42,-3.33,,,,
Hawaii,3,10,.231,0,8,.000,17.6,35.6,-14.63,-2.71,,,,
