,Overall,Overall,Overall,Conference,Conference,Conference,,,SRS,SRS,Polls,Polls,Polls,
School,W,L,Pct,W,L,Pct,Pts,Pts,SRS,SOS,AP Curr,AP Pre,AP High,Notes
Appalachian State,9,4,.692,7,1,.875,33.5,20.2,0.59,-7.72,,,,
Coastal Carolina,3,9,.250,2,6,.250,23.7,34.0,-17.20,-8.78,,,,
Georgia Southern,2,10,.167,2,6,.250,20.8,32.2,-16.83,-5.58,,,,
Troy,11,2,.846,7,1,.875,31.5,18.5,3.59,-8.03,,,,
Arkansas State,7,5,.583,6,2,.750,37.8,25.8,-2.42,-9.92,,,,
Georgia State,7,5,.583,5,3,.625,20.3,24.8,-10.66,-9.25,,,,
New Mexico State,7,6,.538,4,4,.500,29.3,29.7,-8.69,-8.30,,,,
Louisiana-Lafayette,5,7,.417,4,4,.500,28.2,40.0,-15.51,-8.35,,,,
Louisiana-Monroe,4,8,.333,4,4,.500,33.9,41.0,-10.88,-4.88,,,,
Idaho,4,8,.333,3,5,.375,20.9,25.8,-11.35,-7.94,,,,
South Alabama,4,8,.333,3,5,.375,19.8,26.5,-11.71,-6.46,,,,
Texas State,2,10,.167,1,7,.125,17.3,33.6,-19.31,-7.31,,,,
