,Overall,Overall,Overall,Conference,Conference,Conference,,,SRS,SRS,Polls,Polls,Polls,
East,W,L,Pct,W,L,Pct,Pts,Pts,SRS,SOS,AP Pre,AP High,AP Post,Notes
Ohio,8,6,.571,6,2,.750,26.3,22.6,-1.99,-5.56,,,,
Miami (OH),6,7,.462,6,2,.750,22.8,23.8,-6.79,-5.87,,,,
Akron,5,7,.417,3,5,.375,27.4,33.6,-6.52,-3.93,,,,
Bowling Green State,4,8,.333,3,5,.375,24.8,38.3,-10.58,-4.08,,,,
Kent State,3,9,.250,2,6,.250,20.6,28.7,-9.12,-3.20,,,,
Buffalo,2,10,.167,1,7,.125,16.5,32.3,-18.24,-5.57,,,,
Western Michigan,13,1,.929,8,0,1.000,41.6,19.8,12.03,-4.61,,12,15,
Toledo,9,4,.692,6,2,.750,38.0,25.7,4.94,-3.75,,,,
Northern Illinois,5,7,.417,5,3,.625,30.5,30.3,-4.39,-3.64,,,,
Eastern Michigan,7,6,.538,4,4,.500,29.6,29.8,-4.30,-4.07,,,,
Central Michigan,6,7,.462,3,5,.375,26.3,30.3,-5.60,-2.91,,,,
Ball State,4,8,.333,1,7,.125,27.0,30.1,-9.11,-5.86,,,,
