,Overall,Overall,Overall,Conference,Conference,Conference,,,SRS,SRS,Polls,Polls,Polls,
East,W,L,Pct,W,L,Pct,Pts,Pts,SRS,SOS,AP Pre,AP High,AP Post,Notes
Florida,10,4,.714,7,1,.875,23.2,18.3,9.65,4.94,,8,25,
Georgia,10,3,.769,5,3,.625,26.3,16.9,8.98,1.83,9,7,,
Tennessee,9,4,.692,5,3,.625,35.2,20.0,13.94,3.10,25,22,22,
Kentucky,5,7,.417,2,6,.250,24.7,27.4,-4.09,0.41,,,,
Vanderbilt,4,8,.333,2,6,.250,15.2,21.0,-2.27,4.23,,,,
Missouri,5,7,.417,1,7,.125,13.6,16.2,0.20,3.04,24,21,,
South Carolina,3,9,.250,1,7,.125,21.9,27.5,-2.18,3.74,,,,
Alabama,14,1,.933,7,1,.875,35.1,15.1,23.72,7.46,3,1,1,
Ole Miss,10,3,.769,6,2,.750,40.8,22.6,14.42,4.42,17,3,10,
LSU,9,3,.750,5,3,.625,32.8,24.3,15.04,6.79,14,4,16,
Arkansas,8,5,.615,5,3,.625,35.9,27.4,12.79,6.02,18,18,,
Mississippi State,9,4,.692,4,4,.500,34.4,23.2,13.59,4.74,,20,,
Texas A&M,8,5,.615,4,4,.500,27.8,22.0,9.40,4.47,,9,,
Auburn,7,6,.538,2,6,.250,27.5,26.0,7.16,5.39,6,6,,
