,Overall,Overall,Overall,Conference,Conference,Conference,,,SRS,SRS,Polls,Polls,Polls,
School,W,L,Pct,W,L,Pct,Pts,Pts,SRS,SOS,AP Pre,AP High,AP Post,Notes
Notre Dame,9,4,.692,2,0,1.000,27.2,22.4,9.50,4.50,14,14,20,
New Mexico State,2,10,.167,1,0,1.000,20.9,44.6,-19.36,-3.77,,,,
Navy,9,4,.692,1,1,.500,33.5,24.4,4.26,-2.89,,,,
Brigham Young,8,5,.615,0,1,.000,30.2,22.1,10.23,3.77,,,,
Army,3,9,.250,0,1,.000,24.4,31.6,-12.36,-5.27,,,,
Idaho,1,11,.083,0,1,.000,18.2,46.8,-19.30,-1.30,,,,
