,Overall,Overall,Overall,Conference,Conference,Conference,,,SRS,SRS,Polls,Polls,Polls,
Mountain,W,L,Pct,W,L,Pct,Pts,Pts,SRS,SOS,AP Pre,AP High,AP Post,Notes
Boise State,10,3,.769,6,2,.750,33.8,23.3,8.01,-0.91,,13,,
New Mexico,9,4,.692,6,2,.750,36.7,31.5,-1.21,-5.44,,,,
Wyoming,8,6,.571,6,2,.750,35.9,34.1,1.37,-0.99,,,,
Air Force,10,3,.769,5,3,.625,35.2,26.2,4.09,-4.53,,,,
Colorado State,7,6,.538,5,3,.625,35.3,30.4,2.52,-1.17,,,,
Utah State,3,9,.250,1,7,.125,23.9,29.3,-5.99,0.10,,,,
San Diego State,11,3,.786,6,2,.750,35.2,20.2,5.97,-5.17,,19,25,
Hawaii,7,7,.500,4,4,.500,28.3,37.3,-6.44,-3.44,,,,
Nevada,5,7,.417,3,5,.375,25.4,29.0,-9.70,-6.87,,,,
Nevada-Las Vegas,4,8,.333,3,5,.375,31.6,36.8,-10.05,-3.80,,,,
San Jose State,4,8,.333,3,5,.375,24.4,34.7,-10.03,-2.61,,,,
Fresno State,1,11,.083,0,8,.000,17.7,30.9,-14.26,-2.42,,,,
