,Overall,Overall,Overall,Conference,Conference,Conference,,,SRS,SRS,Polls,Polls,Polls,
East,W,L,Pct,W,L,Pct,Pts,Pts,SRS,SOS,AP Curr,AP Pre,AP High,Notes
Ohio State,12,2,.857,8,1,.889,41.1,19.0,21.82,7.89,5,2,2,
Penn State,11,2,.846,7,2,.778,41.1,16.5,21.62,6.31,8,6,2,
Michigan State,10,3,.769,7,2,.778,24.5,20.0,13.83,7.68,15,,13,
Michigan,8,5,.615,5,4,.556,25.2,18.8,13.44,6.98,,11,7,
Rutgers,4,8,.333,3,6,.333,18.0,28.3,-2.27,6.15,,,,
Indiana,5,7,.417,2,7,.222,26.8,25.3,4.74,4.90,,,,
Maryland,4,8,.333,2,7,.222,24.1,37.1,1.03,9.78,,,,
Wisconsin,13,1,.929,9,0,1.000,33.8,13.9,22.61,6.18,7,9,4,
Northwestern,10,3,.769,7,2,.778,29.2,20.1,11.36,5.13,17,,17,
Iowa,8,5,.615,4,5,.444,28.2,19.9,14.66,8.74,,,25,
Purdue,7,6,.538,4,5,.444,25.2,20.5,9.74,6.21,,,,
Nebraska,4,8,.333,3,6,.333,25.8,36.4,1.52,8.18,,,,
Minnesota,5,7,.417,2,7,.222,22.1,22.8,3.36,4.78,,,,
Illinois,2,10,.167,0,9,.000,15.4,31.5,-7.87,5.38,,,,
