,Overall,Overall,Overall,Conference,Conference,Conference,,,SRS,SRS,Polls,Polls,Polls,
East,W,L,Pct,W,L,Pct,Pts,Pts,SRS,SOS,AP Pre,AP High,AP Post,Notes
Temple,10,4,.714,7,1,.875,29.8,20.1,6.45,-1.63,,20,,
South Florida,8,5,.615,6,2,.750,33.6,22.9,5.88,-0.74,,,,
Cincinnati,7,6,.538,4,4,.500,33.8,31.2,1.19,-0.65,,,,
Connecticut,6,7,.462,4,4,.500,17.2,19.5,-3.45,-1.37,,,,
East Carolina,5,7,.417,3,5,.375,27.4,26.0,-1.27,-0.93,,,,
UCF,0,12,.000,0,8,.000,13.9,37.7,-18.85,-0.68,,,,
Houston,13,1,.929,7,1,.875,40.4,20.7,12.32,-3.04,,8,8,
Navy,11,2,.846,7,1,.875,36.8,21.8,11.14,-1.55,,16,18,
Memphis,9,4,.692,5,3,.625,40.2,27.3,6.55,0.16,,15,,
Tulsa,6,7,.462,3,5,.375,37.2,39.8,-4.74,-2.05,,,,
Tulane,3,9,.250,1,7,.125,19.7,36.3,-13.59,-2.42,,,,
SMU,2,10,.167,1,7,.125,27.8,45.7,-12.22,0.62,,,,
