,Overall,Overall,Overall,Conference,Conference,Conference,,,SRS,SRS,Polls,Polls,Polls,
School,W,L,Pct,W,L,Pct,Pts,Pts,SRS,SOS,AP Pre,AP High,AP Post,Notes
Oklahoma,11,2,.846,9,0,1.000,43.9,28.8,14.98,3.60,3,3,5,
Oklahoma State,10,3,.769,7,2,.778,38.6,26.5,11.16,1.70,21,10,11,
West Virginia,10,3,.769,7,2,.778,31.2,24.0,9.57,2.03,,10,18,
Kansas State,9,4,.692,6,3,.667,32.2,22.3,8.09,1.33,,,,
Texas Christian,6,7,.462,4,5,.444,31.0,28.0,2.63,1.47,13,13,,
Baylor,7,6,.538,3,6,.333,34.6,29.0,3.01,0.39,23,8,,
Texas,5,7,.417,3,6,.333,31.9,31.5,1.75,2.42,,11,,
Texas Tech,5,7,.417,3,6,.333,43.7,43.5,1.34,1.50,,,,
Iowa State,3,9,.250,2,7,.222,27.7,31.3,-4.43,1.65,,,,
Kansas,2,10,.167,1,8,.111,20.3,37.3,-10.65,2.52,,,,
