,Overall,Overall,Overall,Conference,Conference,Conference,,,SRS,SRS,Polls,Polls,Polls,
North,W,L,Pct,W,L,Pct,Pts,Pts,SRS,SOS,AP Pre,AP High,AP Post,Notes
Washington,12,2,.857,8,1,.889,41.8,17.7,19.98,3.98,14,4,4,
Washington State,8,5,.615,7,2,.778,38.2,26.4,9.03,3.18,,20,,
Stanford,10,3,.769,6,3,.667,26.3,20.4,12.54,5.23,8,7,12,
California,5,7,.417,3,6,.333,37.1,42.6,2.42,5.92,,,,
Oregon State,4,8,.333,3,6,.333,26.2,30.5,1.53,5.11,,,,
Oregon,4,8,.333,2,7,.222,35.4,41.4,0.70,5.12,24,22,,
Colorado,10,4,.714,8,1,.889,31.1,21.7,12.18,5.54,,9,17,
USC,10,3,.769,7,2,.778,34.4,24.2,17.27,7.04,20,3,3,
Utah,9,4,.692,5,4,.556,29.8,23.9,8.65,2.19,,11,23,
Arizona State,5,7,.417,2,7,.222,33.3,39.8,-2.60,3.90,,,,
UCLA,4,8,.333,2,7,.222,24.9,27.5,2.63,5.13,16,16,,
Arizona,3,9,.250,1,8,.111,24.8,38.3,-4.63,5.20,,,,
