,Overall,Overall,Overall,Conference,Conference,Conference,,,SRS,SRS,Polls,Polls,Polls,
Atlantic,W,L,Pct,W,L,Pct,Pts,Pts,SRS,SOS,AP Pre,AP High,AP Post,Notes
Florida State,13,1,.929,8,0,1.000,33.7,25.6,14.48,5.13,1,1,5,
Clemson,10,3,.769,6,2,.750,30.8,16.7,11.63,2.86,16,15,15,
Louisville,9,4,.692,5,3,.625,31.2,21.8,10.52,3.22,,20,24,
Boston College,7,6,.538,4,4,.500,26.2,21.3,6.04,2.35,,,,
North Carolina State,8,5,.615,3,5,.375,30.2,27.0,4.17,1.25,,,,
Syracuse,3,9,.250,1,7,.125,17.1,24.3,-4.84,3.00,,,,
Wake Forest,3,9,.250,1,7,.125,14.8,26.4,-7.64,1.61,,,,
Georgia Tech,11,3,.786,6,2,.750,37.9,25.7,15.92,4.78,,8,8,
Duke,9,4,.692,5,3,.625,32.4,21.8,6.64,-0.82,,19,,
North Carolina,6,7,.462,4,4,.500,33.2,39.0,0.14,4.29,23,21,,
Pitt,6,7,.462,4,4,.500,31.8,26.3,2.74,0.97,,,,
Virginia Tech,7,6,.538,3,5,.375,24.1,20.2,6.71,3.32,,17,,
Miami (FL),6,7,.462,3,5,.375,29.2,24.3,8.04,4.65,,,,
Virginia,5,7,.417,3,5,.375,25.8,24.1,4.83,4.50,,,,
