,Overall,Overall,Overall,Conference,Conference,Conference,,,SRS,SRS,Polls,Polls,Polls,
School,W,L,Pct,W,L,Pct,Pts,Pts,SRS,SOS,AP Pre,AP High,AP Post,Notes
Memphis,10,3,.769,7,1,.875,36.2,19.5,7.22,-4.25,,25,25,
Cincinnati,9,4,.692,7,1,.875,34.0,27.2,2.42,-2.20,,,,
UCF,9,4,.692,7,1,.875,28.1,19.2,1.98,-4.95,,,,
East Carolina,8,5,.615,5,3,.625,35.8,25.8,2.35,-4.96,,18,,
Houston,8,5,.615,5,3,.625,29.8,20.6,0.85,-6.22,,,,
Temple,6,6,.500,4,4,.500,23.1,17.5,-2.23,-3.90,,,,
South Florida,4,8,.333,3,5,.375,17.2,27.0,-10.90,-2.73,,,,
Tulane,3,9,.250,2,6,.250,16.0,28.4,-11.38,-0.80,,,,
Tulsa,2,10,.167,2,6,.250,24.7,39.3,-15.23,-2.56,,,,
Connecticut,2,10,.167,1,7,.125,15.5,29.8,-15.72,-3.64,,,,
SMU,1,11,.083,1,7,.125,11.1,41.3,-18.17,0.41,,,,
