,Overall,Overall,Overall,Conference,Conference,Conference,,,SRS,SRS,Polls,Polls,Polls,
School,W,L,Pct,W,L,Pct,Pts,Pts,SRS,SOS,AP Pre,AP High,AP Post,Notes
Massachusetts,2,10,.167,,,,23.3,35.5,-11.94,-1.44,,,,
Army,8,5,.615,,,,29.9,19.8,-2.41,-6.41,,,,
Brigham Young,9,4,.692,,,,29.5,19.5,6.50,-1.19,,,,
Notre Dame,4,8,.333,,,,30.9,27.8,4.27,3.94,10,10,,
