,Overall,Overall,Overall,Conference,Conference,Conference,,,SRS,SRS,Polls,Polls,Polls,
School,W,L,Pct,W,L,Pct,Pts,Pts,SRS,SOS,AP Pre,AP High,AP Post,Notes
Baylor,11,2,.846,8,1,.889,52.4,23.5,16.87,1.87,,3,13,
Oklahoma,11,2,.846,7,2,.778,32.8,22.1,13.19,4.12,16,6,6,
Oklahoma State,10,3,.769,7,2,.778,39.1,21.6,16.83,3.76,13,6,17,
Texas,8,5,.615,7,2,.778,29.3,25.8,7.45,5.45,15,15,,
Kansas State,8,5,.615,5,4,.556,33.2,22.9,10.01,1.09,,,,
Texas Tech,8,5,.615,4,5,.444,35.8,30.5,5.32,2.71,,10,,
Texas Christian,4,8,.333,2,7,.222,25.1,25.3,1.94,3.85,20,20,,
West Virginia,4,8,.333,2,7,.222,26.3,33.3,-3.74,2.10,,,,
Iowa State,3,9,.250,2,7,.222,24.8,36.0,-3.57,3.34,,,,
Kansas,3,9,.250,1,8,.111,15.3,31.8,-8.58,2.84,,,,
